区域,姓名,籍贯,伪职,主要罪行,结局
运城城区‑安邑（伪河东道公署）,王毅,不详,首任伪河东道道尹（1939‑1941）,搭建伪河东道整套行政体系；推行保甲、治安强化运动，强征粮食、盐池资源、劳工；指挥各县伪政权配合日军扫荡中条山、太岳南部根据地，推行奴化教育抖音百科。,抗战胜利逮捕，汉奸罪重判
,苏盛江,山西,第二任伪河东道道尹,接续统治晋南，强化剿共，搜刮物资，抓捕抗日人员。,战后逮捕判刑
,李文荣,不详,末代伪河东道道尹,维持伪政权末期统治。,光复后逮捕判刑
,刘健羽（刘晋升）,运城安邑,伪河东盐务局长,本地盐商世家出身，投降日军，掌控河东盐池，为日军掠夺食盐资源，盘剥盐工畦户，是晋南经济大汉奸。,抗战胜利后逮捕审判
,王秀山,运城,伪运城地方事务局局长,辅佐道尹管理运城城区，摊派粮款，管控城区治安。,战后汉奸罪判刑
,张同文,夏县,伪夏县保安大队长,盘踞夏县、安邑一带，多次配合日军扫荡中条山北麓，部下刘平（杀人魔王）大肆捕杀抗日军民。,解放后公审枪决
,马道生,夏县祁家河,祁家河维持会长,死心塌地投靠日军，带领日伪军搜山抓捕抗日干部，残害百姓。,被我方武工队活捉处决
闻喜县,王万顺,闻喜,伪 “晋南剿共救国军” 司令,纠集两千余人，盘踞乔寺村，修筑 12 座炮楼，草菅人命，疯狂清乡搜捕抗日力量。,1945 年太岳部队攻克乔寺，被俘处决
,李慎修,闻喜,伪闻喜县县长,建立闻喜伪县公署，修筑炮楼，强征粮款，配合日军扫荡稷麓根据地。,战后逮捕判刑
,耿文彬,闻喜,伪闻喜警备大队长,率伪军下乡清剿，抓捕抗日干部群众。,解放后公审枪决
稷山县,贾子英,稷山,伪稷山县县长,组建稷山伪政权，管控汾河沿线，抓壮丁、征粮，配合治安强化。,光复后逮捕判刑
,曹俊峰,稷山,伪稷山警备大队长,驻守稷山、翟店据点，多次袭扰稷麓抗日根据地。,解放后镇压处决
新绛县,李绍白,新绛,伪新绛县县长,建立新绛伪公署，管控同蒲铁路，压榨城乡百姓。,战后汉奸罪判刑
,韩子明,新绛,伪新绛警备大队长,带队下乡扫荡，迫害堡垒户。,解放后公审枪决
绛县,张温,绛县,伪大交区长,组建伪区政权，抓丁扩充伪警备队，为董封据点日军搜集情报。,解放后清算处决
,刘守德,绛县,伪警备队中队长,驻董封据点，配合日军残害被俘抗日人员，制造多起惨案。,被俘后审判处决
,陈立信,绛县,伪警备小队长,依附董封据点，抓捕、敲诈当地百姓。,抗战后期被民兵击毙
夏县,张景唐,夏县,伪夏县县长,建立夏县伪政权，配合日军反复扫荡中条山北部，搜捕中条地委干部。,战后逮捕判刑
,刘平,夏县,伪特务队长，外号杀人魔王,张同文部下，专门抓捕、残害抗日干部群众，杀害抗日英雄祁金兰。,解放后公审枪决
平陆县,王宾如,平陆,伪平陆县县长,日军占领平陆后出任伪县长，管控黄河渡口，盘查过往抗日人员。,战后汉奸罪判刑
,吴子安,平陆,伪平陆警备大队长,驻守平陆县城、张店据点，配合日军扫荡中条山南麓。,解放后处决
芮城县,薛秉钧,芮城,伪芮城县县长,中条山战役后建立伪芮城政权，摊派粮款，修筑据点炮楼。,战后逮捕判刑
,董子安,芮城,伪芮城警备大队长,祸害芮城沿河村庄，抓捕地下交通人员。,解放后公审枪决
永济（蒲州）,张汉三,永济,伪永济县县长，蒲州矢田机关帮凶,依附蒲州日本特务机关，残酷迫害被捕抗日人员，掠夺物资。,抗战胜利公审处决
,王绍先,永济,伪永济警备大队长,驻守蒲州、韩阳据点，管控黄河风陵渡渡口。,解放后镇压处决
临猗（猗氏、临晋）,阎子良,猗氏,伪猗氏县县长,组建伪政权，强征粮棉，配合日军清乡。,战后逮捕判刑
,孙耀武,临晋,伪临晋县县长,维持临晋伪统治，压榨百姓。,光复后判刑
,郭保玺,临猗,伪警备大队长,率伪军袭扰临猗乡村，抓捕抗日积极分子。,解放后处决
万荣（万泉、荣河）,谢辅之,万泉,伪万泉县县长,建立万泉伪公署，抓夫修炮楼。,战后汉奸罪判刑
,王梦吉,荣河,伪荣河县县长,管控黄河滩区，摊派粮款，为日伪搜集物资。,战后逮捕判刑
垣曲县,王砚田,垣曲,伪垣曲县县长,日军占领垣曲后组建伪政权，配合日军扫荡垣曲山区。,县城收复后逮捕判刑
,席子珍,垣曲,伪垣曲警备大队长,驻守垣曲、皋落据点，残害根据地群众。,解放后公审枪决
