姓名,伪职 / 身份,活动地区,核心罪行,最终结局
郝鹏举,伪淮海省省长、汪伪第八方面军上将总司令、徐州绥靖公署主任,徐州，徐海全境,汪伪徐海地区头号大汉奸，执掌伪淮海省军政大权；扩充伪军数万，配合日军扫荡、清剿抗日武装，横征暴敛，掠夺粮食物资；日本投降后反复倒戈，先投国民党，后起义，再度叛变。,1947 年因再次叛变被解放军处决。
毕书文,伪淮海省秘书长，郝鹏举副手,徐州,追随郝鹏举，主持伪淮海省政府日常政务，协助扩编伪军，推行日伪各项政令；日本投降后随郝鹏举辗转各方。,1951 年判处死刑，后平反。
吴守诚,伪淮海省立徐州师范首任校长,徐州市区,推行奴化教育，宣扬大东亚共荣，刻意模仿日本人装束言行，打压进步师生，培养亲日分子。,抗战胜利后以汉奸罪逮捕判刑。
王献臣（王歪鼻子）,伪丰县首任知事（县长）,丰县,北洋旧军人投敌，组建丰县伪县公署，组建伪武装，配合日军扫荡湖西抗日根据地，残害抗日军民，被称为丰县铁杆汉奸徐州政协。,抗战胜利后被公审处决。
潘玉田,徐州沦陷初期丰县维持会会长,丰县,日军刚占领丰县，牵头成立伪维持会，迎接日寇，协助日军建立地方傀儡统治。,抗战胜利后清算惩处。
赵凤臣,丰县维持会会长,丰县,依附日军，为日军征粮征夫，威逼地方士绅归顺日伪。,战后被逮捕处理。
戴子山,丰县李寨镇维持会会长,丰县李寨,乡镇汉奸头目，为日军搜集情报，盘剥乡里。,1941 年被抗日武装锄奸处决徐州政协。
周象九,伪睢宁维持会会长,睢宁县城,睢宁沦陷后出面组建维持会，投靠日军，为伪政权铺路，搜刮物资供给日军。,抗战胜利后公审伏法。
邵不丞,睢宁伪维持会骨干,睢宁,协助周象九，拉拢地方乡绅，推行日伪差役、粮食摊派。,战后汉奸审判判刑。
张哲生,伪睢宁县县长,睢宁全境,伪县长任期三年，执行日军清乡政策，出动伪县大队配合日军围剿抗日武装，迫害爱国群众。,抗战胜利后逮捕法办。
马兴连（铜山皇帝）,伪铜山伪军司令，土匪出身,铜山北部,投靠日军，自立武装，劫掠乡村，残害百姓，多次袭扰抗日地方武装。,被新四军武装剿灭击毙。
韩继尧,伪沛县伪军将领,沛县敬安一带,土匪投敌，掌握沛县地方伪军，频繁下乡扫荡，抓捕残害抗日干部群众。,抗战胜利后公审处决。
王惠轩,伪睢宁县县长,睢宁,执掌伪县公署，抓壮丁、粮食出荷，配合日军清乡。,战后汉奸审判惩处。
刘伯阳,伪淮海省第六区行政督察专员,徐州周边专区,伪淮海省高级官员，督导数县伪政权，督促各县清乡、征粮，镇压抗日活动。,日本投降后潜逃，后被捕获审判。
潘子钧,伪淮海省警务局局长,徐州市区,郝鹏举亲信，执掌伪警察系统，搜捕地下抗日人员，主持城内特务侦缉。,抗战胜利后被逮捕清算抖音百科。
