姓名,伪职 / 身份,活动地区,核心罪行,最终结局
李长江,伪第一集团军总司令,泰州、姜堰全境,原鲁苏皖边区游击副总指挥，1941 年 2 月率万余部队公开投敌，盘踞泰州；配合日军扫荡苏中根据地，掠夺物资，残害抗日军民；讨逆战役遭新四军重创西逃，后被日军下毒致瘫痪抖音百科。,抗战胜利后被捕，病死狱中。
刘湘图,伪第 22 师中将师长,兴化全县,原国军军官投敌，七千伪军盘踞兴化城；大修碉堡 170 余座，频繁下乡扫荡，抓捕残害抗日干部群众；日本投降后拒不向新四军投降，固守兴化负隅顽抗泰州市党史...。,1945 年兴化攻城战斗被俘，公审枪决兴化日报。
蔡鑫元,伪暂编第十九师师长,靖江、泰兴,手握数千伪军，盘踞靖泰地区，争夺地盘，四处劫掠；配合日军清乡扫荡，大肆搜捕地下抗日人员，祸害靖西乡村中国共产党...。,抗战胜利后以汉奸罪处决。
李恭简,伪兴化县县长,兴化县城,兴化伪政权主官，推行保甲制度，强征粮款赋税，协助刘湘图伪军巩固统治，迫害爱国群众兴化日报。,兴化解放被俘，公审枪决兴化日报。
刘铸人,兴化县自治会会长,兴化县城,兴化沦陷初期首任伪自治会会长，迎日军入城，强令百姓补交往年赋税，加征苛捐杂税，搭建傀儡统治框架泰州新闻网。,抗战胜利后逮捕法办。
宓志齐（宓瞎子）,伪 22 师副官、城防司令,兴化县城,刘湘图心腹，执掌城防，城内大肆搜捕进步人士，酷刑审讯被捕军民，作恶甚多，群众称之为 “宓瞎子”兴化日报。,兴化战斗被俘，公审伏法兴化日报。
杨作明,伪 22 师主力团长,兴化城乡,伪军骨干，带兵下乡扫荡，强拆民房木料砖石修筑碉堡，烧杀掠夺，百姓绰号 “火星菩萨”兴化日报。,被新四军俘获，公审枪决兴化日报。
朱风五,伪兴化县警察局局长,兴化县城,执掌伪警察队伍，配合伪军特务，抓捕地下抗日人员，推行宵禁，镇压城内抗日活动兴化日报。,战后汉奸审判处决。
崔步武,伪泰县（泰州）县长,泰州城区（姜堰）,汪伪清乡专员，主政泰县伪政权，推行清乡保甲，征粮抓丁，配合日伪围剿苏中三分区抗日武装南通市档案...。,抗战胜利后被捕判刑。
陆定一（伪，同名）,伪泰兴县自治会会长、伪县长,泰兴县城,泰兴沦陷初期组建伪自治会，迎接日军，建立伪基层体系，摊派苛捐杂税，拉拢地方士绅附逆。,抗战胜利后清算惩处。
陈汉南,伪泰兴县县长,泰兴全境,执掌泰兴伪县公署，出动伪保安队配合日军扫荡黄桥周边根据地，迫害抗日群众。,战后汉奸审判判刑。
陶明德,伪靖江县警察局局长,靖江县城,掌控伪警察武装，割据靖江县城；既与蔡鑫元互相火并，又效忠日伪，盘剥港口商运，抓捕爱国人员泰州市党史...。,抗战胜利后被俘惩处。
魏达天,泰兴伪维持会委员,泰兴县城,沦陷初期维持会骨干，奔走游说地方士绅归顺日伪，为日军筹措物资粮草。,战后逮捕审判。
冯瘸子（绰号）,姜堰伪特务小头目,姜堰城区及周边,兵痞出身，网罗地痞充当爪牙；搜集新四军情报，抓捕游击队员，施用 “点天灯” 酷刑残害革命人员。,被姜南武工队雨夜潜入锄奸处决。
张良才,伪 22 师伪团长,兴化水网乡镇,跟随刘湘图驻防兴化水乡，带队下乡清剿，袭扰地方抗日武装，残害乡村百姓。,兴化战役被俘，公审枪决兴化日报。
