姓名,伪职 / 身份,活动地区,核心罪行,最终结局
王廷基（王厚祥）,伪自治会会长、反共团团长、伪县保安队情报主任,铜陵城关、顺安,铜陵早期投敌骨干，带领日伪军搜捕捕杀革命志士，唆使日军枪杀、打死多名群众，抢掠烧毁百姓家产，勒索财物，制造多起血案抖音百科。,1944 年潜逃南京，1951 年被捕公审枪决抖音百科。
崔光汉,顺安特务大队长（双料特务）,顺安镇及铜官山周边,伪装进步骗取皖南行署参议员身份，公开叛变投敌；出卖地下党组织，抓捕杀害督导处主任陈益卿；勾结中统，组建特务武装；向日军告密直接酿成范家湾惨案，致使巫希权等 28 位新四军指战员牺牲。,抗战胜利后肃奸捕获，判处死刑处决。
王诚斋（绰号王三麻子）,顺安特务骨干,顺安‑梁家垄一带,铁杆告密汉奸，探得铜陵大队驻地情报，连夜引路日伪军包围梁家垄，是范家湾战斗直接告密人；常年搜集根据地情报，指认抗日干部群众安青网。,抗战胜利后公审处决。
吴智和,大通宪兵保安队副队长，铜南青联防头目,大通和悦洲、沿江三县边界,原游击队员叛变投敌；掌控大通码头物资出入，无手印不得通行，大肆敛财；出卖亲友，抓捕抗日人员，管制铜陵、南陵、青阳沿江治安，勒索商户渔户。,抗战胜利后汉奸审判伏法。
叶茂华,犁桥伪乡长、汪伪党务头目,犁桥据点,把持乡伪政权，开设赌场聚财；专门侦查新四军游击队情报，迫害接济新四军的百姓，强征粮款，鱼肉乡邻。,1943 年新四军长江锄奸团于犁桥赌场就地枪决。
郜德恩,犁桥维持会会长,犁桥,犁桥早期维持会头目，迎接日军进驻据点，办理良民证，催粮派夫，抓捕地方爱国群众，充当日军向导下乡扫荡。,被长江锄奸团铲除处决。
胡朝珍,犁桥伪地方骨干,犁桥,追随叶茂华、郜德恩，刺探游击武装动向，告密抓捕地下工作人员，敲诈乡间百姓。,锄奸行动就地镇压。
孙金富,犁桥伪乡干事,犁桥,基层伪爪牙，盘查行人，搜集情报，迫害抗日家属。,被锄奸团处决。
童兆鹏,顺安双料情报特务,顺安镇,周旋于日伪与国民党特务之间，为崔光汉牵线勾结中统，双向递送情报，破坏地下交通线。,抗战胜利后逮捕重判。
王本理,伪维持会筹备头目,顺安、张家冲,受日伪指派，带队下乡企图在张家冲建立维持会伪化乡村；搜罗地方劣绅，胁迫乡民归顺日伪，被新四军铜陵大队伏击打击安青网。,战斗受挫之后潜藏，战后肃奸法办。
朱道哲,柴塘维持会会长,柴塘,地方劣绅出任维持会长，献粮资敌，多次带领日军进山搜捕地下党员，迫害抗日家庭。其子任伪军兴亚大队副官，父子同为汉奸。,抗战胜利后公审处决。
查全祝,伪顺安特务队骨干,顺安长龙山一带,参与特务抓捕行动，四处打探铜陵大队行踪，多次计划参与抓捕我方干部，胡家祠堂伏击目标人物之一。,日军投降后捕获惩处。
查全宽,伪特务队成员,顺安周边,跟随查全祝开展情报侦查，告密、勒索乡间百姓。,附逆案判处有期徒刑。
陈孝顺,坝埂头叛徒特务,坝埂头水路口岸,原我方人员叛变，加入崔光汉特务武装；利用码头便利搜集来往人员情报，破坏沿江地下交通线。,解放后镇反镇压。
朱荣贵,伪铜陵县警察局局长,铜陵县城关,执掌伪警察与侦缉队，盘查长江航运，搜捕爱国青年，配合日军城区大搜捕。,抗战胜利后肃奸判刑。
周秉衡,伪铜陵县财政科长,城关,经济汉奸，征收各类苛捐杂税，为日军征集粮食、铜铁等战略物资，摊派商户捐款。,战后判处有期徒刑。
郜先进,投敌国民党区分部书记,犁桥片区,叛变附逆，为日伪拉拢旧势力，策动摇统战线人员，搜集我方情报。,被锄奸团处决。
