姓名,伪职 / 身份,活动地区,核心罪行,最终结局
许鲁初,伪凤台县维持会会长,凤台县城、古沟（今潘集）,地痞出身，凤台沦陷首任维持会长，迎接日军进城，征粮抓夫，带领日伪军下乡搜捕地下党员，准备建立乡下据点，残害沿淮百姓淮南日报。,1939 年被丁文山游击队活捉，古沟集公审就地枪决淮南网。
李炳臣,汪伪凤台县伪县长,凤台全县,汪伪正式委任伪县长，推行保甲良民证，强征粮食、抓壮丁，配合日伪军扫荡淮上抗日根据地，迫害抗日干部群众。,抗战胜利后肃奸公审判处死刑。
缪子香,凤台日军特务队首任头目,凤台县城、淮河沿岸,日军直接控制特务队，广布眼线，抓捕地下人员，敲诈商户，刑讯爱国百姓政协凤台县...。,抗战胜利后捕获处决。
李简谷（二疤拉）,继任凤台日军特务队长,凤台城乡,接手特务组织，发展大批便衣密探，告密引导日军下乡扫荡，制造多起抓捕血案政协凤台县...。,汉奸审判判处死刑。
张济航（张海樵）,凤台后期特务头目,凤台、潘集,搜集淮上根据地情报，策反我方基层人员，绑架勒索富户，鱼肉乡里政协凤台县...。,战后逮捕法办。
王少亭（王松子）,凤台特务队骨干,凤台沿淮码头,在渡口盘查往来行人，告密抓捕进步群众，勾结烟土走私资敌政协凤台县...。,抗战胜利后判刑。
杨立言,伪绥靖六团团长（大褂队）,潘集、凤台北部,土匪投敌，“大褂队” 改编伪军，四处烧杀抢掠、绑票勒索，捕杀抗日干部，多次进攻凤台抗日民主政府，淮上祸害最大伪军头目之一淮南市人民...。,1940 年苏涂村战斗被抗日武装击毙，部队全歼淮南日报。
杨开山,伪绥靖六团副团长,潘集、沿淮一带,杨立言侄子，伪军副团长，随同扫荡根据地，劫掠乡村百姓，奸淫掳掠无恶不作。,与杨立言同一场战斗被击毙。
杨开昌,伪绥靖六团营长,潘集田集,杨立言之子，伪军基层带兵官，下乡烧杀骚扰根据地村庄。,战斗中被击毙。
李法标,伪绥靖团团长,蔡家岗（谢家集）,伪军盘踞蔡家岗据点，仗势欺压百姓，强抢民女，多次配合日军扫荡八公山周边乡村淮南市人民...。,被淮上支队内应配合锄奸，当场击毙于蔡家岗周家大院淮南市人民...。
王玉清,铁杆汉奸、据点匪首,杨公庙（舜耕山南）,投靠日军，修筑碉堡据点；专门搜捕与新四军联络矿工，残害大批矿工群众，敲诈周边村民粮食财物。,1942 年新四军二师攻打据点，战斗中将其击毙。
岳岐山（岳葫芦）,日伪淮南稽查队长,淮南矿区、寿凤边界,惯匪，1944 投靠日军，任稽查队长，在田家庵、大通码头盘查商旅，勒索抢劫；日本投降后被国民党收编继续为匪抖音百科。,解放后匪乱被剿灭，公审枪决。
何生时,乡维持会头目,潘集一带,基层维持会，配合杨立言伪军，催粮派款，刺探抗日民主政府情报，祸害当地群众淮南日报。,根据地锄奸小组捕获镇压。
王长明,日伪矿区总监,大通煤矿,汉奸总管，替日军压榨矿工，逼迫矿工挖掘万人坑掩埋死难矿工，协助日军掠夺煤炭资源。,抗战胜利后肃奸审判伏法。
陆少山,田家庵伪商会会长,田家庵码头,经济汉奸，胁迫商户开市营业，为日军筹集煤炭、粮食、铜铁等战略物资，摊派各类苛捐。,1945 年汉奸清算判处重刑。
张少武,伪凤台县警察局局长,凤台县城,执掌伪警察、侦缉队，城内搜捕爱国青年，下乡配合伪军扫荡，推行良民证、户口盘查。,抗战胜利后公审枪决。
陈猴子（绰号）,大通宪兵队便衣密探,大通‑九龙岗矿区,地痞投靠日军，混迹矿工中间，侦查地下抗日活动，告密抓捕矿工，敲诈矿工钱财。,抗战后期被地下锄奸队处决。
周汉臣,洛河伪维持代表,洛河（大通东部淮河渡口）,基层伪头目，管控渡口航运，为日军搜集船只，盘查淮河过往船只人员。,日军投降后附逆罪判刑。
