县份,姓名,籍贯,伪职及主要罪行,结局
临榆县（今山海关、秦皇岛海港区）,陈维康,不详,伪临榆县县长，驻山海关；组建伪警察，管控山海关关隘，盘查进出关人员，征集劳工粮草，搜捕地下抗日人员，执行长城封锁政策。,1945 年冀热辽部队收复山海关被俘，公审处决秦皇岛发布
,董扒皮（董某）,不详,山奉铁路伪总监（铁路系统大汉奸）；掌控山海关铁路警务，抓捕铁路工人中的抗日分子，配合日军转运兵员物资，敲诈商旅百姓。,山海关解放被俘，公审枪决
,高立山,临榆,伪警察局南海分驻所所长，外号 “南霸天”；驻守秦皇岛南海一带，抓捕多名抗日工作人员，借红白喜事大肆勒索商户百姓。,抗战胜利后公审处死
,张爱仁,不详,伪军团长，驻防秦皇岛、北戴河、海阳镇；大肆破坏滦东地下情报网，杀害多名地下情报人员，残害堡垒户。,被日军以私通八路罪名逮捕，判处十年徒刑押解回国
,吴子玉,临榆,伪临榆县警察局长，配合山海关宪兵队搜捕进出关地下交通员。,解放后镇反清算枪决
抚宁县（含台头营、石门寨据点）,赵云椿,抚宁,第一任伪抚宁县县长，组建伪县公署、警备队、新民会；冀东大暴动期间调集伪军围剿七家寨抗日暴动队伍，制造重大伤亡，推行清乡、抓丁征粮。,日本投降后潜逃，1946 年抓捕归案镇压
,王芝佐,抚宁,台头营据点伪警备队长；驻守抚宁北部山区，多次扫荡迁卢抚昌抗日游击根据地，刺探我方情报，抓捕爱国群众。,抗战后期被抗日武装就地锄奸击毙
,武修忠,抚宁,伪警察大队长；盘踞抚宁东部，频繁进山扫荡，残害山区群众。,1942 年八路军 12 团隔河头战斗中将其击毙秦皇岛市人...
,张相周,不详,末代伪抚宁县县长，强化物资统制，配合日军制造长城无人区。,战后汉奸罪判处长期徒刑
昌黎县,王连璧,昌黎,伪昌黎县县长、新民会头目；推行奴化教育，掠夺粮食矿产，管控滦河沿线据点。,日本投降后逮捕判刑
,郭二虎,昌黎,伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。,1945 年昌黎解放被俘处决
,刘振邦,昌黎,伪昌黎特务系长；专门搜捕迁卢抚昌联合县地方干部，酷刑审讯被捕人员。,镇反时期公审枪决
青龙县（伪青龙县）,孙柏青,不详,伪青龙县县长；执行长城无人区政策，强修 “人圈”，疯狂清剿长城沿线抗日武装，抓捕迫害大量群众。,1945 年被俘，公审判处死刑
,周海山,青龙,伪青龙警备大队长；伪军主力头目，多次配合日军扫荡青平根据地，制造多起村庄惨案。,解放后镇反公审处决
