姓名,伪职 / 身份,活动地区,核心罪行,最终结局
沈锦智,地方旧军官，筹划组建金华东乡维持会,金东沈宅村,沦陷前后勾结旧军官周鸿煜，密谋迎接日军，准备出面组建维持会，为日伪拉拢地方势力，企图建立傀儡基层政权。,金义浦抗日武装突击组将二人就地处决，震慑沦陷区投敌势力。
周鸿煜,旧军官，沈锦智同党,金东沈宅周边,与沈锦智串通，准备投降日军，筹划伪化地方，为日军搜集乡间情报。,同沈锦智一同被抗日武装处决。
俞荣相,孝顺镇维持会会长,金东孝顺镇,把持孝顺镇伪维持会，组建伪民团，征粮派夫，敲诈商户百姓，频繁向日军密报八大队活动踪迹，祸害金义交界百姓，民愤极大。,八大队抓捕，傅村公审大会枪决。
丁良贤,佛堂镇维持会会长,义乌佛堂镇,义乌南部铁杆汉奸；告密带路引导日军扫荡山盆村，全村几乎焚毁；为日军华中矿业公司搜刮砩矿资源，迫害义南抗日力量。,1942 年被南联抗日武装锄奸处决。
王龙,赤岸日伪密探头目,义乌赤岸,投靠日军充当眼线，刺探南联游击队情报，抓捕残害爱国群众，协助日军下乡扫荡乡村。,南联武装抓获，列举罪状就地正法。
李龙泉,义亭镇维持会会长,义乌义亭（王阡）,地痞流氓投敌，出任义亭维持会长；强征民夫修筑日军公路，欺压当地乡民，多次引导日军袭扰义西根据地。,抗日武装设计擒获，公审处决。
邵宝棠（邵宝荣）,佛堂华中矿业公司伪职员、特务,义乌佛堂,日军矿业公司汉奸，掌管物资与情报，搜捕抗日人员，协助掠夺矿产资源。,被南联俘虏，押解公审后执行枪决环球网。
苗长生,佛堂密探,义乌佛堂,充当日军耳目，向南联驻地的日军告密，致使日军出动部队围剿抗日队伍，造成人员财产损失环球网。,抗日锄奸队处决。
盛某（老盛，本名失传）,澧浦伪乡长,金东澧浦,澧浦伪乡政权头目，为日军催粮派差，向炮台据点日军递送情报，欺压乡间百姓金华市人民...。,八大队夜袭澧浦，抓捕处决金华市人民...。
方步瀛,伪兰溪县维持会会长,兰溪县城,兰溪沦陷牵头组建维持会，迎接日军入城，胁迫商户摊派物资资敌，搭建早期伪统治框架。,抗战胜利后汉奸审判判处重刑。
诸葛友三,伪兰溪县警察局侦缉队长,兰溪城区及西乡,特务头目，网罗流氓组建便衣队，搜捕金萧支队地下人员，施用酷刑迫害被捕群众。,抗战胜利后公审伏法。
陈慎言,伪东阳县维持会会长,东阳县城,东阳沦陷初期伪维持会头目，拉拢乡绅附逆，筹措粮草物资供给日军，推行良民证管控城乡。,战后汉奸清算判刑。
马永山,东阳横店伪区长,东阳横店,基层伪政权头目，配合日军扫荡会稽山边缘游击区，告密抗日武装行踪，强征民夫修筑据点工事。,金萧支队锄奸处决。
徐梦祥,伪武义县维持会会长,武义县城,武义沦陷出任维持会会长，协助日军掠夺萤石矿产，摊派苛捐杂税，奴化宣传。,抗战胜利后逮捕判刑。
钟桂生,武义柳城伪密探,武义南部山区,潜伏山区刺探抗日游击队情报，多次引导日军进山扫荡，残害山区百姓。,地方抗日自卫队抓获处决。
张楚卿,伪浦江县维持会副会长,浦江县城,协助维持会会长处理伪政务，胁迫地方士绅归顺日伪，搜刮物资。,汉奸清算判处有期徒刑。
戴阿苟,浦江黄宅伪保安队长,浦江黄宅据点,伪军小头目，带队下乡劫掠，抓捕接济抗日队伍乡民，祸害浦江南乡。,抗战后期被金萧支队击毙。
