姓名,籍贯,主要伪职（石门市）,结局
李汉卿,石家庄,石门治安维持会首任会长，日军入城最早傀儡，组织登记户口、征粮征夫，协助日军搜捕爱国人员。,1945 年潜逃，1950 年镇反抓捕，判处有期徒刑 10 年
马鹤俦,石家庄,伪市政公署筹备处主任、第一任伪石门市市长，伪商会会长，组建东亚商会，掠夺煤炭棉纱等战略物资抖音百科。,战后交出敌伪财产，判处管制 3 年
蒋表轩,东北,第二任伪石门市市长，主抓户籍保甲、物资统制。,抗战胜利被捕，判处有期徒刑
张格,天津,第三任伪石门市市长，强化城市管控，配合治安强化运动。,战后汉奸罪审判，长期监禁
韩晋援,东北,第四任伪石门市市长。,抗战胜利逮捕判刑
孙世荣,东北,第五任伪石门市市长。,捕获后判处徒刑
管锡山,东北,末代伪石门市市长，直至日本投降；日本投降后被国民党软禁收审。,解放后判处长期徒刑
杜葆田,不详,伪石门警察署长、特务系长，外号 “杜阎王”；掌管宪兵特务，私设多处地牢，酷刑残害数百抗日军民。,1951 年公审，三万人大会枪决
刘化南,河北,伪石门保安军总指挥，统辖两万伪军，驻守石门城郊铁路沿线，多次配合日军扫荡周边根据地。,1947 石家庄解放被俘，判处监禁
赵琳,石家庄,东亚商会会长，勾结日伪，搜刮工商物资，其妻金翠娥为妇女宣抚班班长。,1948 年外逃途中被劫毙命
金翠娥,石家庄,日伪妇女宣抚班班长，组织奴化宣传，拉拢妇女参加伪组织。,1948 年随丈夫外逃毙命
李绍微,不详,伪真定道道尹（道署驻石门），管辖冀中二十余县伪政权，推行保甲连坐、治安强化运动。,抗战胜利逮捕，判处无期徒刑
吴赞周,正定,伪河北省省长，起家正定维持会，伪河北省头号大汉奸，统管河北伪军政，长期遥控石门伪政权抖音百科。,1949 年狱中病死
