姓名,籍贯,伪职,主要罪行,结局
俞荣庆,铁岭,九一八铁岭自治维持会委员长，后伪铁岭县县长,九一八事变次日即牵头成立维持会，打开城门迎日军入城，移交档案、收缴本地公安武装；协助日军接管铁岭，摊派苛捐杂税，搜捕爱国人士，维持殖民统治。,日本投降后潜逃，汉奸罪登记在案，终身背负汉奸身份。
张祖荫,铁岭,铁岭自治维持会副委员长，掌控伪警察系统,协助俞荣庆投敌，接管警察队伍，配合日军维持城内治安，抓捕反日人员，协助镇压辽北义勇军。,光复后潜逃，被民主政府清算登记。
王者贵,铁岭,伪铁岭县执行委员会委员长,九一八后投靠日军，主持铁岭早期伪政权，协同伪警察、伪军围剿赵亚洲抗日总队，对抗义勇军进攻县城。,抗战胜利后汉奸罪逮捕判刑。
常郁栋,铁岭,伪铁岭县执行委员会副委员长,辅佐王者贵，参与维持会，协助日军管控城乡，配合讨伐抗日武装。,解放后逮捕惩处。
李世荫,铁岭,伪铁岭县警察局长,掌管全县伪警察，指挥侦缉抓捕爱国群众，参与对辽北义勇军大讨伐。,铁岭解放后公审处决。
李万忠,铁岭,伪铁岭县保安总队长,伪保安队头目，多次带队进山围剿赵亚洲抗日总队，抓捕、杀害义勇军战士，血债较多。,抗战胜利逮捕，汉奸罪重判。
齐乃昌,铁岭,伪保安第三队队长,多次带队搜捕抗日武装，抓捕义勇军人员，参与崔山屯战斗，残害抗日战士。,被抗日武装重创，后解放后镇压。
周大鲁,开原,伪满第八军管区中将司令,原参加马占山抗日，随即叛变投敌；长期在辽北铁岭、开原、西丰一带讨伐抗联三师；推行集团部落，强拆民房归屯，切断抗联物资来源。,苏军俘获押往伯力，引渡抚顺战犯管理所，1961 年特赦，1982 年去世。
程子源,开原八道岗子,伪地方特务密探,告密出卖白子峰抗日救国军，致使白家多人被害，为日军搜集义勇军情报，祸害乡里中国军网。,解放后镇反公审枪决。
杨宇齐,法库,伪铁岭县早期县长,改组铁岭伪县公署，推行保甲连坐，强征粮食劳工，镇压辽北抗日义勇军。,抗战胜利逮捕，汉奸罪判刑。
赵启元,不详,伪开原县县长,开原被日伪定为 “模范县”；推行粮食出荷，疯狂掠夺大豆粮食，强征国兵、劳工，围剿抗联。,光复后汉奸罪判刑。
田文,不详,伪昌图县县长,主持昌图伪政权，配合日军捕杀田振东等抗日武装人员，强征物资，推行保甲制度。,解放后逮捕判刑。
郭连壁,西丰,伪西丰县后期县长,推行集团部落，配合日伪讨伐抗联三师，强征劳工粮食。,抗战胜利逮捕判刑。
白化安,铁岭第七区,伪地方保安大队副，恶霸汉奸,伪满依附日伪；光复后勾结国民党，杀害农会干部 8 人，反攻倒算，祸害辽北乡村。,1951 年镇反公审枪决。
赵荣九,铁岭,伪铁岭县卫队长,带领伪卫警，维持城乡治安，搜捕抗日人员，配合日军下乡讨伐。,解放后判处徒刑。
