县份,姓名,籍贯,伪职及主要罪行,结局
保定（清苑县城）,吴赞周,正定,伪河北省省长，伪河北省公署驻保定；统筹河北全省伪政务，推行治安强化运动、五一大扫荡，强修封锁沟炮楼。,北平解放判无期徒刑，1949 狱中病亡
,刘昌毅（刘润斋）,清苑,保定维持会会长，首任伪清苑县长；迎接日军入城，组建伪公署、新民会，在保定城乡摊派粮款抓丁。,抗战胜利逮捕，汉奸罪判处徒刑
,曹梦九,不详,伪保定道道尹，伪保定道最高行政长官；统管 20 县伪政权，推行保甲连坐，配合日军反复扫荡冀中、晋察冀根据地。,日本投降后逮捕，判处无期徒刑
,刘凤池,保定,伪保定警备联队长；保定城伪军主力，下辖千余伪军，频繁下乡扫荡清苑周边村庄，抓捕地下交通人员。,1945 年保定解放被俘，公审枪决
,段玉昆,清苑,伪保定警察局长；配合保定日本宪兵，大肆搜捕冀中地下党组织，酷刑迫害被捕干部群众。,解放后镇反公审处决
满城县,杜耀卿,满城,伪满城县县长；依托平汉铁路，修筑大量炮楼，扫荡满城西部山区根据地。,战后汉奸罪判处长期徒刑
,韩老印,满城,伪满城警备大队长；驻守满城县城、方顺桥据点，多次进山袭扰游击队。,满城解放被俘处决
徐水县,崔子元,徐水,伪徐水县县长；执行治安强化运动，强征壮丁粮草资敌。,战后逮捕判刑
,王洛先,徐水,伪徐水警备大队长；伪军铁杆，配合日军扫荡徐水、定兴交界地带。,徐水解放被俘枪决
定县（定州）,高砚然,不详,伪定县县长；多次写信诱降游击队长甄凤山，指挥伪警备队反复扫荡定县乡村。,抗战胜利归案审判
,韩希梦,定县,伪定县警备大队长；铁杆汉奸，每次日军扫荡充当先锋，残害百姓。,被我方武工队锄奸击毙党史学习教...
,张万祥,定县,伪特务系长；专门搜捕定县地下党员，抓捕抗日家属。,镇反时期公审处决
望都县,王介三,不详,伪望都县县长；管控望都铁路沿线，修筑封锁沟，抓捕堡垒户。,战后判处徒刑
,葛老星,望都,伪望都警备大队长；多次袭扰望都、唐县交界游击区。,望都解放被俘处决
完县（顺平）,董化南,不详,伪完县县长；日军扫荡完县根据地，协助推行清乡。,战后逮捕判刑
,石老会,完县,伪完县警备大队长；驻守县城与腰山据点，进山扫荡。,1944 年被地方武装击毙
唐县,齐寿山,不详,伪唐县县长；唐县大部分为晋察冀根据地，日伪仅控制县城及少数炮楼，疯狂搜捕抗日人员。,日本投降后潜逃，后抓捕归案判刑
,李老山,唐县,伪唐县警备大队长；依托县城据点出城抢掠，迫害抗日家属。,唐县解放被俘枪决
安国县,刘国华,不详,伪安国首任知事；组建伪公署，设立新民会，推行奴化教育。,战后清算判刑
,王百善,不详,后期伪安国县长；五一大扫荡之后强化伪大乡制度，强征粮米。,解放后镇反处决
,赵老德,安国,伪安国警备大队长；伪军主力，反复扫荡安国乡村根据地。,安国解放被俘处死
博野县,程鹤山,博野,伪博野县县长；五一大扫荡后重建伪政权，搜捕冀中地下干部。,战后汉奸罪判处徒刑
,张老圈,博野,伪博野警备大队长；下乡清乡，抓捕抗日人员。,博野解放被俘枪决
蠡县,齐子修,博野籍,伪蠡县警备司令；五一大扫荡后盘踞蠡县，残害冀中抗日军民。,日本投降后被国民党收编，解放后抓获处决
,李寿山,不详,伪蠡县县长；依附伪军，推行保甲，摊派物资。,战后逮捕判刑
高阳县,王锡九,高阳,伪高阳县县长；管控潴龙河沿线，掠夺棉花粮食资敌。,战后判处长期徒刑
,季寿山,高阳,伪高阳警备大队长；多次扫荡高、蠡边境，破坏地道村庄。,高阳解放被俘处决
