姓名,伪职 / 身份,活动地区,核心罪行,最终结局
汪笃斋,安庆维持会首任会长、自治委员会委员长,安庆老城区,安庆沦陷头号汉奸，日军进城举太阳旗出城迎接；组建维持会，发放盐商执照收受贿赂，胁迫商户复业，办理良民证，协助日军搜捕爱国人士，其子在天津出任伪警察分局长。,抗战胜利后肃奸逮捕，判处死刑处决。
马千里,汪伪首任伪怀宁县县长,安庆、怀宁全域,经天主堂神父举荐出任伪县长，搭建伪怀宁县公署，推行保甲，强征粮秣民夫，配合日军清乡扫荡四乡，管制长江航运码头。,抗战胜利汉奸审判伏法。
杨琢青,继任伪怀宁县县长,安庆城区及四乡,接续伪县政务，扩充伪警察、伪保安武装，配合日军对洪镇、月山游击区扫荡，迫害抗日家属。,肃奸运动判处重刑。
陈楷贤,安庆特务机关大特务、伪洪镇区区长,怀宁洪镇,鸦片烟鬼出身，铁杆特务；带队充当日军向导夜袭江镇，纵火焚烧民房；拦劫根据地紧缺盐、布、医药物资；随意罗织 “私通新四军” 罪名抓捕百姓，敲诈勒索，血债累累。,1942 冬被游击锄奸队就地击毙。
潘大咀（潘大嘴）,安庆宪兵队特高特务头目,安庆全城城乡,日军宪兵队特高骨干，凶狠残暴；街头随意诬陷平民为抗日分子，大肆逮捕刑讯，残害无辜百姓，安庆百姓人人避之唯恐不及。,抗战胜利捕获公审枪决。
刘迈,伪第一方面军独立团团长,安庆、怀宁、桐城沿江,原地方游击武装叛变投敌，在安庆组建伪军独立团；驻防安庆外围据点，多次配合日军进攻皖江抗日根据地，劫掠沿江村镇百姓。,抗战胜利伪军解体，汉奸审判处决。
周昆贤,望江县杨湾汉奸向导,望江杨湾,带领日军汽艇扫荡杨湾，直接酿成杨湾惨案，52 名平民惨遭杀害，村庄焚毁，为日军打探乡间抗日武装踪迹望江新闻网。,抗战胜利公审处决。
李益州,杨湾投敌骨干,望江杨湾,与周昆贤一同充当向导，告密村中藏匿抗日人员，协助日军烧杀掳掠，迫害当地百姓望江新闻网。,战后肃奸判处死刑。
余昆山,杨湾汉奸,望江杨湾,搜集乡间情报向日军告密，参与杨湾惨案，敲诈当地乡民财物望江新闻网。,捕获后依法镇压。
冯小黑子（绰号）,月山据点便衣特务,怀宁月山、凉亭乡,先投靠日军当情报特务，后又摇摆向国民党；日军为抓捕他扑空叶家享堂，迁怒无辜平民，酿成民间惨案中安在线。,被我方武工队追踪击毙。
方礼高,怀宁地方劣绅、伪乡情报联络员,怀宁石牌周边,暗地为日伪搜集游击武装情报，通风报信，勾结敌伪势力欺压乡里，阻挠根据地开展工作。,游击区公判大会宣布九大罪状，就地处决中安在线。
葛明,日伪华林剧院经理、日军翻译,安庆钱牌楼,扬州籍翻译，勾结青帮，经营敌伪剧院，借演艺场所搜集社会情报，招待日军，扶持亲日文艺演出，盘剥削艺人员。,抗战胜利附逆案判刑。
陆大鹏,华林剧院合伙汉奸,安庆城区,与翻译葛明合伙经营敌伪剧场，充当日伪社交联络人，拉拢安庆商界、帮会势力附逆资敌。,战后逮捕惩处。
王汉臣,伪怀宁县警察局局长,安庆城内,执掌伪警察、侦缉队；码头、城门盘查行人，大肆搜捕地下党员、爱国青年，酷刑审讯被捕人员。,1945 年肃奸公审枪决。
姚慕陶,伪怀宁县财政科长,安庆,经济汉奸，征收各类苛捐杂税，统筹粮食、铜铁、油料为日军搜刮战略物资，摊派商户巨额捐款。,战后判处有期徒刑。
张慎修,伪怀宁县教育科长,安庆‑怀宁,推行奴化教育，中小学强制日语教学，查禁爱国书刊，改组城乡学校伪化教育。,附逆案判刑。
孙少山,广济圩伪区团长,安庆东郊广济圩,把持圩区伪自卫团，强征圩民出工修碉堡，多次引导日军扫荡广济圩，抓捕接济新四军群众。,解放后镇反公审处决。
桂老五（绰号）,安庆宪兵队便衣,安庆城郊、集贤关一带,地痞流氓投靠宪兵队，混迹市井乡村，侦查地下抗日活动，告密抓捕进步群众，敲诈商户百姓。,抗战后期被锄奸队击毙。
吴守义,枞阳汤沟伪维持会会长,旧属安庆枞阳沿江,汤沟沦陷出任维持会长，迎接日军进驻，办理良民证，征粮派夫，管控长江渡口，刺探江北游击区情报。,抗战胜利汉奸审判处决。
