姓名,伪职 / 身份,活动地区,核心罪行,最终结局
李思贤,伪厦门特别市市长，兼警察厅长、劝业银行董事长，十余项伪职抖音百科,厦门全岛、鼓浪屿、金门,厦门头号大汉奸；主持全套伪行政、警政体系；推行保甲良民证，强征物资民夫，兴办奴化宣传，掌控金融，镇压爱国活动。,抗战胜利一审死刑，上诉改 15 年，保外就医潜逃漳州；1951 年新中国公审枪决。
黄莲舫（黄廉舫）,伪新华同盟会副会长、伪华侨公会会长、厦门建设公司筹委,厦门、鼓浪屿，窜扰漳泉沿海,联络汪伪，策划组建汉奸组织；献计日军进犯东山、平潭、湄洲，推荐伪军头目，企图出任漳州维持会长。,1940 年被抗日志士制裁击毙。
洪立勋,伪厦门市商会会长厦门网,厦门、鼓浪屿,胁迫商界纳贡资敌，配合日军经济掠夺，参与 “大东亚共荣” 宣传。,1939 年鼓浪屿被厦门血魂团伏击暗杀毙命厦门网。
卢用川,伪特别市经济局长,厦门城区,主导物资统制，掠夺粮食、土产，管控进出口为日军服务。,光复后逮捕，汉奸法庭判处重刑。
金馥生,伪特别市财政局长,厦门城区,苛捐杂税，横征暴敛，为伪政权与日军筹措经费。,被捕判刑。
林济川,伪禁烟局长（实为鸦片专卖）,厦门全岛,推行毒化政策，大开烟馆，贩卖鸦片牟利。,肃奸拘押判刑。
叶则庵,伪教育局长,厦门城区,推行奴化教育，改造学校、教科书，宣扬日华亲善。,逮捕判刑。
陈见园,伪市府秘书长,伪特别市政府,伪市府核心幕僚，协助李思贤处理政务，草拟伪政令。,战后审讯定罪。
张修荣,伪市府秘书长,伪特别市政府,参与伪政权行政运作，办理伪公文。,逮捕判刑。
王廷植,伪金门特别区署长,金门,主持金门伪区署，强迫金门种植鸦片，征粮抓夫，推行伪化统治。,光复后拘捕审判。
王天和,伪金门特别区署科长,金门,辅佐王廷植，执行苛政，督办鸦片种植。,汉奸案判刑。
蔡文篇,伪厦门开发公司董事,厦门,经济汉奸，配合日方掠夺福建资源。,战后定罪。
陈刚池,伪稽征所主任,厦门城区,负责苛捐稽征，盘剥商户百姓。,被捕判刑。
郭光斗,伪法院书记长,伪厦门特别市法院,协助伪司法机构，罗织罪名迫害抗日群众。,肃奸判刑。
傅炳宽,伪警长,厦门伪警察系统,指挥伪警搜捕爱国人士，城门关卡盘查迫害市民。,逮捕判刑。
林身,伪禾山区长（人称禾山皇帝）,禾山（今湖里）,把持禾山地方伪权；拆毁学校中饱私囊，掌控盐管处，勒派捐款献机给日军，压榨乡间。,国民政府肃奸，判决后改判无罪；解放后重新清算治罪。
吴添民,禾山保甲联合会总会长,禾山,主持基层保甲，编组伪保甲，征夫征粮，检举抗日家属。,肃奸立案判刑。
周顺山,伪厦门保卫团禾山区团长、决战联盟支部长,禾山江头,掌握地方伪武装，训练壮丁，配合伪警镇压民间反抗。,一审五年，后改判无罪释放。
洪德馨,伪警察局禾山分局长,禾山,执掌禾山伪警察分局，抓捕迫害百姓。,肃奸判处两年半徒刑。
蓝步青,伪福建和平救国军厦门伪军指挥官,厦门沿海、近海岛屿,黄莲舫举荐，指挥本地伪军，袭扰闽南沿海，劫掠船只，进攻内地游击武装。,抗战胜利被国民党收编，后续被清算。
刘培英（台籍）,新华同盟会理事，日伪骨干,厦门,台籍汉奸，协助黄莲舫搭建汉奸组织，为兴亚院联络部搜集情报。,光复后作为台奸审讯定罪。
