区域,姓名,籍贯,伪职,主要罪行,结局
榆次（榆次县）,韩步洲,榆次,伪山西省保安第四师师长,原阎军，投敌，驻扎榆次；多次率伪军扫荡榆次、太谷边山根据地，抓捕抗日干部。,抗战胜利被阎锡山收编；太原解放被俘，劳动改造
,赵晋之,榆次,伪榆次县县长,建立榆次伪县公署、伪警察、新民会；推行保甲，管控正太铁路，征粮抓丁，配合治安强化运动。,光复后逮捕，汉奸罪判刑
,王仲山,榆次,伪榆次警备大队长,盘踞榆次城、东阳据点，带队下乡清乡扫荡，残害堡垒户。,解放后公审枪决
,刘德胜,榆次,宪兵队便衣特务头目,发展密探网络，破获地下交通站，抓捕地下党员。,解放后镇反处决
太谷县,武述之,太谷,伪太谷县县长,组建太谷伪政权，修筑炮楼，盘剥百姓，配合日军扫荡太谷山区。,战后逮捕判刑
,白守义,太谷,伪太谷警备大队长,驻守太谷县城、范村据点，多次袭扰根据地边缘村庄。,解放后公审枪决
,杜成业,太谷,伪商会会长，伪政权骨干,为日军筹措粮食、物资，胁迫地方士绅附日。,战后汉奸罪判刑
祁县,王怀仁,祁县,伪祁县维持会会长,商人，1937 祁县沦陷主动投敌；组建侦缉队，建立保甲，出卖情报，致使八路军子洪口作战受挫。,1938 八路军锄奸处决
,史梅岑,祁县,伪祁县县知事（伪县长）,接续伪政权，强征粮款鸦片，配合日军扫荡祁县南山根据地。,抗战胜利逮捕判刑
,吕子英,祁县,伪祁县警备大队长,驻守祁县城、子洪据点，残害抗日军民。,解放后公审枪决
平遥县,耿梦梅,平遥,伪平遥县县长,建立平遥伪县公署，管控同蒲铁路，推行保甲十家连坐，压榨城乡百姓。,战后逮捕判刑
,王绍武,平遥,伪平遥警备大队长,率伪军下乡清乡，抓捕抗日干部群众。,解放后镇压处决
,宋子英,平遥,便衣特务头目,投靠平遥宪兵队，四处搜捕地下人员，作恶多端。,被我方武工队俘获处决文水县人民...
介休县,侯福麟,介休,伪介休县县长,搭建介休伪政权，强征煤炭粮食，修筑炮楼据点，配合日军扫荡绵山根据地。,光复后逮捕判刑
,梁子久,介休,伪介休警备大队长,盘踞介休、张兰据点，多次进山扫荡。,解放后公审枪决
寿阳县,王嘉猷,寿阳,伪寿阳县首任县长,旧官僚，1937 沦陷出任伪县长；建立伪公署、维持会，推行保甲，抓夫修炮楼，配合扫荡盂寿根据地。,抗战胜利逮捕判刑
,翟宗恕,寿阳翟上庄,日军情报班长，地主汉奸,出卖十区区长石民先，发展乡村密探，疯狂搜捕抗日人员。,1944 武工队锄奸处决
,乔玉莲,寿阳,“黑军” 伪军头目,土匪投敌，盘踞白草峪，袭扰盂寿根据地，捕杀区村干部。,1940 武工队奔袭据点击毙
,李怀英,寿阳,黑军副头目,乔玉莲副手，继续祸害寿阳东部。,1941 反扫荡战斗被民兵击毙
,刘文奎,寿阳,伪便衣特务,下乡搜捕干部，敲诈百姓。,1940 被武工队活捉镇压
昔阳县,李宝珩,昔阳,伪昔阳县县长,建立昔阳伪政权，推行治安强化运动，强征壮丁粮食，配合日军扫荡太行根据地。,战后逮捕判刑
,赵儒,昔阳,伪昔阳警备大队长,驻守昔阳县城，多次配合日军制造多起惨案。,解放后公审枪决
,张二混子,昔阳,宪兵队便衣头目,刺探根据地情报，告密抓捕抗日军民。,抗战时期被我方锄奸处决
和顺县,张宪堂,和顺,伪和顺县县长,日军占领和顺县城后组建伪县公署，修筑炮楼，压榨百姓。,县城收复后逮捕判刑
,王万合,和顺,伪和顺警备大队长,盘踞和顺县城，袭扰太行二分区根据地。,解放后镇压处决
左权县（辽县）,刘三柱、要三寿、李荣桂、阎祥云,左权,日伪特务团伙,秘密潜入根据地，密谋刺杀彭德怀，企图建立地下伪政权。,1943 麻田军民公审，全部枪决晋中长安网
榆社县,杨绍先,榆社,伪榆社县县长,日军短期占领榆社，组建临时伪政权，摊派粮款。,县城收复后逮捕判刑
,赵二秃子,榆社,伪警备队头目,随同日军下乡骚扰，抓捕抗日积极分子。,被武工队就地锄奸
