区域,姓名,籍贯,伪职及主要罪行,结局
厚和特别市（呼和浩特市区）,贺秉温,归绥,第一任伪厚和市市长；日军入城牵头组织归绥维持会，迎接日军；后任伪蒙疆土药（鸦片）公司董事长，大规模收购鸦片，毒化沦陷区，搜刮巨额资财供给日军。,1945 北平被捕，1948 绥远高等法院判处无期徒刑，狱中病死
,李树声,归绥,第二任伪厚和市市长；原旧官僚，鼓吹 “东亚圣战”，强征铜铁、粮食、劳工资敌，推行保甲、奴化教育。,汉奸罪判 15 年徒刑，入狱不久患病死亡
,徐荣候,安徽寿县,第三任伪厚和市市长；执行日伪政令，管控城市警务、物资配给，镇压爱国活动。,战后逮捕判刑
,德穆楚克栋鲁普（德王）,苏尼特右旗,伪蒙古联盟自治政府主席，伪蒙疆联合自治政府副主席；以厚和为早期首府，分裂国土，设立巴彦塔拉盟，拆分土默特旗；派遣伪蒙古军反复扫荡大青山抗日根据地，掠夺牲畜矿产，推行日语奴化教育。,1950 引渡回国受审，1963 特赦，1966 呼和浩特病逝光明数字报
,李守信,热河,伪蒙古军总司令，总部常驻厚和；指挥伪蒙古骑兵围剿大青山支队，制造多起村庄惨案，捕杀地下交通人员，强征鸦片劳工。,1950 引渡回国，1964 特赦，1970 呼和浩特去世
,吴鹤龄,内蒙古,德王核心幕僚，伪蒙疆政务院部长；参与全套分裂政策，在厚和主持奴化宣传、教育。,战后关押，特赦释放
,王英,绥远萨拉齐,伪大汉义军总司令；土匪出身，多次配合日军进攻绥西、大青山，在归绥周边烧杀抢掠。,日本投降后被国民党收编，后被处决
,魏铭,厚和,学生叛徒；1940 告密出卖绥蒙各界抗日救国会，制造厚和大惨案，190 多人被捕，百余人惨死，地下组织遭到毁灭性破坏，出卖刘洪雄等革命志士。,抗战胜利后公审枪决
,燕漫云,厚和,伪巴彦塔拉盟师范学生，叛变投敌；出卖救国会成员，供出地下联络点。,解放后镇反处决
,孔广和,厚和,伪师范学生叛徒，跟随魏铭出卖抗日组织，指认抓捕爱国人员。,解放后镇反处决
,补英达赉,锡林郭勒,伪蒙疆最高法院院长；在厚和审判迫害蒙汉抗日人员；日降后搞分裂 “临时政府”。,被俘后处决
,刘长荣,归绥,伪厚和警察局长；配合日本宪兵队搜捕大青山地下工作人员，刑讯迫害被捕群众。,绥远解放公审枪决
,吉格木德,土默特旗,伪土默特旗公署参事官；拆分土默特旗，推行部落制度，配合日军清乡。,战后判处长期徒刑
萨拉齐县（旧属巴彦塔拉盟）,卜兆瑞,萨拉齐,伪萨拉齐县县长；修筑大量炮楼，管控平绥铁路西段，扫荡大青山南麓村庄。,战后汉奸罪判处徒刑
,祁老幺,萨拉齐,伪萨拉齐警备大队长；伪军铁杆，经常进山配合日军扫荡。,萨拉齐解放被俘枪决
托克托县,樊景周,托克托,伪托克托县县长；管控黄河渡口，强征粮秣，抓捕渡河地下交通人员。,战后逮捕判刑
,云得胜,托克托,伪托克托讨伐队长；下乡清剿，残害抗日家属。,托克托解放被俘处决
和林格尔县,邢宝臣,不详,伪和林格尔县县长；大青山根据地前沿，修筑碉堡，疯狂搜捕游击队员。,日本投降潜逃，后抓捕归案判刑
,赵二虎,和林格尔,伪和林格尔警备大队长；多次配合日军 “扫荡” 南山根据地。,和林格尔解放被俘枪决
清水河县,阎秉权,清水河,伪清水河县县长；管控晋绥交界，修筑封锁线，抓捕往来地下人员。,战后汉奸罪判处徒刑
,王拴牛,清水河,伪清水河讨伐队头目；祸害山区村庄，迫害堡垒户。,1944 被大青山武工队击毙
武川县,亢锦荣,武川,伪武川县县长；武川是大青山根据地核心敌占据点，推行集家并村，制造无人区。,战后逮捕，判处无期徒刑
,安恩达,武川,伪武川警备联队长；伪军主力，频繁进山围剿八路军大青山支队。,武川解放被俘公审枪决
固阳县,史景堂,不详,伪固阳县县长；管控阴山北麓，强征牲畜粮草供给伪蒙古军。,战后汉奸罪判处徒刑
,郭满贵,固阳,伪固阳讨伐大队长；下乡烧杀抢掠，搜捕游击小组。,固阳解放被俘处决
