姓名,伪职 / 身份,活动地区,核心罪行,最终结局
叶永年,伪哈尔滨警察厅外勤警佐，特务头目（“白菜叶” 之一）,哈尔滨全市，参与三肇地区扫荡,手下 “四大扒皮”“八大打手”，大肆抓捕杀害抗联、爱国群众；制造三肇血案，敲诈商户，制造多起冤狱抖音百科。,1951 年被处决。
白受天,伪哈尔滨警察厅特务科特务（“白菜叶” 之一）,哈尔滨、双城,专门搜捕地下党、抗联地下交通人员，酷刑迫害被捕爱国人士，多次参与大检举抓捕行动。,解放后公审处决。
蔡圣孟,伪哈尔滨警察厅刑事科搜查股长（“白菜叶” 之一）,哈尔滨、辽宁东部,制造本溪胡家村惨案，200 余群众被捕屠杀；追踪捕杀抗日志士，严刑逼供杀害多人。,1951 年处决。
于镜涛,伪哈尔滨警察厅厅长，后伪滨江省省长,哈尔滨、滨江省全境,执掌哈尔滨伪警察体系，推行粮食出荷、国兵征集，主导镇压北满抗日力量，兼任协和会头目。,解放后被关押改造。
金荣桂,第一任伪哈尔滨警察厅厅长,哈尔滨,九一八后投日，组建伪哈尔滨警察厅，搭建镇压抗日运动的整套伪警机构。,伪满后期病死。
鲍观澄,伪哈尔滨特别市市长,哈尔滨,主持哈尔滨特别市伪市政，执行日本殖民政令，赴外地替伪满做宣传游说。,抗战胜利后潜逃香港。
李九鹏,日本宪兵队高级特务，道外恶霸,哈尔滨道外,开设赌场为日军搜集情报，密探网遍布道外，出卖爱国人士，敲诈残害百姓。,1946 年公审枪决。
姚锡九,伪满勾结日军的地方恶霸、特务,哈尔滨道外,投靠日本宪兵，充当特务眼线，盘剥劳工，欺压民众，资敌。,1946 年与李九鹏一同被枪决。
韩守魁（金赤民）,原中共哈尔滨特委书记，叛徒,哈尔滨、北满各地,被捕叛变，出卖哈尔滨及北满地下党组织，造成 700 余人被捕，198 名革命者牺牲，北满城市地下组织几乎毁灭。,被日军用完后处决。
傅景勋,原哈东特委宣传部长，叛徒,哈尔滨、哈东地区,主动投敌，亲自带队搜捕地下党员，泄露全部联络点、组织关系，摧毁哈东地下交通网。,解放后被镇压。
桑如桂,原哈尔滨特委交通局主任，叛徒,哈尔滨,追随韩守魁叛变，出卖交通站、地下干部，大量地下工作者因此被捕遇害。,解放后惩处。
刘汉章,原东北军团长，伪自卫团头目,哈尔滨‑一面坡,九一八后勾结叶永年投敌，组建伪自卫团，围剿抗日武装，残害群众抖音百科。,抗战胜利后被清算。
