区域,姓名,籍贯,伪职及主要罪行,结局
赤峰市区（赤峰县，伪热河省）,叶柏寿,不详,伪赤峰县县长；推行保甲、集家并村，配合讨伐队清剿赤峰周边抗日武装，强征劳工鸦片。,战后汉奸罪判处长期徒刑
,刘其昌,赤峰,伪赤峰警察讨伐队大队长；多次进山扫荡承平宁联合县，抓捕武工队、地下交通人员，血债较多。,1945 年赤峰解放被俘公审枪决
,王熙祉,赤峰,伪赤峰警务科特务股长；发展大批乡村密探，搜捕地下党组织，刑讯被捕爱国群众。,解放后镇反处决
,曲焕文,赤峰,伪赤峰警察署署长；随同讨伐队下乡，勒索、抓捕抗日家属。,1945 被俘处决
宁城县（伪喀喇沁中旗）,韩全福,宁城,韩全福讨伐队大队长，宁城头号汉奸；队伍一百七八十人，长期在宁城、平泉、喀喇沁一带扫荡，烧杀抢掠，制造多起惨案，疯狂围剿承平宁武工队。,1945 年解放被俘，公审枪决中国人民政...
,纪东（纪东阁）,宁城小城子,纪东讨伐队队长；原警察署长，部队三十余人，敲诈勒索，残害根据地群众，抢掠物资，破坏地下交通。,1945 年全部被俘，纪东被公审处决中国人民政...
,王琦斋,宁城,伪喀喇沁中旗旗长；依附日伪，推行部落制度，配合集家并村。,战后判刑管制
,王占一,宁城,伪协和会会长；奴化宣传，检举抓捕爱国群众，为讨伐队搜集情报。,土改时期镇压处决中国人民政...
喀喇沁右旗（王爷府）,吴子恒,喀喇沁,伪喀喇沁右旗旗长；协助日军封锁山区，抓捕承平宁抗日人员。,战后汉奸罪判处徒刑
,鲍凤鸣,喀喇沁,伪喀喇沁讨伐队队长；常驻王爷府，扫荡小牛群、大庙一带山区。,1944 被武工队锄奸击毙
敖汉旗,张化南,敖汉,伪敖汉旗旗长；强征粮食牲畜，修筑部落（人圈），镇压敖汉南部抗日活动。,日本投降潜逃，后抓捕归案判刑
,孙老嘎,敖汉,伪敖汉警察讨伐队头目；下乡清剿，残害堡垒户。,敖汉解放被俘枪决
翁牛特旗（乌丹）,苏绍泉,不详,伪翁牛特旗旗长；乌丹为伪热河北部重镇，管控西拉木伦河沿线，配合日伪大讨伐。,战后逮捕判刑
,李守信,热河,伪蒙古军 57 团团长，驻防乌丹；骑兵主力，频繁围剿热北根据地。,1950 引渡归案，1964 特赦释放
巴林左旗（林东，伪兴安西省）,旺钦帕尔赉,阿鲁科尔沁,伪兴安西省省长；原阿鲁科尔沁王爷，投靠伪满，操纵蒙旗行政，征调蒙古骑兵配合日军扫荡。,战后关押，特赦释放
,尹大马棒,不详,伪蒙古军 58 团团长，驻防林东；骑兵讨伐，祸害巴林草原。,日本投降被国民党收编，解放后处决
,业喜扎木苏,巴林左旗,伪巴林左旗旗长；执行日伪政令，强征牲畜粮草供给伪蒙古军。,战后判处徒刑
巴林右旗（大板）,额尔和道尔吉,巴林右旗,伪巴林右旗旗长；协助伪满推行部落制度，监视草原抗日活动。,战后管制处理
,包凤山,巴林右旗,伪大板讨伐队队长；草原清剿，抓捕支援游击队的牧民。,林西战斗被俘处决
阿鲁科尔沁旗,苏达那木道布,阿鲁科尔沁,伪阿鲁科尔沁旗旗长；接替旺钦帕尔赉，全盘执行伪满政策，警务实权掌握在日本参事官手中。,战后关押判刑
,哈丰阿,阿鲁科尔沁,伪旗警务科长；配合日本特务搜捕地下人员。,解放后镇反处决
林西县（伪兴安西省行署驻地）,苏绍泉,不详,伪林西县县长；伪兴安西省行署所在地，管控热北军政，设立矫正局镇压反满抗日人士。,战后逮捕判刑赤峰市林西...
,白孝山,林西,伪林西伪军连长；日本投降前维持城内戒严，负隅顽抗。,被苏联红军俘获，后处决赤峰市林西...
克什克腾旗（经棚）,诺尔布扎木苏,克什克腾,伪克什克腾旗旗长；草原边界，配合日伪搜捕热北游击武装。,战后管制处理
,吴宝山,克什克腾,伪经棚讨伐队长；进山清剿，残害山区牧民。,1945 年解放被俘枪决
开鲁县（当时属伪兴安西省）,姜明远,开鲁,开鲁第一任伪县长，商会会长；1933 从中撮合促成李守信投敌，迎接日军占领开鲁，组建伪政权，搜刮资财。,战后汉奸罪重刑关押
,崔兴武,辽宁黑山,原东北军骑兵旅长投敌；交出部队给李守信，后去长春任伪满赛马会会长。,日本投降后被关押，病死狱中
