姓名,伪职 / 身份,活动地区,核心罪行,最终结局
林义和,伪福建和平救国军第一路军司令（长乐籍，盘踞闽东海岛）,马祖、嵛山岛，袭扰三沙、沙埕、三都澳沿海,海匪出身受厦门日军收编，指挥伪军在闽东海面劫掠商船渔船，登陆霞浦、福鼎沿海村镇抢掠，抓捕渔民，封锁闽东海上航道，为日军提供沿海情报。,1942 年被伪军内部仇家郑德明等人沉海杀害。
吴依恪（吴正善）,伪军头目,北竿、嵛山岛，窜扰闽东沿海,海匪汉奸，引日军势力进入闽东列岛，胁迫岛上保甲交出枪械物资，配合林义和袭扰宁德近海村镇。,伪军内讧中覆灭。
张逸舟,伪福建和平救国军第二集团军总司令,嵛山‑三都澳外海，闽东全部海岸线,闽海总伪军头目，司令部驻南竿塘；舰船经常出没于霞浦三沙、福鼎沙埕、蕉城三都澳海面，劫掠闽东渔船，贩运鸦片、日货，抓捕海上抗日人员。,抗战胜利被军统收编，后逃亡海外。
郑德民,伪和平救国军副司令,闽东海域,张逸舟副手，多次率船窜犯霞浦、福鼎沿海，劫掠船只，参与杀害林义和，兼有伪军、军统双重身份。,战后肃奸逮捕判刑。
林沧圃,伪和平救国军参谋长,闽海海面,负责伪军与厦门兴亚院联络，策划袭扰闽东沿海，策动闽东沿海海匪、地方人员下海投伪。,抗战胜利被国民党当局收用。
余阿徨（余宏清）,早期伪和平救国军总司令,闽浙交界海面，嵛山岛,最早被日军收编的闽东海匪，以嵛山岛为据点袭扰福鼎、霞浦沿海，劫掠渔商，抓捕爱国渔民。,内部火并垮台，残部并入张逸舟集团。
王阿发（绰号）,日伪潜入谍报员,霞浦三沙、牙城一带,受厦门日伪派遣，伪装渔贩登陆闽东，侦查海防工事，搜集国军布防情报，收买沿海地痞当眼线，散布亡国谣言。,霞浦保安团破获，军法处决。
李老歪（绰号）,日特情报联络员,福鼎沙埕、前岐闽浙边界,由浙南日伪特务机关派出，混迹闽浙边境集镇，打探军队调动，引诱沿海渔民下海参加伪军。,福鼎军警稽查处捕获，判处死刑。
陈阿狗（绰号）,潜伏密探,福安赛岐、穆阳,伪装船工，沿赛江活动，刺探福安军政、物资转运情报，向敌占岛屿传递消息，暗中勾结走私资敌。,军统闽南站破获，就地正法。
郑阿财（绰号）,日伪外围眼线,蕉城飞鸾、三都澳周边,混入三都澳难民之中，搜集港口防务情报，给海上伪军通风报信，指认爱国渔民。,宁德地方自卫队抓获，判处有期徒刑。
