姓名,伪职 / 身份,活动地区,核心罪行,最终结局
翁星若,黄岩维持会会长,黄岩县城（1941 “四一九” 沦陷）,黄岩沦陷头号汉奸，牵头组建伪维持会；迎接日军入城，组织民夫搬运粮食物资资敌，四处布哨盘查百姓，引导日军劫掠城内商号中国台州网。,日军撤退后，1941‑05‑03 被判处死刑执行枪决中国台州网。
孙荣,黄岩维持会副会长,黄岩城关,协助翁星若，联络商户开市，搜集民间物资，随同日军下乡侦查，祸害城郊百姓中国台州网。,与翁星若一同公审枪决中国台州网。
冯小头,黄岩维持会骨干,黄岩县城,维持会核心爪牙，带队检查行人、敲诈商铺，为日军强征铜铁粮食。,1941 年 5 月 3 日执行死刑中国台州网。
胡常瑛,伪南田（三门湾）县长、伪三门湾水陆保安总队总队长,三门南田岛、石浦一带,受汪伪浙东行政公署委任，海岛伪军政头目；拥伪军数百，盘踞南田岛，强征巨额开办费，袭扰三门沿海，企图向大陆扩张，多次与我方地方武装交战浙江省地方...。,南田被我方攻克，率残部逃至石浦；抗战胜利后逮捕审判。
曹云振,伪三门湾水陆保安总队中队长,南田岛海面,胡常瑛部下伪军头目，出海劫掠渔船，进攻大陆沿海乡村。,南田战斗被活捉俘虏浙江省地方...。
陈宪卿,临海附逆汉奸,临海城关,日军过境沦陷期间投靠敌寇，充当向导，搜集城内情报，胁迫商绅资敌。,1944 年 9 月第七行政督察区在临海公审处决台州史志。
三报子（绰号）,黄岩便衣流氓汉奸,黄岩城乡,沦陷期间依附日军，趁火打劫，敲诈抢掠平民百姓，为维持会充当打手爪牙中国台州网。,沦陷结束后捕获惩处。
周阿桂,海门（椒江）日军便衣密探,海门、葭沚、路桥一带,地痞投敌，刺探我方自卫队情报，引导日军登陆扫荡，告密抓捕爱国青年。,被地方抗日自卫队锄奸处决。
张阿毛,温岭海上密探向导,温岭松门、石塘沿海,熟悉海湾航道，多次引导日舰登陆袭扰盐场渔村，刺探沿海自卫队布防情报。,抗战胜利后公审枪决。
李蛰锵,玉环（旧属温州，现台州）汉奸，大发公司主事,玉环楚门,与李步青等人开办 “大发公司”，集鸦片、赌博、慰安为一体，迎合日军，盘剥渔商百姓玉环史志网。,战后汉奸罪逮捕判刑。
李步青,玉环伪组织骨干,玉环坎门、楚门,协助李蛰锵经营资敌机构，为日军搜刮渔货物资，胁迫地方百姓。,清算判处有期徒刑玉环史志网。
王化成,玉环汉奸,玉环沿海,依附日伪，为日军搜罗物资、充当联络人，迫害不愿顺从民众玉环史志网。,战后法办。
张翰庭,温岭资敌巨商,温岭、海门,大地主商人，抗战期间多次大规模走私粮食、桐油出海，企图运送给日伪，被群众运动阻止，属重大资敌分子黄岩新闻网。,战后受到清算。
朱四喜,天台日军向导汉奸,天台城郊（1945 年日军北撤过境）,1945 年 6 月日军溃退过境，充当向导带路，刺探乡间道路情报。,被当地自卫队活捉处决浙江省地方...。
