姓名,伪职 / 身份,活动地区,核心罪行,最终结局
窦光殿,汪伪暂编第十五师师长,濉溪百善、南坪、孙疃一带中共淮北市...,皖北实力最强本地伪军头目，兵力五千余；盘踞宿西南，强拆民房、抓丁拉夫，设立侦缉队，杀害抗日军民六十余人，多次进攻豫皖苏抗日根据地，劫掠乡村。宿南战役核心伪军。,1945 年宿南战役被新四军四师击毙，部队大部被歼灭中共淮北市...。
张长法,濉溪口伪区大队长,濉溪老城（今淮北濉溪）中国人民政...,率三百伪军固守濉溪口据点，管控商贸与煤炭运输；搜捕地下抗日人员，下乡扫荡、敲诈百姓。日本投降后拒不向抗日武装投降，凭城墙工事顽抗。,1945 年 9 月新四军十一旅攻克濉溪口，俘获后公审枪决中国人民政...。
邵世恩,萧县黄口维持会会长,黄口（今杜集北部旧属萧县）抖音百科,劣绅，日军一到黄口即组建维持会；征粮派夫，建立伪基层组织，残害爱国群众。其子邵竞生为主要帮凶。,抗战胜利后肃奸逮捕法办。
邵竞生（邵秃子）,伪萧县县长,萧县黄口、萧城，波及今淮北杜集抖音百科,邵世恩之子，人称 “二县长”；辅佐其父把持黄口伪政权，后出任汪伪萧县县长，推行保甲、强化治安，配合日军扫荡萧铜根据地。,1952 年镇反处决抖音百科。
袁大钦（袁三）,临涣集投敌劣绅,濉溪临涣集,地方豪绅，日军进临涣，出城举太阳旗迎接日军入城，主动献粮献物资敌，帮助日伪维持集镇秩序。,投敌之后不久染病死亡，民愤极大，记入地方耻辱史料。
李从政,铁佛维持会会长,濉溪铁佛集镇据点濉溪县人民...,铁佛头号汉奸，组建维持会，抓人质、搜捕抗日干部，给日军提供情报，迫害当地抗日家属。,抗战胜利后汉奸审判判处死刑。
黄太勋,古饶新民会会长,濉溪古饶（今烈山）濉溪县人民...,成立伪新民会，发展亲日组织，鼓吹 “大东亚共荣”，胁迫士绅附逆，刺探根据地情报。,根据地锄奸行动抓捕镇压。
王疤眼（绰号）,伪伪军大队长,蔡里（今淮北杜集）淮北文明网,原旧军官，投敌任伪军大队长；其子充当日军翻译，父子作恶，抓捕残害爱国人士，鱼肉乡里。,1944 年中秋，被地下锄奸小组在婚宴上击毙淮北文明网。
侯保善,岳集伪军分队长,濉溪岳集据点濉溪县人民...,铁杆伪军骨干，多次下乡扫荡；告密诬陷我方潜伏人员李彦三，致使其被捕遭受酷刑。,抗战胜利后公审处决。
李忠镐（李七猴）,徐楼维持会会长,徐楼（旧属萧县，杜集北部）,大地主，勾结曹村车站日军，建立徐楼伪据点；横征暴敛，抓捕抗日人员，破坏基层抗日活动。,新四军攻打徐楼据点，弃寨逃往徐州；抗战胜利后被缉拿归案判刑。
赵宗熹,皇藏乡维持会会长,皇藏山区（杜集东南旧属萧县）,地主劣绅，成立维持会，推行伪化，扬言报复抗日群众，联络县城汉奸。,被彭南游击队锄奸处决。
费宏阁,费寨土圩附逆头目,濉溪古饶费寨濉溪县人民...,地主武装头目，依附日伪固守费寨圩子，对抗抗日游击队，窝藏汉奸，拒绝向抗日政府交粮。,抗日武装攻打费寨，圩破被俘惩处。
刘永贵,伪军团长（胡泽普部下）,时村，波及濉溪东部边境,伪淮海省剿匪司令胡泽普手下主力团长，多次随同扫荡濉河两岸，烧杀劫掠，捕杀地方干部。,1945 年时村战斗被俘，公审枪决。
刘长伦,伪连长,时村、尹集，濉溪东部边境,带领便衣特务袭击尹集区抗日区公所，图谋杀害我区长；四处搜集根据地情报，绑架群众勒索钱财。,时村攻破被俘，镇压处决。
陈老歪（绰号）,濉溪宪兵队便衣,濉溪‑相山一带城乡,地痞投靠日军宪兵队，混迹集镇乡村，侦查地下抗日活动，告密抓捕进步群众，敲诈商户。,抗战后期被武工队锄奸击毙。
