区域,姓名,籍贯,伪职,主要罪行,结局
晋城县（今晋城城区、泽州）,陈天锡,不详,伪晋城县首任县长,建立晋城伪县公署、伪警察、新民会；推行保甲十家连坐，征粮抓丁，管控白晋铁路，配合日军扫荡晋南根据地。,抗战胜利逮捕，汉奸罪重判
,张士达,晋城,伪晋城县末代县长,维持日伪末期统治，强征物资，迫害抗日家属。,光复后逮捕判刑
,郭永福,晋城周村,东沟据点伪警备队长、铁杆汉奸,盘踞东沟据点，勾结红枪会，多次下乡扫荡，残害周边村庄百姓，作恶极多。,解放后连同四子一并公审处决
,李末屯、李双牛、李保全,晋城寺河,红枪会汉奸头目,依附东沟据点，组织会道门为日军服务，敲诈百姓，迫害抗日群众。,抗日政府公审处决
,王锁魁、李士义,晋城,据点叛徒特务,向敌告密，出卖抗日人员，协助日伪抓捕村干部。,抗战时期被我方镇压
高平县,姬振奎,高平,伪高平县县长（上党四大天王之一）,原国民党高平县长，1943 集体投敌；建立高平伪政权，指挥伪警备队清乡，抓捕抗日干部，掠夺粮食。,抗战胜利公审枪决
,郭子和,高平北王庄,伪村长，恶霸汉奸,依仗据点势力，写黑信陷害抗日群众，盘剥村民。,解放后公审镇压晋城市人民...
,郭子恒,高平北王庄,地方汉奸，郭子和之弟,勾结日伪据点，为日军搜集情报，迫害本村进步群众。,解放后镇压处理晋城市人民...
,毕如清,高平北王庄,伪据点帮凶，充当日军爪牙，欺压百姓。,解放后清算处理晋城市人民...,
阳城县,温茂林,阳城,县城维持会会长,1938 举太阳旗出城迎接日军进城，组建维持会，张贴媚日标语，为日军摊派粮款。,抗战初期被抗日政府处决
,芦石庵,阳城,城内汉奸,用反光镜给日机指示轰炸目标，造成阳城县城大量平民伤亡。,1938 公开枪毙
,孟光恒,阳城,原国民党党部书记长，日伪大特务,十二月事变后率人马集体投日；组建特务网络，渗透太岳根据地，刺探情报、策反我方人员，破坏地下组织。,抗战胜利后逮捕审判
,张逢源,阳城,伪阳城县县长,搭建阳城伪县公署，修筑炮楼，推行治安强化运动，配合日军反复扫荡阳南根据地。,战后汉奸罪判刑
,杨显之,阳城,伪阳城警备大队长,率伪军出城扫荡，抓捕抗日干部，残害堡垒户。,解放后公审枪决
沁水县,赵培炎,沁水,沁水最早维持会长,日军第一次占领沁水即主动投敌，出面维持县城，为日军征集粮草物资。,抗战时期被抗日政府镇压
,霍九功,沁水,伪商会会长,依附日伪，操纵商贸，低价强购粮食供给日军。,战后逮捕判刑
,李绍唐,沁水,伪沁水县县长,建立完整伪政权，设立新民会、合作社，强征粮食、鸦片，残酷压榨百姓。,日本投降后逮捕重判
,王凤岐,沁水,伪沁水警备大队长,驻守沁水县城、老马岭据点，多次配合日军扫荡太岳根据地边缘。,解放后处决
陵川县,韩维屏,陵川万章村,原国民党二区区长，日伪咨议员,被峰头据点抓捕随即叛变；出卖万章村民兵情报，直接酿成万章惨案，多名民兵牺牲。,万章村公审就地枪决
,常景晟,陵川梧桐村,原国民党教育局长，日伪咨议员,跟随韩维屏投敌，搜集陵高抗日政府情报，参与策划偷袭根据地。,同案公审枪毙
,段泽如、宰广业,陵川,日伪特务，附逆分子,参与情报出卖，配合敌伪破坏地方抗日组织。,逮捕后依法惩处
,杨志玉,陵川,伪陵川县县长（上党四大天王之一）,原国民党陵川县长，1943 率县政府整套人马投敌；建立陵川伪政权，指挥伪军清乡搜捕抗日军民。,陵川收复后审判处决
,苏景明,陵川,伪陵川警备大队长,盘踞陵川县城，下乡清剿，抓捕抗日干部。,解放后公审枪决
