姓名,籍贯,伪职,主要罪行,结局
戴东藩,西安（辽源）,九一八后代理县长，伪西安县第一任县长,九一八原县长逃跑，戴东藩代理县长，主张出城迎接日军；组建伪西安县公署，依靠日军武力维持统治，协助日军接收西安煤矿，推行保甲，镇压地方抗日武装辽源市人民...。,抗战胜利后逮捕，汉奸罪判处徒刑。
关义铎,不详,伪西安县第二任县长（1934‑1939）,全面执行日伪殖民政策，强征粮食、国兵、劳工，配合讨伐周边抗联武装。,光复后逮捕判刑。
薛玉衡,不详,伪西安县第三任县长,强化治安肃正，执行粮食出荷，为煤矿强征劳工。,战后汉奸罪判刑。
祖光勋,不详,伪四平省劳工大队长（驻西安煤矿）,掌管辽源一带劳工抓捕，强抓大量劳工押入西安煤矿；八一五后组织西安煤矿自治委员会反革命组织，网罗伪旧人员企图接管矿山，对抗民主政权辽源市人民...。,1945 年被民主政府镇压。
蔡九龄（蔡春）,河北文安,西安煤矿蔡家柜大把头、总经理,原我方人员叛变投敌；疯狂抓捕、诱骗劳工下矿，奉行 “旧的死，新的添”，制造大量矿工死亡，是辽源万人坑主要罪魁之一；日本投降后潜逃，改名蔡春潜伏辽源抖音百科。,1951‑05‑22 公审枪决。
方明,不详,方家柜大把头（蔡九龄上司）,天津日本特务机关代理人，在西安煤矿设立方家柜，大规模募集、抓捕劳工，压榨矿工。,1943 年病死。
于芷山,辽宁台安,伪满第一军管区司令、伪军政部大臣,东边道镇守使投敌；派出武力协助河本大作武装强占西安煤矿，指挥伪军在辽源、海龙一带讨伐抗联，推行集团部落。主要任职沈阳，不在辽源本地履职。,苏军逮捕，抚顺战犯管理所关押，1951 年病死狱中。
刘庆余,不详,伪西安县警务科长,掌管全县伪警察，指挥特务密探，搜捕抗联地下交通、爱国群众，多次配合日伪下乡讨伐。,辽源解放后公审枪决。
孙景堂,辽源,伪西安煤矿劳务系华人头目,协助日本人管理矿工，抓捕管控特殊工人（战俘劳工），迫害反抗矿工。,反奸清算，判处长期徒刑。
张万昌,辽源,伪西安县总商会会长,依附日伪，摊派报国捐，为矿山、日军筹措物资，盘剥工商业。,没收财产，判处徒刑。
李海山,西安县东部,伪地方自卫团总头目,投靠日伪，带领自卫团配合日伪清乡，搜捕抗联人员，祸害乡村百姓。,解放后镇反处决。
王二虎,辽源煤矿,矿上特务、矿警小头目,充当日本人爪牙，在矿区告密、殴打迫害矿工，抓捕逃跑劳工。,解放后群众公审处决。
