区域,姓名,籍贯,伪职及主要罪行,结局
承德市区（伪热河省省会）,张海鹏,辽宁,伪热河省省长兼热河警备总司令，热河头号大汉奸；1933 年充当日军先锋攻占承德；统筹全省集家并村，制造千里无人区；掠夺粮食矿产鸦片，指挥上万伪军反复扫荡冀热辽根据地，推行协和会奴化教育。,日本战败潜逃长春，被揭发抓捕，1951 公审处决
,孙柏芳（孙伯芳）,不详,后期伪热河省省长；日本投降后组织承德维持会，妄图维持伪满统治；继续维护日伪旧体系。,承德解放公审，判处死刑
,王冷佛,不详,伪热河协和会会长；主导奴化宣传，监视群众，检举抗日人员。,公审处决
,尹锡三,承德,承德大地主士绅；1933 出城迎接日军入城；战后组织维持会，勾结敌伪残余势力。,解放后清算判刑
,周鼎臣,承德,承德维持会首任会长；迎接日军进城，盘查城门，推行良民证制度，搜刮商户物资。,1945 潜逃，1950 抓捕，判 10 年徒刑
,于显廷,不详,伪承德县县长、协和会本部会长；推行保甲连坐，摊派粮秣民夫，管控舆论。,无直接血债，判处管制三年
,朱盛林,承德,伪满讨伐队头目，龙须门讨伐队；参与王厂沟惨案，屠杀平民 49 人、八路军干部战士多人，在承德‑青龙‑兴隆疯狂讨伐扫荡。,1946‑03‑13 承德特别法庭公审枪决
,米国璋,承德,回奸；勾结日本特务，强抓劳工，盘剥回族商户，担任伪株式会社董事长承德日报。,解放后群众清算斗争
,王忠武,承德,回奸；伪伊斯兰教协会头目，借宗教迫害回民群众，充当日伪爪牙承德日报。,解放后群众清算斗争
兴隆县（人圈重灾区）,孙柏青,不详,伪兴隆县县长；强力推行集家并村，强修人圈，疯狂清剿雾灵山抗日根据地，制造多起惨案。,1945 被俘，公审判处死刑
,张金祥,兴隆,伪讨伐队副司令；驻守兴隆县城，进山扫荡无人区，捕杀抗日干部堡垒户。,与八路军交战被击毙
,袁庆汉（袁大白话）,兴隆干沟,干沟维持会会长；逼迫百姓迁入人圈，告密山区群众，制造血案。,1945 公审处决
,范子和,不详,伪兴隆特务头目；木头凳、龙王庙发展大量密探，抓捕情报人员、堡垒户。,1944 秋季被八路军锄奸击杀
,张雪涛,兴隆,伪讨伐队队长；抓捕杀害地下支部书记金成山等多名抗日干部。,解放后抓获，判处长期徒刑
青龙县,周海山,青龙,伪青龙警备大队长；伪军主力，配合日军反复扫荡迁青平无人区根据地。,解放后镇反公审处决
,吕海峰,青龙,伪青龙讨伐队大队长；多次进山 “清剿”，抓捕杀害地方干部。,青龙解放被俘枪决
平泉县（承平宁根据地）,李荫棠,不详,伪平泉县县长；平泉是日伪扫荡承平宁根据地指挥中心，强修炮楼人圈，大检举抓捕抗日人员。,战后汉奸罪判处长期徒刑
,宋宝山,平泉,伪平泉讨伐队队长；反复扫荡承平宁联合县，残害堡垒户。,1945 平泉解放被俘处决
滦平县,毕星垣,不详,伪滦平县县长；制造滦平南部无人区，推行集家并村，管控古北口周边。,战后逮捕判刑
,姚秉忠,滦平,伪滦平讨伐大队长；伪军铁杆，多次扫荡丰滦边沿游击区。,滦平解放被俘枪决
隆化县,于惠风,不详,伪隆化县县长；推行保甲制度，强征劳工粮草，配合讨伐队扫荡。,战后判处徒刑
,齐万才,隆化,伪隆化讨伐队头目；盘踞隆化县城、张三营，下乡烧杀抢掠。,解放后镇反处决
丰宁县（大阁、凤山）,佟锡九,丰宁,伪丰宁维持会头目，本地大地主；迎接日军，协助集家并村，出卖山区抗日情报。,丰宁解放公审处决
,王景堂,不详,伪丰宁县县长；制造丰宁西部无人区，抓捕抗日军民。,日本投降后潜逃，后抓捕归案判刑
,葛振海,丰宁,伪丰宁讨伐大队长；多次扫荡丰宁、滦平交界山区。,丰宁解放被俘枪决
围场县,薛景春,不详,伪围场县县长；管控坝上，强征粮秣，搜捕地下抗日人员。,战后汉奸罪判处徒刑
,刘大巴子,围场,伪围场讨伐队长；在坝上袭扰游击小组，残害群众。,镇反时期处决
