姓名,籍贯,伪职,主要罪行,结局
徐绍卿,辽宁沈阳,伪锦州省首任省长（华人）,伪满早期封疆大吏；主持锦州省全套殖民统治，推行保甲、集团部落，强征粮食、壮丁，残酷镇压辽西抗日义勇军。,1945 被苏军逮捕，关押抚顺战犯管理所，后病死狱中。
王兹厚,不详,伪锦州省副省长,协助日本省长管理全省政务，执行战时物资搜刮，管控户口、劳工征集，配合治安肃正。,抗战胜利后以汉奸罪逮捕判刑。
张联璧,不详,伪锦州省末代副省长,伪满末期维持伪政权，疯狂掠夺辽西物资供给日军。,光复后被捕，汉奸罪重判。
田德胜,辽宁黑山,伪第五军管区锦州地区伪军司令，伪满中将,原东北军投敌；统领辽西伪军，在锦州、黑山、北镇、义县一带反复讨伐义勇军，烧杀抢掠。,1945 被俘，关押抚顺战犯管理所，病死狱中。
张学成,辽宁海城（张作霖侄）,九一八后伪 “东北自卫军总司令”，司令部驻黑山县高山子,受日军委任，收拢土匪、溃兵，在辽西黑山、北镇一带进攻义勇军，残害百姓。,1931 年被黄显声部义勇军击毙。
夏钟秀,义县,九一八后义县伪县长,日军占领义县，主动献城投敌，组建伪县公署；激起义县民众围城反抗，依靠日军武力维持统治，镇压辽西义勇军。,抗战胜利逮捕，汉奸罪判刑。
佟宝麟,北镇,伪北镇县县长,推行集团部落，强征国兵、劳工，围剿闾山抗日义勇军。,县城收复后逮捕判刑。
王逢春,黑山,伪黑山县县长,主持黑山伪政权，执行粮食出荷，疯狂掠夺辽西粮食，配合日伪清乡讨伐。,解放后汉奸罪判刑。
杨敬之,锦西（葫芦岛）,伪锦西县县长,管控锦西、葫芦岛港口，强征劳工，抓捕抗日人员。,抗战胜利逮捕判刑。
孙赓尧,兴城,伪兴城县县长,建立兴城伪公署，推行保甲连坐，压榨城乡百姓。,光复后被捕判刑。
赵佐周,绥中,伪绥中县县长,管控山海关外沿海，盘查过往人员，强征物资，镇压地方抗日力量。,解放后以汉奸罪惩处。
李庆元,锦州,伪锦州警察厅特务系主任,掌管华人特务密探网络，搜捕锦州城内地下爱国分子，刑讯迫害被捕群众。,1946 年锦州公审枪决。
刘梦庚,锦州,伪锦州市维持会会长（八一五后）,日本投降后拼凑锦州治安维持会，留用全部伪警察，勾结残留日军等待国民党接收。,1945 年被民主政府逮捕，汉奸罪判刑。
马昆山,锦州,伪锦州总商会会长,为日军筹措粮食、被服、军需物资；摊派各种 “报国捐”，压榨辽西商民。,反奸清算，没收财产，判处徒刑。
宋筱白,台安,伪台安县县长,台安当时属伪锦州省；推行保甲、集团部落，强征壮丁，围剿地方抗日武装。,战后逮捕判刑。
于景涛,黑山,伪黑山警务科长,指挥伪警察、特务，抓捕义勇军家属与地下关系，制造多起冤狱。,镇反时期公审处决。
