姓名,伪职 / 身份,活动地区,核心罪行,最终结局
林赤民,第二次沦陷伪维持会会长、福州市政委员会委员长,福州城区,福州二次沦陷头号伪头目，网罗失意官僚、奸商组建伪政权；推行保甲、良民证，配合日军搜刮粮食物资，胁迫商户纳贡，协助奴化宣传。,抗战胜利后汉奸审判，判处死刑。
林忠,伪市政委员会委员,福州城内,伪政权核心成员，参与伪行政、伪警机构组建，协助日军管控城区，搜集民间情报，迫害爱国人士。,肃奸公审枪决。
林谦宣,伪市政委员会委员,福州城内,追随林赤民，负责社会事务，胁迫士绅附逆，为日军征调民夫、物资。,捕获后判处死刑。
郑贞藩,伪市政委员会委员,福州城区,伪组织骨干，参与经济掠夺，管控粮食、布匹物资供给日军。,战后处决。
陈几士,伪市政委员会委员,福州城区,文人附逆，参与伪宣传，协助开办伪报刊、奴化学校。,汉奸法庭重刑判决。
翁庆生,维持会副会长,福州,伪维持会二号人物；日军内部矛盾冲突中，被日军当场殴打致死，伪组织内部牺牲品。,1944 年被日军打死。
方日中,维持会委员,福州城区,参与维持会各项事务，搜刮物资；日军冲突中被当场打死。,1944 年被日军打死。
吴郎藩,第一次沦陷伪商会会长,福州南台（台江）,1941 年第一次沦陷时期伪商会头目，逼迫商行出钱出物资敌。日军撤退来不及逃窜被俘。,1941 年福州光复即被枪决。
萨福畴,汪伪福州水上警察局局长，后汪伪海军中将常务次长、广州要港司令,福州、马尾（后调华南）,原民国海军少将，1941 年福州沦陷投敌；掌控闽江水上治安，搜捕海上抗日人员；后升任汪伪海军华南最高将领之一福州史志网。,1943 年座舰触水雷被俘，重庆审判枪决福州史志网。
林其应,第一次沦陷伪商会骨干,台江南台,吴郎藩副手，勒索商户，替日军筹措经费物资。,1941 年光复枪决。
姚震宇,第一次沦陷伪商会附逆骨干,福州台江,协助伪商会摊派苛捐，迫害拒绝合作商人。,1941 年枪决。
蔡金兰,日伪特务头目,福州城区,便衣特务头子，带领爪牙搜捕地下抗日人员，滥捕平民，制造多起迫害案件。,1946‑06‑05 公开枪决。
林炳东,伪特务骨干,福州城内,蔡金兰同伙，告密陷害进步群众，敲诈市民财物。,1946‑06‑05 枪决。
郭估来,伪便衣特务,福州城区,抓捕、刑讯嫌疑爱国分子，为日军充当耳目。,1946‑06‑05 枪决。
唐方英,伪特务,福州城内,混迹街巷搜集情报，罗织罪名构陷百姓。,1946‑06‑05 枪决。
倪祥,伪特务爪牙,福州城区,参与抓捕、勒索，残害普通民众。,1946‑06‑05 枪决。
陈木森,伪警骨干,福州伪警察局,执掌伪警侦缉，盘查城门，抓捕抗日分子。,1946‑06‑10 枪决。
陈杰,伪警察特务,福州城内,配合日军大搜捕，欺压城内百姓。,1946‑06‑10 枪决。
王子芬,伪警特务,福州城区,伪警情报人员，发展告密线人，迫害家属。,1946‑06‑10 枪决。
王声溶,长乐三区维持会会长,长乐,长乐沦陷头号乡伪头目，征粮派款，带路日军下乡烧杀抢掠福州新闻网。,长乐游击武装锄奸处决。
陈南治,长乐四区汉奸,长乐乡间,搜集游击队情报，检举接济抗日的乡民，勒索村庄钱财福州新闻网。,抗日武装捕杀。
陈耿,长乐附逆骨干,长乐县城,依附日伪，为日军传递乡间情报，迫害爱国群众福州新闻网。,游击武装捕杀。
张逸舟,伪 “福建和平救国军” 第二集团军司令,闽江口、平潭、长乐海面,闽海最大伪军头目，受日军庇护，盘踞海岛，劫掠商船，进攻沿海抗日游击根据地，残害沿海渔民百姓党史学习教...。,抗战胜利后被国民党收编，后被清算。
郑德民,伪和平救国军副司令,闽江口沿海,张逸舟副手，率伪军袭扰平潭、长乐、连江沿海乡村，抓捕抗日人员党史学习教...。,战后肃奸逮捕判刑。
