区域,姓名,籍贯,伪职及主要罪行,结局
唐山市区,殷汝耕,浙江平阳,伪冀东防共自治政府行政长官，冀东头号大汉奸，伪政权后期机关迁唐山交大，分割冀东 22 县，推行殖民统治，镇压抗日运动唐山党史网。,1947 南京判处死刑枪决
,池宗墨,浙江平阳,伪冀东防共自治政府秘书长、行政长官（通州事变后），驻唐山，对日屈膝认罪赔款，修建日军慰灵塔，主导冀东伪政务。,抗战胜利南京判处死刑执行
,屈玉灿,不详,第一任伪唐山市市长（1938），组建伪唐山市公署，从丰润、滦县划 18 村扩充市区，推行保甲、奴化教育、物资掠夺唐山党史网。,战后汉奸罪判处长期徒刑
,袁规（袁轨）,不详,后期伪唐山市市长，原北平特高系出身，破坏唐山地下党组织，搜捕爱国青年，强化城市管控。,1946 年判处有期徒刑
,施泽沛,不详,伪唐山宪兵大队长，听命日本宪兵，城内大肆抓捕地下党员、爱国学生，刑讯迫害被捕人员。,抗战胜利逮捕判刑
,郑俊生,不详,继任伪唐山宪兵大队长，延续白色恐怖，配合治安强化运动搜捕城乡交通员。,汉奸罪审判服刑
,徐澍强,不详,伪唐山警防团团长，统辖城区伪武装，镇压市民抗日活动，盘查城市出入口。,战后逮捕判刑
,吴隆盛,不详,伪冀东警备团副团长，团部驻唐山，城区伪军主力，配合宪兵搜捕地下组织，封锁城乡交通。,1945 年被捕，判处有期徒刑
,莫辅亭,唐山,伪城子庄保卫团团长，管控唐山近郊，搜集游击武装情报，抓捕城郊潜伏人员。,解放后镇反公审处决
丰润县,凌以忠,不详,伪丰润县县长，兼警备大队长、新民会会长；参与策划潘家峪惨案，召集日伪会议部署扫荡，征调民夫、粮饷资敌。,抗战胜利公审判处死刑
,李继贵,丰润,伪丰润警备队副大队长，伪军实权头目，带队参与潘家峪扫荡，多次进山围剿冀东游击队。,1946 年公审枪决
,王治国,丰润,伪丰润县警察所所长，配合日军宪兵，抓捕抗日干部群众，参与潘家峪行动部署。,镇反时期处决
,李连生,丰润,伪丰润警察所特务系长，特务头目，专门搜捕地下交通站人员，酷刑逼供。,解放后清算处死
玉田县,隋明福,不详,伪玉田县县长，配合铃木启久日军部队推行第四次治安强化运动；组建反共自卫团、棍儿团，炮制 “八大杀禁律”，全县抓捕三千余抗日人员，制造玉田大抓捕惨案唐山党史网。,冀东民主政府公审死刑
,王秉孝,玉田,玉田本地铁杆汉奸，隋明福心腹，主持伪大乡建设、良民证登记，告密大批党员干部，策动地方士绅附逆唐山党史网。,抗战胜利公审处决
丰南（旧丰南办事处）,王子林（三嘎子）,丰南小集,冀东大暴动失败后投敌，伪冀东警备队头目；盘踞小集、稻地一带，修建多处炮楼，频繁扫荡路南根据地，烧杀抢掠百姓。,1947 年小集据点被攻克被俘，公审枪决
,邸国珍（张福生）,丰南小集邸庄,伪自卫大队长、保安 26 团副团长；稻地大桥设卡盘查，溺杀无辜群众；抗战结束后转为还乡团继续残害革命干部群众。,1948 年被俘，判处死刑
,李荣三,不详,伪丰南办事处主任（等同伪县长），依附王子林伪军，推行清乡，搜集路南游击队情报，抓捕地方干部。,1944 西葛各庄被八路军伏击击毙
迁安县,汤鹏举,大连,伪迁安县警备联队副联队长（实权远超伪县长）；精通日语，深受日军信任，主持警务、特务，大肆捕杀抗日军民，多次带队扫荡迁安山区根据地。,抗战胜利后公审枪决
,卞金山,大连,伪迁安县公署督察员、日军翻译，引荐汤鹏举投敌，充当日军耳目，敲诈地方商户，迫害爱国群众。,1946 年汉奸罪判处死刑
