姓名,伪职 / 身份,活动地区,核心罪行,最终结局
黄莲舫（黄廉舫，龙溪籍）,伪新华同盟会副会长、伪华侨公会会长，预定伪漳州维持会会长,厦门、鼓浪屿，谋划入侵漳州内地,漳州籍大绅，厦门沦陷投敌；为兴亚院出谋划策，策划进攻东山、平潭，内定攻陷漳州后出任维持会会长，拉拢闽南士绅附逆，经济上协助日本掠夺侨务资源抖音百科。,1940 年在鼓浪屿被爱国志士制裁击毙。
提乾元,诏安临时维持会民政委员长,诏安县城（1939 年短期沦陷）,黄大伟伪军占领诏安期间出面投敌，组建临时维持会，征粮派款，胁迫商户纳贡，为日伪军搜罗物资，迫害爱国群众。,国军收复诏安后捕获公审处决。
莫清华,伪浯屿自治会会长,龙海浯屿岛,浯屿头号汉奸，引日军登岛，组建伪自治会、闽南警备司令部；岛上广设鸦片馆、赌场、妓院，发行伪流通券，盘剥渔民，引导日伪军袭扰港尾、白沙滩沿海村庄。,抗战胜利后肃奸公审枪决。
黄大伟,伪中华和平救国军第一集团军总司令,粤闽边界，进犯诏安、东山,原国民党高级将领，投日后统率数千伪军，在日军飞机掩护下 1939 年攻占诏安县城，多次进犯东山岛，荼毒闽粤边境百姓中国新闻网。,抗战胜利后被国民党逮捕，狱中死亡。
林知渊,伪和平救国军总参谋长,进犯诏安前线,福建籍，追随黄大伟，策划进攻诏安，协助指挥伪军作战。诏安溃败被俘，押解重庆审判定罪。,长期监禁。
郑天福,伪伪军支队司令,东山近海、东山登陆作战,率伪军配合日军多次登陆东山，占领陈城、港口等村镇，劫掠村庄，抓捕百姓。,败退广东，战后肃奸逮捕判刑。
吴茂松,伪和平救国军第一团团长,诏安分水关、诏安县城,黄大伟部下先锋，率伪军突破分水关攻入诏安县城，在城内搜刮物资。,败退南澳，抗战胜利后被清算。
邢仲谦,伪和平救国军第二团团长,诏安战场,随同进攻诏安，负责城内警戒，逼迫乡民为伪军提供粮草。,溃败逃亡，后被捕获治罪。
张逸舟,伪福建和平救国军第二集团军总司令,东山、诏安外海，漳州全部海岸线,海上伪军总头目，盘踞乌丘，频繁袭扰东山、古雷、浯屿周边海面，劫掠渔船商船，抓捕渔民，贩运鸦片日货，封锁闽南海上交通。,抗战胜利被军统收编，后逃亡海外。
郑德民,伪和平救国军副司令,漳属沿海海域,张逸舟副手，带队窜犯东山、云霄近海，劫掠船只，搜捕海上抗日人员。,战后肃奸逮捕判刑。
林沧圃,伪和平救国军参谋长,闽海海面,负责伪军与厦门日军联络，策划袭扰漳州沿海，策动漳州沿海土匪、地方人员下海投伪。,抗战胜利被国民党当局收用。
陈阿丑（绰号）,伪浯屿警备队小头目,浯屿岛,莫清华心腹，执掌伪武装，抓捕岛上不愿顺从的渔民，带队上岸到港尾抢劫村庄。,光复后公审处决。
苏阿义,日伪潜入谍报员,龙溪石码、海澄,厦门日伪派遣，伪装商贩潜入龙溪内地，侦查国军海防部署，收买地方败类，搜集漳州军政情报。,军统闽南站破获，军法处决。
沈阿源,资敌奸商,龙溪港尾、白沙滩,勾结浯屿伪政权，持续向浯屿日军输送粮食、副食品，换回日货走私牟利，是岛上日军重要物资来源。,战后肃奸，没收全部财产，判处有期徒刑。
王歪头（绰号）,诏安边境潜伏密探,诏安四都、分水关一带,受汕头、厦门日伪指使，在闽粤边境刺探驻军情报，散布失败谣言，引诱地痞下海当伪军。,地方自卫队捕获正法。
李阿财（绰号）,东山岛内汉奸眼线,东山铜陵、陈城,日军进犯东山时暗中充当内应，给日伪军通风报信，指认爱国人士。,东山抗日武装锄奸处决。
