区域,姓名,籍贯,伪职及主要罪行,结局
海拉尔（伪兴安北省，第十军管区司令部）,郭文林,达斡尔族,伪满第十军管区中将司令官（驻海拉尔）；指挥兴安警备军，在边境镇压反满抗日活动，抓捕爱国群众，配合日军边境警戒；1945 对苏作战率部投诚苏军。,1950 苏联引渡回国，抚顺战犯管理所改造，后特赦释放抖音百科
,正珠尔扎布,蒙古族,伪第十军管区少将参谋长（驻海拉尔）；日本士官学校出身，主持伪兴安军参谋业务，训练伪骑兵，参与边境 “治安肃正”，镇压边境各族反抗。,1950 引渡回国，1960 特赦，安置海拉尔，1967 年去世抖音百科
,贵福,达斡尔族,伪满参议府参议；九一八后参与伪满 “建国” 活动，支持其子凌升出任伪兴安北省省长；凌升事件之后被日本软禁。,1941 抑郁病死长春抖音百科
,金树声,不详,伪满洲国国际警察队头目；1932 带兵进驻满洲里，接管边境，抓捕苏炳文抗日人员。,1932 扎兰屯被救国军诱杀党史学习教...
,乌尔金,蒙古族,伪兴安北警备军少将司令；统率伪蒙古骑兵，布防呼伦贝尔草原边境，搜缴民间武器，镇压边境牧民众反抗。,1945 被苏军俘虏，后关押改造
,哈斯巴特尔,海拉尔,伪兴安北省警务厅特务科长；指挥国境警察、特务，在海拉尔、满洲里大搜捕，刑讯爱国人士，向关东军提供情报。,解放后镇反公审枪决
满洲里（边境重镇）,赵仲仁,黑龙江,伪满呼伦贝尔善后督办；九一八之后投敌，协助日军接管满洲里、海拉尔，拉拢当地上层附日。,伪满内部倾轧，被程志远杀害抖音百科
,吴景奎,满洲里,伪满洲里国境警察署长；管控中苏边境口岸，抓捕越境抗日人员，迫害侨民与爱国群众。,日本投降被俘，判处重刑
兴安东省（扎兰屯，布特哈）,额勒春,达斡尔族,第一任伪兴安东省省长（扎兰屯）；接受伪满任命，组建兴安东省公署，推行保甲、奴化教育，配合日本开拓团进入布特哈地区。,1941 离职，战后关押判刑抖音百科
,德古来,达斡尔族,伪兴安东省公署总务厅长；核心傀儡官员，实际执行日本参事官指令，招降纳叛，控制布特哈各旗。,日本投降潜逃，后抓捕归案劳改
,金耀洲（额尔登）,达斡尔族,伪布特哈旗首任旗长（扎兰屯）；管理布特哈旗，强征劳工、粮草，配合伪警察镇压地方反抗。,战后汉奸罪判处徒刑
,志达图,达斡尔族,伪布特哈旗第二任旗长；执行日伪政令，协助日军掠夺森林、畜牧资源。,战后管制判刑
,巴金保,达斡尔族,末任伪兴安东省省长；接续博彦满都，维持伪满末期统治。,战后关押改造，特赦释放
莫力达瓦旗,鄂日登,莫力达瓦,伪莫力达瓦旗旗长；布特哈地区，推行部落制度，为伪兴安军征集兵员、粮草。,战后判刑管制
,孟和吉雅,莫力达瓦,伪警务科长；指挥伪警察搜捕山林抗日小分队。,解放后镇反处决
阿荣旗,桑杰扎布,阿荣旗,伪阿荣旗旗长；协助日本开拓团侵占草原土地，强征牲畜。,日本投降潜逃，后抓获判刑
,吴宝山,阿荣旗,伪警察讨伐队长；进山清剿抗联小分队，残害山区群众。,1945 被俘枪决
