姓名,伪职 / 身份,活动地区,核心罪行,最终结局
郭剑石,苏嘉湖沿线维持总会会长、嘉兴维持会会长,嘉兴城区、新塍,嘉兴沦陷最早的总汉奸，出城迎接日军，串联苏嘉湖各县组建维持会，网罗地痞建立基层傀儡组织，为日军征粮派差浙江省地方...。,抗战胜利后汉奸审判判处死刑。
沈瀚卿,伪嘉兴县首任伪县长,嘉兴城区,汪伪嘉兴首任县知事，搭建伪县公署、伪警察系统，推行保甲，配合日军清乡，镇压城郊抗日活动浙江在线。,1940 年被抗日游击队员刺杀于西埏桥堍，其子一同毙命浙江在线。
胡继芳,汪伪嘉兴专区专员,嘉兴（管辖嘉属六县）,浙北伪政权高级官员，统管嘉兴、嘉善、平湖、海宁、桐乡、崇德六县伪政务，督导清乡，督促各县搜刮物资资敌。,抗战胜利后逮捕，汉奸罪重刑判决。
计家珍,王江泾匪首、日伪密探头目,秀洲王江泾,土匪出身投靠日军，充当宪兵队爪牙，告密爱国群众，敲诈勒索百姓；抗战结束后继续武装为匪，攻打基层政权秀洲新闻网。,上海捕获，1949 年公审枪决秀洲新闻网。
许顺生,王江泾宪兵队情报骨干,秀洲王江泾,日伪特务，四处搜集抗日武装情报，多次引导日军下乡搜捕，残害乡间爱国人士秀洲新闻网。,抗战胜利后被逮捕法办。
高鑑,平湖治安维持会会长、伪平湖县知事,平湖县城,平湖沦陷头号汉奸，组建伪维持会，建立伪县公署，发放良民证，强征粮饷，配合日军清乡扫荡城乡。,抗战胜利后汉奸审判判处死刑。
陶德坤,伪平湖乍浦商会会长,乍浦,商界汉奸，为日军筹措物资，胁迫商户出钱出物资敌，盘剥沿海商贸。,抗日武装攻克乍浦，当场捕获枪决。
章树钦,伪嘉善县县长,嘉善全县,汪伪委任嘉善伪县长，建立完整伪基层体系，征粮抓丁，配合沪杭沿线日军扫荡，破坏地下抗日组织。,抗战胜利后逮捕判刑。
谭裕卿,伪海宁县首任知事（伪县长）,海宁硖石,海宁早期伪县长，沦陷后张贴标语强迫百姓悬挂太阳旗，为日军献送牛羊礼品，组建伪警察、合作社搜刮物资。,汉奸清算判处有期徒刑。
朱文俊,斜桥维持会会长,海宁斜桥,铁路沿线铁杆汉奸，组建 “爱路队”，强迫百姓通宵看守沪杭铁路，防范抗日武装破路，获日军奖赏银盾。,抗战胜利后公审惩处。
章学海,伪海宁特别区署长（伪县长）,海宁长安、硖石,清乡时期海宁伪主官，设立海宁特别区，扩充伪保安队、自卫团，实施残酷清乡，搜捕地下抗日人员。,战后汉奸审判判刑。
庞景祁,汪伪中国合作社海宁支社社长,海宁硖石,伪经济汉奸，管控物资购销，为日军掠夺粮食蚕丝，压榨城乡百姓。,抗日武装潜入硖石将其锄奸处决。
陈祖根,伪清乡事务局海宁情报组长,海宁全境,汪伪清乡特务骨干，专门刺探抗日武装情报，告密抓捕爱国干部群众。,被抗日武装击毙。
伍廷芳,海盐澉浦伪乡霸汉奸,海盐澉浦、六里堰,投靠日伪，仗势鱼肉乡里，迫害接济抗日队伍乡民，民愤极大海盐新闻数...。,澉浦地下党武工队锄奸处决海盐新闻数...。
沈锦言,伪平湖东湖坊坊长,平湖城区,城区基层伪头目，推行保甲，告密进步群众，协助伪警搜捕。,抗日游击队击毙。
成宅西,继任伪海宁县署长,海宁硖石,接替章学海执掌海宁伪政权，继续推行清乡保甲，强征蚕丝、粮食供给日军。,抗战胜利后逮捕惩处。
朱尚文,伪嘉兴宪兵队翻译、特务,嘉兴城区,日军翻译，充当帮凶，参与审讯被捕爱国志士，罗织罪名迫害百姓。,战后汉奸审判伏法。
