区域,姓名,籍贯,伪职及主要罪行,结局
集宁（平地泉，伪巴彦塔拉盟）,樊库,集宁,伪集宁县首任县长；日军占领集宁后组建维持会，推行保甲十家连坐，强征粮食劳工，管控平绥铁路，配合日伪扫荡蛮汉山周边。,战后汉奸罪判处重刑
,宋德山,集宁,伪集宁警备大队长；伪军主力，盘踞集宁、老平地泉据点，多次配合日军进山清剿绥南抗日武装，抓捕县区干部。,集宁解放被俘公审枪决
,赵玉山,集宁,伪警务科特务股长；发展大批乡村密探，破获地下交通站，刑讯爱国群众。,解放后镇反处决
丰镇县,张慕周,丰镇,伪丰镇县县长；接管丰镇城，掠夺粮食牲畜，修筑炮楼，对蛮汉山南侧实行封锁。,战后逮捕，判处无期徒刑
,王喜武,丰镇,伪丰镇警备大队长；驻守丰镇、隆盛庄，下乡烧杀抢掠，迫害堡垒户。,丰镇解放被俘枪决
,赵宇庭,丰镇,伪警察署署长；指挥伪警察搜捕地下党员，多次随同讨伐队下乡。,1944 据点被攻克，潜逃，后抓捕归案处决
凉城县（蛮汉山根据地前沿）,李培棠,凉城,伪凉城县县长；盘踞新堂（凉城县城），配合日军反复扫荡蛮汉山根据地，抓捕抗日干部群众。,战后汉奸罪判处徒刑
,刘万宝,凉城,伪凉城警备大队长；铁杆伪军，频繁进山 “治安肃正”，制造多起村庄惨案。,凉城解放被俘公审枪决
兴和县,于志谦,兴和,伪西北防共自治军司令；抗战爆发前投靠日伪，多次率伪军进犯兴和、集宁一带，劫掠村镇。,绥远抗战战败后被日军处决
,马子玉,兴和,伪自治军副司令，跟随于志谦进犯兴和。,被傅作义部队俘获处决
,王慕尧,不详,伪兴和县县长；强化伪政权，征粮拉夫，封锁兴和南部山区。,战后逮捕判刑
,吕二黑子,兴和,伪兴和讨伐队头目；祸害兴和东南山区，告密捕杀武工队人员。,1945 年光复后被民兵击毙
陶林县（察哈尔右翼中旗）,卜兆祥,陶林,伪陶林县县长；灰腾梁草原前沿，修筑大量据点，配合伪蒙古军扫荡大青山东部。,战后汉奸罪判处徒刑
,刘三小子,陶林,伪陶林警备大队长；常驻陶林城、科布尔，进山围剿大青山支队。,陶林解放被俘枪决
商都县（伪察哈尔盟）,达密凌苏龙,察哈尔右翼后旗,伪蒙古军第七师少将师长（驻商都）；原地方武装，1937 投日，指挥伪骑兵在商都、陶林一带扫荡，镇压草原抗日活动。,1945 向苏蒙军投降，部队被带入外蒙古，后病死抖音百科
,王道一,不详,伪大汉义军副总司令；王英副手，盘踞商都，1936 率部进攻红格尔图，战败逃回商都被日军枪决。,1936 被日军处决
,郭景林,商都,伪商都县县长；管控察北门户，强征粮草马匹供给伪蒙古军。,战后逮捕判刑
化德县（旧称嘉卜寺，伪蒙古军政府旧址）,陈继善,化德,伪化德县县长；此地为早期伪蒙古军政府驻地，执行日伪政令，为德王、李守信征集物资兵源。,战后汉奸罪判处徒刑
,杨守诚,化德,伪化德警务科长；指挥伪警察镇压察北反满抗日力量。,解放后镇反处决
察哈尔右翼前、后旗（原察哈尔商都牧群）,宝音扎布,察哈尔右翼后旗,蒙奸，伪察哈尔盟旗参事；协助日伪管控察哈尔各旗，征调壮丁编入伪蒙古军，搜集草原情报。,战后判处徒刑
,贡格尔,察哈尔右翼前旗,伪旗警务股长；布置密探，抓捕支援游击队的蒙汉群众。,解放后公审处决
