区域,姓名,籍贯,伪职及主要罪行,结局
邯郸市区（邯郸县）,王曼卿,邯郸,邯郸治安维持会会长、第一任伪邯郸县县长；邯郸最早投敌士绅，组建伪县公署，推行保甲连坐，为日军征粮征夫，协助建立各级伪组织邯郸日报社。,抗战胜利后逮捕，判处无期徒刑，狱中病死
,薛兴甫,不详,伪冀南道道尹（前期），冀南道最高伪行政长官；统辖 14 县伪政权，推行治安强化运动，组织各县伪军扫荡冀南根据地，掠夺粮棉物资。,1944 清丰战斗被俘，公审枪决
,王冠英,不详,后期伪冀南道道尹；日本投降后勾结郭采芹、郭化民死守邯郸城，改换国民党番号顽抗；全盘继承日伪统治体系，继续反共清乡邯郸党史网。,1945 邯郸解放被俘，公审处决
,郭采芹（郭彩芹）,邯郸贾村,伪邯郸商会会长、冀南剿共军教导司令；冀南头号大汉奸，为日军大量搜刮棉花粮食；训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。,邯郸解放被俘，公审枪决
,郭化民,邯郸贾村,伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。,邯郸城破潜逃北平，1950 抓捕押回邯郸枪决
,李积玉,邯郸,伪宪兵特务队 “灭共组” 头目；专门搜捕地下党员、交通员，酷刑逼供，亲手杀害多名抗日干部群众。,解放后公审枪决
,周瑞符,不详,伪邯郸警备联队联队长，邯郸伪军军事主官；下辖 9 个中队 700 余人，驻守城乡各个据点，配合日军清乡扫荡。,邯郸解放被俘，判处死刑
,王秉孝,不详,末代伪邯郸县县长，配合王冠英固守县城，强征粮草民夫加固城防邯郸党史网。,邯郸解放被俘，汉奸罪判处长期徒刑
,卢万寿,邯郸,伪邯郸警察所长；配合特务李积玉抓捕抗日人员，参与插箭岭屠杀干部事件。,镇反时期公审处决
永年县,许铁英（铁磨头）,永年,土匪投敌，伪铁血团司令；残害抗日军民数百人；日降后被国民党收编，固守广府城，四处烧杀抢掠，制造多起惨案抖音百科。,1947 永年解放突围时被击毙
,王泽民,永年,伪永年保安司令；与许铁英合伙盘踞广府，抓捕迫害抗日家属，出城抢粮杀人；日降后改编为国民党保安纵队。,永年城破逃窜，后被抓获处决
,杨异才,永年,原我方抗日县长，叛变投敌任伪永年县县长，出卖组织人员名单，祸害根据地群众邯郸党史网。,1945 城破畏罪跳井自杀
磁县（含彭城）,黄希文,不详,伪磁县县长（知事），精通日语；编纂伪磁县县志，推行奴化教育，管控彭城陶瓷产业为日军掠夺资源，组织伪警备队扫荡磁西山区根据地邯郸日报社。,抗战胜利逮捕，判处长期监禁
,张致和,磁县,伪磁县警备大队长；伪军主力头目，驻守磁县城、观台、彭城，多次配合日军扫荡磁县西部山区。,磁县解放被俘，公审枪决
,肖万顺,磁县彭城,伪彭城警察分局长；抓捕陶瓷工人中的抗日分子，敲诈窑厂商户，告密山区堡垒户。,镇反时期清算处决
肥乡县,程守正,不详,伪肥乡县县长；推行保甲，强征粮款，配合日军扫荡肥乡抗日根据地。,战后汉奸罪判处徒刑
,李逢春,肥乡,伪肥乡警备大队长；带队多次下乡 “清乡”，抓捕抗日干部。,肥乡解放被俘，判处死刑
成安县,刘昆峰,成安,伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领秩序，搜刮物资。,抗战胜利后逮捕判刑
,张梦符,成安,伪成安警备队长；带领伪军袭扰周边村庄，迫害抗日家属。,1945 年成安解放被俘处决
曲周县,肖根山,不详,伪曲周警备队队长；作恶多端，配合日伪扫荡冀南根据地，邯郸解放战役被俘邯郸党史网。,公审判处死刑
临漳县,郭清,临漳,土匪投敌，伪冀南剿共独立旅旅长；贾河口为大本营，烧杀掳掠，制造多起村庄惨案，大肆捕杀抗日军民，设立剿共委员会迫害群众。,1949 年被俘，公审枪决
大名县,刘佩忱,不详,伪大名县县长；管控冀南东南门户，强征壮丁、粮食资敌。,战后汉奸罪判处徒刑
