姓名,伪职 / 身份,活动地区,核心罪行,最终结局
胡泽普,伪淮海省淮北剿匪司令、时村自卫团团长兼区长,宿县时村（今埇桥区）,宿东头号大汉奸，手下三千伪军，盘踞时村坚固据点；推行强化治安，频繁扫荡宿东游击区，烧杀掳掠；日本投降后被国民党收编为濉河剿匪挺进军少将司令继续反共。,1945 年 9 月新四军攻克时村，负伤被俘，伤重死于俘虏营。
金元一（金跃三）,时村首任维持会长,宿县时村,原国民党团总，日军一到即率武装投降；抓丁拉夫、修筑据点，资敌助战，时村最早投敌头目。,1939 年 4 月八路军苏鲁豫支队攻克时村，活捉后公审处决。
刘永贵,胡泽普部下伪军团长,宿县时村、尹集一带,伪军主力，多次带队袭击抗日区公所，捕杀地方干部，劫掠乡村百姓。,时村战斗被俘，公审枪决。
刘长伦,伪连长,宿县尹集周边,率便衣特务偷袭尹集区公所，图谋杀害区长，四处搜集根据地情报，绑架勒索群众。,时村攻破被俘，镇压处决。
单俊卿,伪湖沟集伪军司令,固镇湖沟集,青帮头目，盘踞湖沟，拥有千余伪军武装；控制浍河航运，抓捕地下交通人员，策动我方队伍叛变，鱼肉沿淮百姓。,抗战胜利后被国民党收编；解放后镇反公审枪决。
马子合,伪湖沟区长,固镇湖沟,把持湖沟伪区政权，催粮派夫，策反抗日武装，为单俊卿伪军提供后勤情报支持。,肃奸运动捕获判处死刑。
徐荫堂,伪固镇维持会会长、伪区长,固镇、新马桥,固镇投敌劣绅，迎接日军进驻固镇，建立基层伪组织，管控津浦铁路固镇段，盘查抓捕爱国人士。,抗战胜利后汉奸审判伏法。
邵世恩,萧县黄口维持会会长、伪萧县知事,萧县黄口（今宿州北部）,劣绅，日军进入黄口立刻组建维持会；抓夫征粮，推行伪化统治，其子邵竞生为主要帮凶抖音百科。,抗战胜利后肃奸逮捕法办。
邵竞生（邵秃子）,汪伪萧县县长,萧县全境,邵世恩之子，人称 “二县长”；主持萧县伪县公署，强化保甲良民证，配合日军扫荡萧铜抗日根据地；后调任伪灌云县长、徐州筹备主任抖音百科。,1952 年镇反处决。
张海生（张抱平）,伪淮海省第六总队司令兼自卫团团长,泗县张楼,大地主恶霸，千余武装固守张楼大圩；与日军勾结，杀害革命军民百余人，与新四军交战百余次；张楼战斗造成我方重大伤亡。,1951 年公审枪决。
张耀先,伪区长（张海生爪牙）,泗县张楼周边,张海生心腹，出任伪区长，协助推行伪化，抓捕迫害基层抗日干部群众。,解放后镇压处决。
赵自魁,伪军大队长,宿县蒿沟集（埇桥区）,土匪投敌，二百余人武装盘踞蒿沟；敲诈掠夺，霸占妇女，勾结大店日军，残害周边百姓，手下窦玉斋等四人为四大恶爪。,宿东游击支队攻打据点，被俘公审枪决。
陈庚新,夹沟伪据点头目,宿县夹沟五柳,铁杆伪军，驻守五柳据点，吸食毒品，勒索民财，坚决反共，抓捕抗日家属作为人质。,被萧宿铜总队武工队锄奸击毙。
丁昌汉,尖山伪乡长,宿县尖山乡,勾结夹沟日伪密谋叛变，企图出卖五柳地区抗日力量作为投敌资本。,被抗日政府逮捕惩处。
赵宗熹,皇藏乡维持会会长,萧县皇藏山区（今宿州北部）,地主劣绅，成立维持会推行伪化，联络县城汉奸，报复抗日群众。,彭南游击队锄奸处决。
李忠镐（李七猴）,徐楼维持会会长,萧县徐楼,大地主，勾结曹村车站日军修筑徐楼伪圩子；横征暴敛，搜捕抗日人员，破坏基层抗日活动。,新四军攻破圩寨，逃往徐州；抗战胜利后缉拿归案判刑。
王光友,叛变投敌原游击队员,宿县五柳,我方战士叛变投敌，配合汉奸陈庚新抓捕群众人质，出卖游击区情报。,1944 年除夕夜被武工队捕获正法。
王怀义,伪灵璧县县长,灵璧县城,伪淮海省委任，主持灵璧伪政权，扩充伪保安队，配合日军扫荡灵北抗日根据地，强征粮饷劳工。,抗战胜利后肃奸公审死刑。
朱学贤,伪砀山县县长,砀山县城,砀山伪政权主官，推行保甲制度，收编土匪伪军，封锁砀山周边抗日根据地。,抗战胜利后捕获法办。
