姓名,伪职 / 身份,活动地区,核心罪行,最终结局
齐默特色木丕勒,郭尔罗斯前旗札萨克亲王，伪满蒙政部大臣、兴安总署总长,前郭尔罗斯前旗（哈拉毛都王府）,参与炮制伪满洲国，签署伪东北行政委员会独立宣言；带头将蒙地献给伪满，配合日本推行蒙地掠夺，庇护日本特务，协助日本对蒙东地区殖民统治抖音百科。,1942 年病死于王府，未等到抗战审判。
尹保衡（尹杰三）,伪洮辽支队团长，驻防扶余城,扶余（今松原扶余）,张海鹏部伪军头目，占据扶余县城，建立伪军警体系，镇压抗日武装，抓捕迫害爱国群众。,抗战胜利后被民主政府惩处。
周杰人,伪扶余县公安局长（本地兵痞）,扶余,投靠日军，执掌伪警察机构，抓捕抗日人士，压榨本地百姓。,解放后镇压反革命时期被处理。
赵有金,伪扶余保卫总队长（原土匪）,扶余,土匪投降日寇，组建伪地方武装，助日军维持地方统治，劫掠百姓。,解放后被镇压。
达木林道尔吉（达木扎布）,伪郭尔罗斯前旗旗长,前郭尔罗斯前旗,伪满时期执行日本各项政令；日本投降后组织维持会、治安队，继续把持地方，对抗民主政权。,被民主政府逮捕审判。
刘洪山,伪警察分驻所所长，大地主出身,长岭县兴隆泉,充当伪满爪牙，依仗日伪权势欺压乡民，搜刮粮食，协助执行 “粮食出荷” 掠夺政策。,解放后公审镇压。
崔作智,伪乾安县县长,乾安县,伪满时期执行日本殖民统治；日本投降后组建乾安维持会，收编伪警成立反动武装，阻挠民主政权接收县城。,1946 年被民主政府逮捕惩办抖音百科。
孟庆文,伪长岭新安镇警察署署长,长岭新安镇,日伪时期残害百姓；光复后组建维持会与 “大排队” 武装，修筑炮台，武力抗拒民主政府接收。,武装失败后被清算。
于化南,伪长岭新安镇商务会长、维持会骨干,长岭新安镇,依附日伪，为日军筹措物资；光复后出钱出枪资助反动地方武装对抗民主政府。,解放后被惩处。
谭玉福,伪长岭新安镇协和会会长，维持会头目,长岭新安镇,推行协和会奴化宣传；光复后参与组织反动武装，征粮派款，与民主政府为敌。,解放后公审处理。
