姓名,伪职 / 身份,活动地区,核心罪行,最终结局
沙贵章,伪淮安县维持会会长、伪县长,淮城（今淮安区）,原国民党淮安县长，主动献城迎日军；组建伪警察大队，强征粮款、推行鸦片种植；制造黄土桥惨案，残害上百名抗日军民，是淮安头号巨奸。,1945 年群众三万人大公审，公审枪决。
吴漱泉（吴独膀子）,伪淮海省第五支队司令，伪军城防司令,淮城（淮安区）,土匪出身，被俘投敌，手握四千余伪军；运河沿线劫掠百姓，抓捕平民服苦役；日本投降后接受国民党收编死守淮城，拒不投降，疯狂迫害城内进步人士。,1945 年 9 月新四军攻克淮安城，战斗中被击毙。
徐继泰,伪 “和平反共兴亚建国第三军” 军长，伪涟水、阜宁县长,涟水、灌南一带,原国民党游击司令，1942 年率部投敌；发明多种酷刑残害根据地军民，扫荡盐场，屠杀灶民与抗日干部，频繁袭扰涟东抗日根据地。,抗战胜利后被俘，汉奸审判处决。
花其秀,清江浦（淮阴）四大魔王之一，伪特务头目,淮阴清江浦,沦陷后投敌，执掌伪特务组织，网罗地痞流氓，搜捕地下党、爱国群众，敲诈商户，残害平民，清江浦地方恶势力代表。,战后镇压反革命公审处决。
吴引崇,清江浦四大魔王之一，伪警察头目,淮阴城区,投靠日伪，执掌伪警察力量，配合日军清乡扫荡，抓捕进步人士，盘剥城内工商业。,抗战胜利后逮捕法办。
陈升儒,伪泗阳县县长、苏淮特区教育处长,泗阳众兴,教育出身投敌，两度出任伪泗阳县长；建立伪保甲体系，奴化教育，征粮抓丁，配合日伪扫荡泗阳根据地。,1945 年两淮战役被俘，1946 年两万群众公审处决。
沈玉仁,日伪密探（篾匠）,涟水全境,以走街串巷编织竹器为掩护搜集情报；告密新四军驻地，直接引发大胡庄惨案，致使大量指战员牺牲。,解放后清算镇压。
高必发,伪淮安县警察大队长,淮安区,沙贵章副手，执掌伪警察武装，参与黄土桥惨案，下乡扫荡，抓捕酷刑迫害爱国群众。,抗战胜利后公审枪决。
李凤和,伪剿共军第一团团长,涟水佃湖,伪军主力头目，驻防佃湖据点，多次配合日军扫荡涟东根据地，烧杀抢掠，搜捕抗日干部群众淮安市政协。,两淮战役被歼灭，本人被俘处决。
董树棠,伪盱眙保安大队副大队长,盱眙县城,执掌伪保安武装，配合特工队下乡扫荡盱嘉支队，捣毁乡村抗日救国会，抓捕杀害爱国群众宿迁日报。,抗战胜利后汉奸罪判刑。
张承铭（张大龙）,盱眙伪特工队队长,盱眙,日伪特务头目，网罗爪牙，暗杀抗日干部，刺探盱嘉支队情报，多次制造抓捕屠杀事件宿迁日报。,解放后公审伏法。
王亚民,伪盱眙警察局局长,盱眙,执掌伪警察系统，执行日伪政令，抓捕地下抗日人员，协助伪县长维持傀儡统治宿迁日报。,战后逮捕惩处。
沈义轩,伪涟水六区区长,涟水佃湖,原国民党保长，日军占领后投敌；建立伪区政权，征粮抓丁，告密抗日武装行踪，迫害当地百姓淮安市政协。,被抗日武工队锄奸处决。
胡履义,清江浦四大魔王之一，伪商会骨干,淮阴城区,商界汉奸，为日军强征物资，勒索商户，拉拢士绅归顺日伪，资助伪政权。,抗战胜利后被捕判刑。
