姓名,伪职 / 身份,活动地区,核心罪行,最终结局
张雄南,受日军委任伪福建和平救国军总司令（德化匪首）,德化、仙游、永泰山区，谋划下海投敌党史学习教...,德化大股匪首，与日本谍报人员铃木三郎勾结，接受伪番号，刺探闽中军情、伪造货币，引诱地方人员附逆；企图率部下海投靠厦门日军，后被国军围剿党史学习教...。,1939 年被福建省保安部队围剿，兵败身死。
张克武,伪德化自治军司令（张雄南侄子）,德化山区党史学习教...,协助张雄南勾结日谍，招拢土匪扩充伪武装，在德化境内搜集情报，煽动叛乱。,1939 年围剿战斗中被击毙。
曾国治,原泉州律师，厦门伪维持会科长,泉州、厦门闽南文化生...,泉州籍，赴厦门投靠伪政权，出任伪维持会科长，参与伪行政事务，为日伪拉拢泉州本地士绅。,抗战胜利汉奸法庭审判定罪。
张逸舟,伪福建和平救国军第二集团军总司令（仙游籍，频繁袭扰泉州沿海）,金门、围头、深沪、崇武外海，泉州整个海岸线,闽海最大海上伪军头目，司令部驻马祖；以乌丘、金门为基地，劫掠泉州海面商船渔船，武装袭扰晋江永宁、深沪，惠安崇武，南安石井沿海村镇，抓捕渔民，贩运鸦片日货，封锁泉州海上交通线。,抗战胜利被军统收编，后逃亡海外。
郑德民,伪和平救国军副司令,泉州‑金门海域,张逸舟副手，多次带队窜犯晋江、南安沿海，劫掠船只，搜捕海上抗日人员，兼有伪军、军统特务双重身份。,战后肃奸逮捕判刑。
林沧圃,伪和平救国军参谋长,闽海，泉州近海岛屿,伪军核心幕僚，负责和厦门日军联络，策划袭扰泉州沿海，策动泉州沿海土匪、地方人员下海投伪。,抗战胜利被国民党当局收用。
张秀宝,伪军大队长（张逸舟部）,乌丘屿，泉州近海,驻守乌丘，频繁驾船到晋江、惠安沿海抢粮抓人，截击我方海上交通船，给日军输送情报物资。,解放战争时期被歼灭。
许丁仔（绰号）,金门伪乡维持会长,金门（原属泉州）,金门沦陷后投敌，办理良民证，征粮抓夫，欺压金门百姓，配合日军对泉州沿海开展策反。,光复后公审处决。
洪天赐,日伪 “敬佛会” 泉州分会骨干,晋江泉州城区,日本间谍组织 “敬佛会” 泉州分会骨干，以宗教为掩护，联络地痞、沿海走私商人，搜集泉州国军布防情报，发展内线。,被泉州军警破获，军法处决。
王阿歪（绰号）,海上伪军小头目,晋江围头、深沪湾,投靠张逸舟，带领武装小艇在泉州湾劫掠渔船，上岸勒索沿海村庄钱财，给乌丘伪军传递陆地情报。,抗战胜利被俘，判处重刑。
苏阿狗（绰号）,潜入日伪密探,惠安崇武、辋川,厦门日伪派遣，伪装渔贩登陆惠安沿海，侦查海防工事，散布失败言论，引诱渔民下海参加伪军。,闽东南武工队锄奸处决。
陈阿源,资敌奸商,晋江安海、石狮,暗中与厦门敌占区贸易，大量输送粮食、土产给日伪，走私日货，为间谍提供经费掩护。,战后肃奸，没收全部商号财产，判处有期徒刑。
李阿福（绰号）,安溪潜伏谍报联络员,安溪县城、湖头,伪装逃难商人，受土桥大郎 “生命保险株式会社” 间谍机关指使，在安溪、永春联络地方败类，搜集闽西、闽中军政情报。,被保安团抓捕，军法处置。
