姓名,伪职 / 身份,活动地区,核心罪行,最终结局
傅君实,蚌埠维持会首任会长、伪安徽省政府秘书长,蚌埠城区,蚌埠最早投敌头目，1938 年 3 月牵头组建维持会，迎接日军入城；后任伪省府秘书长，辅佐多任伪省主席，参与全省伪政务规划，搜刮物资资敌。,1951 年蚌埠公审枪决。
唐少侯,伪安徽省财政厅厅长,蚌埠,蚌埠地方士绅投敌，掌管伪省财政，苛捐杂税统管粮、盐、鸦片，为日军筹措巨额军费；勾结青帮，操纵蚌埠商界资敌中安在线。,1951 年蚌埠飞机场公审处决。
秦松亭,维持会骨干、伪凤阳县县长（蚌埠当时属凤阳县）,蚌埠、临淮关,参与蚌埠早期维持会，后出任伪凤阳县长，推行保甲良民证，强征民夫修工事，迫害抗日群众。,1951 年公审枪决。
倪道烺,伪维新政府安徽省省长、汪伪安徽省首任省主席,蚌埠（伪省府）,北洋旧官僚，伪安徽政权奠基人，完整搭建省级伪行政、警务、教育体系；推行清乡、奴化统治，镇压皖北抗日力量抖音百科。,抗战胜利被捕，1951 年押回蚌埠公审枪决抖音百科。
高冠吾,汪伪第二任伪安徽省主席,蚌埠,接替倪道烺，主政安徽伪政权，增设清乡办事处，强化物资统制，扩编伪军、特务组织，对皖北游击区开展扫荡围剿。,抗战胜利后捕获，病死狱中。
罗君强,汪伪第三任伪安徽省主席、蚌埠绥靖主任,蚌埠,统管伪安徽军政，扩充保安武装，强化特工镇压；在蚌埠推行新国民运动，配合日军掠夺皖北粮食棉花。,1947 年判处无期徒刑，1970 年病死于上海监狱。
林柏生,汪伪末代安徽省主席、蚌埠绥靖公署主任,蚌埠,汪伪宣传头目，1945 年初到蚌埠，大肆安插亲信，企图扩军自保；日军投降后逃往日本，被引渡回国。,1946 年南京汉奸审判枪决。
邓赞卿,伪安徽省民政厅厅长,蚌埠,伪省府核心官员，主管全省伪县长、伪区长任免，推行保甲制度，办理良民证，管控沦陷区基层行政。,战后肃奸判处重刑。
钱慰宗,伪安徽省教育厅厅长,蚌埠,主持全省奴化教育，中小学强制日语教学，查禁爱国书刊，创办伪《安徽日报》开展亲日宣传。,抗战胜利后逮捕判刑。
贺佑民,伪安徽省建设厅厅长,蚌埠,强征皖北各地民夫，为日军修筑铁路、公路、碉堡、军事工事，掠夺矿产资源资敌。,汉奸清算判处有期徒刑。
徐国璧,汪伪特工总部蚌埠站站长（天锡里特工站）,蚌埠天锡里,皖北特务最高头目，蚌埠特工站统辖怀远、临淮关、明光、五河各组；广布情报网，抓捕地下党员、抗日干部，设立武装 “挺进第三队” 实施绑架暗杀。,抗战胜利后捕获处决。
沈夕俩,伪蚌埠警备司令,蚌埠城区,执掌伪警备武装，负责蚌埠城防，镇压城区爱国活动，下乡配合日军扫荡怀远、凤阳乡村。,1951 年蚌埠公审枪决。
陈希平,伪蚌埠商会会长,蚌埠二马路,经济汉奸，胁迫商户开市，摊派巨额捐款，为日军征集粮食、布匹、铜铁各类战略物资，操控商贸。,1951 年公审处决。
胡大刚,伪安徽日报社社长、伪省府委员,蚌埠,伪官方报纸负责人，大肆鼓吹 “大东亚共荣”，造谣污蔑抗日武装，实施思想奴化宣传。,战后肃奸判刑。
叶雪松,伪蚌埠县长兼第一区专员,蚌埠,林柏生心腹，主理蚌埠地方伪行政，任用亲信、贪腐敛财，强化城乡保甲管控。,抗战胜利后逮捕法办。
张拱辰,伪省府委员、汪伪国民党安徽省党部常委,蚌埠,负责汪伪党务，在蚌埠及沦陷各县发展伪国民党组织，拉拢地方士绅附逆。,汉奸审判判处徒刑。
王震生,伪安徽省民政厅长、伪省党部常委,蚌埠,接续民政厅工作，调整各县伪政权人事，配合清乡运动清查户口。,战后逮捕判刑。
金石,伪省党部组织科科长,蚌埠,职业特务，专门发展伪组织成员，搜集社会情报，胁迫进步人士附逆，手段恶劣。,抗战胜利后伏法。
王少山,蚌埠宪兵队便衣特务头目,蚌埠、怀远、淮河沿线,地痞投靠日军宪兵队，带领便衣在码头、铁路沿线刺探情报，敲诈商人，告密抓捕爱国人员。,被我方锄奸队击毙。
顾六子（绰号）,临淮关伪侦缉队长,凤阳临淮关,盘踞临淮关水陆要道，盘查往来人员，多次引导日军下乡扫荡淮河两岸游击区百姓。,抗战胜利后公审处决。
周景堂,怀远伪维持会会长,怀远县城,怀远沦陷组建维持会，征粮派夫，配合日伪控制涡淮渡口，搜捕抗日游击人员。,收复后逮捕判刑。
