区域,姓名,籍贯,伪职,主要罪行,结局
离石（离石区，含大武）,贺焕芝,离石,伪离石城防副司令、新民会离石分会会长，神风铁血团头目,原决死队人员，因家庭利益叛变投敌；组建 500 余人铁血团；广建维持会、修筑碉堡；多次带队扫荡离东根据地，亲手机枪处决 20 余名抗日干部；日本投降后被阎锡山收编。,1945 年 9 月解放离石巷战中被八路军击毙
,张嘉模,离石,伪离石县县长,主持离石伪县公署，推行保甲，强征粮款、抓劳工修炮楼，配合治安强化运动。,离石解放被俘，汉奸罪审判处决
,张发科,离石,伪离石警察所长,掌管伪警察，指挥便衣，严刑拷打被捕抗日人员，递送情报配合进山扫荡，制造后马家村惨案。,解放后公审枪决
,武俊杰（山后虎）,离石大武,石门墕据点伪维持会总头目,土豪劣绅投敌；盘踞石门墕据点，抓捕、悬赏缉拿我方干部；引日伪军制造雒贵琦惨案，残害大批抗日军民。,武工队锄奸击毙
,郭元喜,离石前马家村,原离东二区游击队长，叛变投敌,率 200 余人投敌；带领日伪军偷袭离东县委，致使 6 名干部被捕，2 名女干部惨遭杀害。,解放后公审处决
汾阳市,宋子君,不详,伪汾阳县县长,建立汾阳伪公署，管控太汾公路，强征粮食壮丁，多次配合日军扫荡晋绥八分区。,1945 解放文水战斗中被击毙
,王兴国,不详,伪汾阳保安少将城防司令,统筹汾阳周边伪军，指挥各据点清乡扫荡，抓捕抗日干部群众。,1945 被俘，汉奸罪判刑
,王耀先,不详,伪汾阳保安副大队长,带队下乡烧杀抢掠，祸害汾阳边山村庄。,被俘后审判处决
,韩宝森,汾阳,宪兵队便衣特务头目,发展密探网络，破获地下交通站，搜捕地下党员。,解放后镇反枪决
文水县,李毓田,不详,伪文水县县长,组建文水伪政权，修筑炮楼，推行保甲连坐，配合日军扫荡文水山区。,抗战胜利逮捕判刑
,王英,文水,伪文水警备大队长,驻守文水县城、开栅据点，多次袭扰八分区根据地边缘。,解放后公审枪决
,姜雨村,文水,云周西村伪村长,投靠日伪，充当据点耳目，敲诈百姓，出卖抗日人员情报。,抗战时期被我方锄奸处决
交城县,韩步洲,交城,伪山西省保安第四师师长,原阎军军官投敌；驻扎交城、文水一带；多次率伪军配合日军扫荡交城、清太徐根据地，捕杀干部民兵。,日本投降被阎锡山收编；太原解放被俘劳动改造
,赵晋卿,交城,伪交城县县长,建立交城伪公署，管控交山要道，抓夫征粮，迫害抗属。,光复后逮捕判刑
,史存义,交城,伪交城警备大队长,盘踞交城、古交一带，进山扫荡交山抗日根据地。,解放后镇压处决
孝义市,杜蔚然,不详,伪孝义县县长,日军占领孝义后组建伪政权，管控孝汾平原，强征粮棉，配合治安强化。,战后汉奸罪判刑
,侯世安,孝义,伪孝义警备大队长,驻守孝义、兑九峪据点，袭扰晋绥根据地。,解放后公审枪决
中阳县,白守义,不详,伪中阳县县长,建立中阳伪县公署，修筑炮楼，配合日军扫荡中阳南山根据地。,县城收复后逮捕判刑
,张世昌,中阳,伪中阳警备大队长,带队下乡清乡，抓捕抗日积极分子。,解放后镇压处决
柳林（原离石西部）,张二贵,柳林（临县交界）,据点汉奸特务,投靠日军，搜集情报，抓捕杀害抗日干部，四处敲诈百姓吕梁新闻网。,解放后公审处决
,阎振海,柳林大武,伪据点伪军头目,盘踞大武，随同贺焕之作恶，多次进山袭扰。,1945 大武战斗被俘处决
方山县,戚振华,不详,伪方山县县长,建立方山伪政权，修筑峪口等据点，强征民夫物资。,战后逮捕判刑
,刘二虎,方山,伪方山警备大队长,驻守峪口据点，祸害方山北部山区。,被武工队俘获处决
临县,崔老要,临县（马茂庄）,日伪大武据点伪村长,横行乡里，为日军搜集情报，迫害本地抗日群众，作恶多端。,武工队深夜潜入家中就地锄奸处决
