区域,姓名,籍贯,伪职及主要罪行,结局
五原县（1940 短暂沦陷）,王英（王杰臣）,五原,伪绥西自治联军总司令，河套头号大汉奸；土匪出身，1935 投日。1940 随日军攻入五原，司令部驻五原城；指挥伪军在河套烧杀抢掠，强征粮草鸦片，配合日军进攻傅作义部。五原战役主力被歼灭，只身逃跑抖音百科。,抗战胜利被国民党收编；1950 年以汉奸反革命罪枪决
,田喜庭,五原,五原沦陷后伪县长；日军占领五原，牵头组建伪县政府、伪警备厅，推行强化治安，为日军征粮拉夫，迫害爱国群众五原县人民...。,五原收复后被逮捕公审处决
,王乐三,五原,伪五原警备厅头目；协助田喜庭维持伪政权，抓捕迫害当地爱国人士五原县人民...。,五原光复后处决
,杜凤山,五原,伪五原伪政权骨干，伪军头目；随同日军下乡骚扰、敲诈百姓五原县人民...。,五原战役被俘处决
,刘子俊,五原,伪县政府职员，汉奸骨干；替日军搜集情报，胁迫地方士绅附日五原县人民...。,战后镇压处决
,陈秉义,绥远,伪绥西自治联军第一师师长；原国民党军官，1940 投日，率部进入河套，驻守五原外围，祸害河套百姓。,解放后逮捕处决
安北县（大佘太，今乌拉特前旗北部）,杨德三,固阳,伪保安团团长；1937 奉日军命令攻占大佘太，洗劫商号，建立伪据点；1938 被门炳岳部击溃，化装逃跑，之后继续为日军驻守大佘太，配合日军扫荡周边中共巴彦淖...。,解放后镇反公审枪决
,张万祥,安北,伪安北县伪县长（大佘太）；日军二次占领大佘太后设立伪县公署，修筑炮楼，管控乌梁素海前沿，抓捕往来抗日人员。,安北解放被俘判刑
乌拉特前旗（西公旗）,额宝斋,乌拉特前旗,蒙奸，西协理；投靠德王、伪蒙疆。暗中勾结包头日本特务机关，挑拨旗内矛盾，告密支援奇俊峰抗日的蒙民，策划叛乱。,1947 年清算处决
,色楞,乌拉特前旗,伪旗属官员，私通包头日伪；为日军提供乌拉山一带情报，策动部分牧民投敌。,战后管制判刑
临河县（今杭锦后旗、临河）,唐兆铭,临河,临河地方投降派，密谋投靠日伪，暗中联络包头日伪，策划叛乱。,1938 被国民党门炳岳部抓捕镇压巴彦淖尔市...
,康三元,临河,同唐兆铭，密谋投敌，拉拢地方势力准备迎接日军。,1938 被门炳岳部抓捕镇压巴彦淖尔市...
乌拉特中旗、后旗,道尔吉,乌拉特中旗,蒙旗下层官员，受伪蒙疆拉拢；向包头伪政权报送草原情报，鼓动部分牧民附日。,战后管制处理
