区域,姓名,籍贯,伪职及主要罪行,结局
临榆县（山海关、海港区）,陈维康,不详,伪临榆县县长，驻山海关；组建伪警察，盘查山海关关隘，征集劳工粮草，搜捕地下抗日人员，执行长城封锁政策。,1945 冀热辽部队收复山海关被俘，公审处决
,董扒皮（董某）,不详,山奉铁路伪总监（铁路系统大汉奸）；掌控山海关铁路警务，抓捕铁路工人抗日分子，转运日军兵员物资，敲诈商旅百姓。,山海关解放被俘，公审枪决
,吴子玉,临榆,伪临榆县警察局长；配合山海关宪兵队，抓捕进出关地下交通员，刑讯被捕群众。,解放后镇反公审枪决
,高立山,临榆,伪警察局南海分驻所所长（海港区），外号 “南霸天”；驻守秦皇岛南海一带，抓捕抗日工作人员，勒索商户百姓。,抗战胜利公审处死
,莫辅亭,临榆,城子庄伪保卫团团长；管控秦皇岛近郊，搜集游击武装情报，抓捕城郊潜伏人员。,解放后镇反公审处决
海阳镇（临榆县辖）,张绍武,海阳镇,伪海阳镇警察所长；驻守海阳据点，配合日军高石茂利宪兵队扫荡游击区，抓捕地下交通员，勒索周边村庄。,1944 年海阳据点被七区队攻克被俘，判处死刑
,刘老贵,海阳镇,伪海阳镇伪大乡长；给据点输送情报，强征粮款民夫，告密多名堡垒户。,抗战胜利群众控诉，镇压处决
北戴河（临榆县辖）,张爱仁,不详,伪冀东警备团团长，团部驻北戴河‑海阳一线；假意联络八路军起义，实际勾结日军设伏，企图围歼我方部队，破坏滦东情报网。,被日军怀疑私通八路，逮捕押解，判处十年徒刑送回日本
,李凤岐,北戴河,伪北戴河海滨维持会会长；为日军提供疗养驻地，摊派物资，管控海滨伪自卫团。,日本投降后逮捕，判处管制改造
抚宁县（台头营、石门寨）,赵云椿,抚宁,第一任伪抚宁县县长，组建伪县公署、警备队、新民会；1938 年调集伪军围剿七家寨抗日暴动队伍，制造重大伤亡，推行清乡抓丁征粮。,日本投降后潜逃，1946 抓捕归案镇压
,王芝佐,抚宁,台头营据点伪警备队长；驻守抚宁北部山区，多次扫荡迁卢抚昌根据地，刺探情报，抓捕爱国群众；七家寨暴动提前告密，致使暴动受损秦皇岛党史...。,抗战后期被抗日武装就地锄奸击毙
,武修忠,抚宁,伪警察大队长；盘踞抚宁东部，进山扫荡，残害山区百姓。,1942 隔河头战斗被八路军 12 团击毙
,张相周,不详,末代伪抚宁县县长；强化物资统制，配合日军制造长城无人区。,战后汉奸罪判处长期徒刑
昌黎县,王连璧,昌黎,伪昌黎县县长、新民会头目；推行奴化教育，掠夺粮食矿产，管控滦河沿线据点。,日本投降后逮捕判刑
,郭二虎,昌黎,伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。,1945 昌黎解放被俘处决
,刘振邦,昌黎,伪昌黎特务系长；专门搜捕迁卢抚昌联合县干部，酷刑审讯被捕人员。,镇反时期公审枪决
青龙县（伪满热河省，人圈重灾区）,孙柏青,不详,伪青龙县县长；强力推行集家并村、修建人圈，疯狂清剿长城沿线抗日武装，制造多起惨案。,1945 被俘，公审判处死刑
,周海山,青龙,伪青龙警备大队长；伪军主力头目，多次配合日军扫荡迁青平根据地。,解放后镇反公审处决
,张金祥,青龙,伪讨伐队副司令；驻守青龙县城，进山扫荡无人区，捕杀抗日干部。,拒不投降，交战中被八路军歼灭
,袁庆汉（袁大白话）,青龙干沟,干沟维持会会长；逼迫百姓迁入人圈，告密山区群众与八路军往来，制造血案。,1945 公审处决
,范子和,不详,伪青龙特务头目；木头凳、龙王庙一带发展大批眼线，抓捕堡垒户、情报人员。,1944 秋季锄奸行动被八路军击杀
,张雪涛,青龙,伪讨伐队队长；抓捕杀害地下支部书记金成山等多名抗日干部，酷刑残害群众。,解放后抓获，判处长期徒刑
