姓名,籍贯,伪职,主要罪行,结局
徐家桓,吉林永吉,伪四平省首任省长，后伪吉林省省长,伪四平省第一任华人最高长官；推行保甲、粮食出荷，强征国兵、劳工；后调吉林，八一五组织吉林维持会，企图保留伪政权等待国民党接收。,苏军逮捕，关押抚顺战犯管理所，后特赦释放。
曲秉善,辽宁沈阳,伪四平省末代省长（1943‑1945.8）,疯狂推行粮食 “出荷”，四平省出荷粮占东北很大比重，动用武力搜刮农民粮食；强征劳工，配合治安肃正镇压抗日力量四平市档案...。,苏军逮捕，抚顺战犯管理所关押，后期特赦。
翟书田,梨树十家堡,九一八四平街维持会会长、伪四平街市政公所市长（早期），绰号 “翟小鬼”,九一八迅速投靠日军，组建维持会，协助日军接管四平；放高利贷，勾结日伪压榨百姓；八一五后仍依附国民党势力敛财吉林省地方...。,四平解放后逮捕，没收全部家产，后病死狱中吉林省地方...。
阚朝山（阚六）,盘山,九一八 “四民自治维持会” 会长，伪永乐区区长,九一八事变立刻组织维持会迎接日军，协助日军接管四平街；依仗其弟阚朝玺势力，经销鸦片，欺压城乡百姓。,1945 年 8 月 27 日自杀。
赵汉臣（赵翰臣）,四平,伪四平总商会会长、协和会顾问、伪若叶区区长,四平头号附逆商人；参加 “请愿团” 欺骗国联调查团；为日军筹措军需、摊派报国捐；八一五任四平维持会会长，把持城市工商，家财巨万吉林省地方...。,反奸清算，没收全部财产，因苏军干预未执行死刑，后病死。
王子章,四平,伪专卖组合头目、特务,以商号为掩护充当日伪特务，搜集情报，欺行霸市，勒索百姓，民愤极大四平日报数...。,四平反奸清算公审枪决。
肖永祥,郑家屯（双辽）,伪街公所行政系主任，外号 “肖阎王”,多次强征劳工，敲诈勒索，谋财害命，忠实充当日本爪牙四平日报数...。,群众公审，判处死刑立即执行。
袁怡篪,不详,伪四平省民生厅厅长,主管民生、劳工征集，执行战时物资搜刮，强征劳工出荷。,光复后逮捕，汉奸罪重判。
张仲孝,不详,伪四平街市市长,伪四平市华人市长，协助日本副市长管理城市，强化市内治安管控，推行奴化宣传。,抗战胜利逮捕判刑。
刘庆溥,不详,伪四平街市末代市长,伪满末期，疯狂搜刮物资，强征劳工送往矿山与边境。,八一五后被民主政府逮捕。
李宝珍,梨树,伪梨树县保安大队长,九一八后率保安队投降日军；指挥伪保安队围剿辽北义勇军，抓捕爱国群众。,解放后镇反判处长期徒刑。
王炳宸,不详,伪梨树县县长,梨树为四平省核心县；强力推行粮食出荷，武力征粮，推行集团部落。,战后汉奸罪判刑。
姜兴周,不详,伪双辽（郑家屯）县长,管控西部边境，盘查交通要道，强征粮畜，镇压地方抗日活动。,光复后逮捕判刑。
隋景云,不详,伪长岭县县长,长岭地处辽北草原，强征粮食牲畜，配合讨伐义勇军。,解放后惩处。
王庆璋,不详,伪怀德县（公主岭）县长,怀德是产粮大县，执行高压粮食出荷，强征国兵劳工。,战后逮捕判刑。
王显廷,四平,伪四平警察厅特务科主任,领导华人密探网络，在四平、梨树、怀德搜捕爱国分子，刑讯迫害 “思想犯”。,四平解放后公审枪决。
王永清（匪首）,梨树,伪维持会武装头目，土匪投敌,九一八被日伪收编，配合维持会，在辽北劫掠村镇，进攻抗日武装。,被抗日武装击溃，后被镇压。
