姓名,伪职 / 身份,活动地区,核心罪行,最终结局
谢文东,原抗联第八军军长，投降后伪三江省讨伐队头目,依兰、勃利、桦南，合江全境,土龙山暴动起家，1939 年率抗联八军大部投降日寇；带领伪军进山讨伐抗联，残害抗日军民；日本投降后投靠国民党，成为 “四大旗杆” 匪首，制造多起屠杀惨案佳木斯广播...。,1946 年依兰公审枪决。
李华堂,原抗联第九军军长，投敌伪讨伐头目,刁翎、依兰、汤原一带,1939 年投降日伪；熟悉下江山林，带队围剿抗联；赵尚志牺牲后到场辨认遗体，助日军邀功；光复后组建国民党土匪武装作乱合江地区。,1946 年捕获，公审处决。
邬捷飞,伪满协和会骨干，光复后国民党特务,佳木斯市区,伪满时期从事奴化宣传；1946 年制造佳木斯刺杀案，暗杀副市长孙西林等多名革命干部，策划城市暴乱阴谋抖音百科。,潜逃后被抓捕处决。
王自孚（王子孚）,抗联八军三师师长，叛徒,勃利、依兰,杀害抗联八军政治部主任刘曙华，率部队投降日军；充当伪讨伐队向导，破坏密营，捕杀抗联人员。,解放后镇压反革命被枪决中国军网。
赫奎武,抗联八军副军长，叛将,依兰、勃利,原伪满军官，加入抗联后动摇叛变，带走 200 余人投敌；受日军指派策反谢文东等人，围剿下江抗日武装。,伪满后期病死。
关文吉（关文纪）,抗联八军二师师长，叛徒,桦南、依兰,率部投降日伪，加入伪讨伐队，搜捕抗联战士，迫害接济抗联的百姓，破坏下江抗日根据地。,抗战胜利后被民主政府清算。
孙荣久（孙老兆）,抗联八军师长，投敌伪山林队头目,桦南、勃利,投降日军，充当伪山林讨伐队；日本投降后接受国民党委任，大肆劫掠、杀害基层干部，合江四大匪首之一。,1947 年剿匪被俘处决。
宋一夫,原中共吉东省委书记，大叛徒,佳木斯、勃利、穆棱一带,1938 年携巨款叛变投敌，出卖吉东地下党组织，供出大批党员、交通站情报，给抗联二路军造成重大打击。,解放后被逮捕镇压。
杨玉书,伪佳木斯警察厅特务科警尉,佳木斯、富锦,伪三江省特务骨干，专门搜捕地下党、抗联交通员，主持刑讯，制造多起冤案，抓捕大量爱国群众。,1951 年公审处决。
景阳春,伪富锦县警察讨伐大队长,富锦、同江,带领伪讨伐队在松花江下游扫荡抗联，捣毁多处救国会组织，抓捕、残害抗日群众。,抗战胜利后被反奸清算处决。
马喜山,伪地方自卫团总头目,桦川（今佳木斯郊区）,地主武装，投靠日军，组建自卫团，协助日军推行集团部落，抓捕地下抗日人员。,解放后公审枪决。
于方仁,伪依兰县县长,依兰,伪满主政依兰，执行粮食出荷、抓国兵；协助谢文东、李华堂投敌之后的后勤补给；光复后组织维持会抗拒民主政权接收。,被民主政府逮捕惩办。
