区域,姓名,籍贯,伪职,主要罪行,结局
朔县（今朔城区）,任世泽,不详,伪朔县县长,建立朔县伪县公署、伪警察、新民会；推行保甲十家连坐，强征粮食劳工，配合日军扫荡洪涛山抗日根据地。,日本投降后逮捕，汉奸罪重判
,戴忠明,朔县,伪朔县警务科长,指挥伪警察、便衣特务，搜捕朔平地下党组织，抓捕抗日干部群众。,解放后镇反公审枪决
,李易山（王润）,朔县,我方干部叛变，日伪特务头目,原朔县我方干部，1942 投敌，交出 260 多名地下人员名单，配合日伪在平鲁、朔县大搜捕，制造大量抓捕惨案。,解放后公审处决
,贾德成,朔县,商会会长，朔县惨案中告密汉奸,城破当众指认抗日县长郭同仁，致使郭同仁被日军烧死；后被日军杀死，未等到战后审判。,被日军刺死
,赵东山,朔县,伪朔县民生科长,执行日伪苛捐杂税，摊派粮款，协助掠夺物资。,战后逮捕判刑
平鲁（含井坪）,吴秉周（高明）,平鲁,五地委秘书叛变，大特务,核心叛徒，出卖情报酿成白家辛庄惨案，168 名抗日干部学员遇难，是雁北重大惨案祸首之一。,解放后公审枪决
,蔡永德,平鲁,九地委秘书叛变，特务队长,叛变后被日军专门组建特务队，在西雁北疯狂抓捕地下干部、交通员，破坏多处地下组织。,解放后镇压处决
,张万镒,平鲁,伪平鲁县县长,建立平鲁伪政权，修筑炮楼，配合讨伐队扫荡平鲁山区。,战后汉奸罪判刑
,刘德义,平鲁,伪平鲁警备大队长,盘踞井坪据点，多次下乡清乡扫荡，残害堡垒户。,解放后公审枪决
怀仁县,李丙寅,怀仁,伪怀仁县长、维持会会长,1937 率人举白旗出城迎接日军，组建维持会，被伪晋北自治政府委任伪县长，怀仁被日伪称为 “模范县”；推行保甲，征粮抓丁，残酷压榨百姓。,抗战胜利逮捕，汉奸罪重刑关押
,师绍慧,怀仁,维持会副会长，伪政权骨干,跟随李丙寅迎敌，协助办理伪政权事务，摊派粮款。,战后逮捕判刑
,王四毛,怀仁,伪怀仁讨伐队头目,带队袭扰怀仁南部山区，抓捕抗日干部。,被武工队锄奸击毙
山阴县（岱岳）,魏青龙,山阴岱岳,地方士绅，维持会头目,1937 出城迎接日军占领岱岳，组建维持会，为日军筹措粮草物资。,战后逮捕判刑
,王怀义,山阴,伪山阴县县长,建立岱岳伪县公署，管控同蒲铁路，强征劳工粮食，配合治安强化运动。,光复后逮捕判刑
,米万仓,山阴,伪山阴警备大队长,驻守岱岳，频繁配合日军扫荡山阴、朔县交界根据地。,解放后公审枪决
右玉县,樊瑞伍,右玉,伪右玉县首任县长,日军入城后组建维持会，出任伪县长，建立伪警察，推行保甲制度，管控右玉、杀虎口一带，搜捕往来抗日人员。,战后汉奸罪判处重刑
,李守业,右玉,伪右玉警务科长,指挥伪警察，在杀虎口边境盘查，抓捕地下交通人员。,解放后镇反处决
,赵二疤子,右玉,伪讨伐队小头目,下乡骚扰乡村，告密抓捕抗日积极分子。,抗战时期被民兵击毙
应县,张朴,应县,伪应县警备大队长,伪蒙疆伪军主力，驻守应县；多次配合日军扫荡雁北，残害百姓；日本投降后投靠乔日成匪部抖音百科。,解放后被俘处决
,刘秉义,应县,伪应县县长,建立应县伪县公署，征粮抓丁，修筑炮楼据点。,战后逮捕判刑
