姓名,伪职 / 身份,活动地区,核心罪行,最终结局
徐善东,伪宿迁县维持会会长、伪宿迁县知事（伪县长）,宿迁县城（宿城）,宿迁沦陷后组建伪维持会，后任伪县公署知事，搭建全套伪政权，推行保甲、强征壮丁粮草，兼伪警察大队长，镇压本地抗日活动中共宿迁市...。,抗战胜利后汉奸审判判处死刑。
贺春亭,宿迁宪兵队情报队长（地痞出身）,宿城全境,投靠日军，将女儿嫁给日本军官获取信任；主持情报特务队，罗织 “通八路” 罪名敲诈商户百姓，残害大批爱国人士，血债累累中共宿迁市...。,1945 年惩奸公审大会枪决。
戚仲侠,伪宿迁宪兵情报队首任队长,宿迁县城,日军占领初期最早一批汉奸，组建情报队，网罗地痞搜集根据地情报，告密地下抗日人员，制造多起抓捕惨案中共宿迁市...。,抗战胜利后逮捕法办。
胡杰生,伪宿迁县商会会长,宿城,商界大汉奸，为日军搜刮军用物资，垄断城内商贸，摊派各类苛捐杂税，盘剥商户百姓，资助伪政权运转中共宿迁市...。,清算运动被群众斗争，判处重刑。
吴朗之,伪宿迁县商会副会长,宿城,协助胡杰生管控商业，借伪合作社敛财，搜刮金银物资供应日伪，迫害爱国工商业者中共宿迁市...。,汉奸清算判刑。
叶善之,伪沭阳县维持会会长、首任伪沭阳县县长,沭阳县城,沭阳沦陷主动迎日军入城，组建伪维持会，执掌伪县公署全套机构，推行奴化统治，征粮抓丁，搜捕抗日军民。,抗战胜利后公审枪决。
仲养斋,伪沭阳县伪军旅长,沭阳及周边,率伪军配合日军反复扫荡淮海区根据地，直接间接残害六十余名抗日志士与平民；日本投降后投靠国民党继续反共作恶。,1945 年 11 月抓捕归案，公审枪决。
叶筱亭,伪沭阳县商会会长,沭城,为日军筹措粮款物资，胁迫商户缴纳苛捐，拉拢地方士绅附逆，协助伪政权压榨城乡百姓中共宿迁市...。,公审判处死刑执行枪决。
汪兆乾,伪沭阳县伪军大队长,沭阳胡集一带,手上杀害群众七十余人，下乡扫荡烧杀劫掠，祸害胡集周边乡村，群众愤恨极大中共宿迁市...。,胡集区公审枪决。
葛学勤,老泗阳城厢维持会会长,泗阳老县城,泗阳沦陷初期出面组织维持会，迎接日军，为伪政权铺路，摊派粮草差役，欺压乡里中共宿迁市...。,战后汉奸清算惩处。
刘纯所,伪众兴镇维持会会长,泗阳众兴,沦陷早期傀儡头目，为日军征集物资、民夫，协助建立据点统治，拉拢乡绅归顺日伪中共宿迁市...。,抗战胜利后逮捕判刑。
熊三秃子（绰号）,洋河维持会会长,泗阳洋河,投靠日寇，把持洋河地方伪组织，搜刮酒粮物资供给日军，祸害洋河周边百姓中共宿迁市...。,解放后被镇压。
张秉志,伪沭阳县警察局长,沭城,执掌伪警察队伍，配合特务抓捕地下党员、爱国群众，推行宵禁保甲，镇压城内抗日活动。,战后公审处决。
孙景春,伪沭阳伪区长,沭阳乡镇,基层伪政权头目，下乡推行保甲，告密抗日武装情报，抓捕接济抗日队伍乡民中共宿迁市...。,公审就地枪决。
姚立清,伪沭阳伪乡长,沭阳乡间,为伪政权催粮抓丁，充当日伪耳目，迫害基层抗日群众中共宿迁市...。,公审伏法。
王叙五,伪军头目，参与谋害汤曙红,沭阳李恒一带,参与诱杀八路军陇海南进支队汤曙红，长期在沭东南作恶，残害革命干部群众中共宿迁市...。,万余人公审，烈士碑前枪决。
