区域,姓名,籍贯,伪职及主要罪行,结局
张家口市区（特别市）,于品卿,河北南宫,伪察南自治政府主席，伪蒙疆联合自治政府副主席；张家口头号大汉奸，率士绅出城迎接日军，组建维持会，推行保甲、征粮抓丁，掠夺物资，镇压察南抗日运动。,1945‑12‑24 晋察冀特别法庭公审，汉卿桥执行死刑今日头条
,韩广森,张家口,张家口商会会长，伪张家口市市长；迎接日军入城，横征暴敛，抓捕爱国人士，强征劳工资敌中共张家口...。,1945‑10‑08 公审枪决
,崔景岚,张家口,伪张家口市副市长；配合韩广森，管控城市警务，迫害抗日群众，压榨商户百姓。,1945‑10‑08 公审枪决
,文画君,不详,伪蒙疆政府司法部长；主导伪司法体系，审判迫害抗日人员。,1946 年公审判处死刑
,许维本,不详,伪张家口高等法院院长；配合日军，罗织罪名迫害被捕干部群众。,1946 年公审死刑
,李郁周,张家口,回奸，伪牛羊肉组合会会长；盘剥回族商户，欺压回民群众，充当日伪爪牙中共张家口...。,张家口解放清算处决
,董维孝,不详,伪铁路局产业科长；铁路系统汉奸，克扣工人，抓捕铁路抗日分子。,解放后群众斗争惩办中共张家口...
宣化县（宣化省省会）,郭维周,不详,伪宣化县县长；宣化省核心伪政权，修筑大量炮楼封锁平绥铁路，掠夺粮食矿产。,抗战胜利逮捕，判处长期徒刑
,王义山,宣化,伪宣化警备大队长；伪军主力，驻守宣化城、沙岭子据点，多次扫荡南山抗日根据地。,宣化解放被俘，公审枪决
,张士元,宣化,伪宣化特务系长；发展大批乡村眼线，搜捕宣涿怀联合县地下干部。,镇反时期处决
万全县,陈宝荃,不详,伪万全县县长；管控万全、孔家庄一带，推行集家并村，抓捕堡垒户。,战后汉奸罪判处徒刑
,刘老山,万全,伪万全警备大队长；频繁出城扫荡西部山区，残害抗日家属。,万全解放被俘处决
怀安县,王锡九,不详,伪怀安县县长；强征粮秣，管控柴沟堡交通要道，配合日军清乡。,战后逮捕判刑
,赵二虎,怀安,伪怀安警备队长；盘踞柴沟堡、西湾堡，袭扰周边村庄。,怀安解放被俘枪决
阳原县,王大川,阳原,伪阳原县主要汉奸；勾结伪政权，告密抗日干部，血债累累中共张家口...。,群众公审处决
,马迪仕,阳原,伪阳原警备头目；多次下乡扫荡，残害群众，掠夺物资中共张家口...。,公审处死
蔚县,胡锡侯,蔚县,伪蔚县县长；蔚县是晋察冀根据地前沿，修筑大量碉堡，疯狂抓捕抗日军民，制造多起惨案中共张家口...。,蔚县解放群众公审死刑
,吕老贵,蔚县,伪蔚县警备大队长；伪军铁杆，充当日军扫荡向导，残害山区百姓。,镇反公审枪决
涿鹿县,吴方洲,不详,伪涿鹿县县长；依附日伪，推行保甲制度，镇压宣涿怀根据地抗日活动中共张家口...。,涿鹿万人公审，就地正法中共张家口...
,葛寿山,涿鹿,伪涿鹿警备大队长；驻守涿鹿城、矾山据点，配合桑矾事变，搜捕抗日干部。,涿鹿解放被俘处决
怀来县,董九吉,怀来桑园,联庄会头目，后投敌；制造桑矾救国会惨案，杀害我方干部，逮捕大批救国会人员送交日军，严重破坏宣涿怀根据地。,怀来解放后公审枪决
,王典,怀来,董九吉同伙，投敌汉奸；参与捣毁桑园、矾山救国会，抓捕抗日人员。,抗战胜利清算处决
,成达民,怀来,联庄会头目，追随董九吉叛变，出卖抗日救国会。,公审处死
,于惠卿,不详,伪怀来县县长；依托沙城、新保安据点，抓捕地下交通人员，强征壮丁粮草。,战后判处长期徒刑
龙关县（旧制，今赤城）,李梦符,不详,伪龙关县县长；推行长城 “人圈” 集家并村政策，疯狂清剿平北抗日根据地。,战后逮捕判刑
,段占山,龙关,伪龙关讨伐队队长；多次进山扫荡海陀山根据地，捕杀堡垒户。,1944 年被平北支队击毙
赤城县,周善之,不详,伪赤城县县长；执行集家并村，逼迫百姓迁入人圈，制造无人区惨案。,日本投降后潜逃，1946 抓捕归案判刑
,宋万义,赤城,伪赤城警备大队长；伪军主力，配合日军反复扫荡海陀山。,赤城解放被俘枪决
延庆县（当时属宣化省，今北京延庆）,程方辰,延庆,首任伪延庆县长；建立伪县公署，配合日军封锁平北根据地延庆报数字...。,战后汉奸罪判处徒刑
,郝熹,延庆,后期伪延庆县长；强化保甲，修筑炮楼，搜捕平北抗日干部延庆报数字...。,解放后镇反处决
,刘凤山,延庆,伪延庆警备大队长；盘踞延庆城、永宁据点，下乡清乡扫荡。,延庆解放被俘处死
