姓名,伪职 / 身份,活动地区,核心罪行,最终结局
黄阿宝（黄文宝）,汪伪独立第一旅旅长，浙东自卫总队司令,绍兴、上虞、嵊县交界（孙端、谷来）,土匪出身投敌，伪军千余人，在绍虞嵊三县烧杀劫掠，配合日军下乡扫荡，残害地方百姓；日寇投降后改换旗号混迹忠义救国军，后卷入荣德生绑架案抖音百科。,1948 年捕获，后处决。
童曼卿,梅机关派遣女间谍,绍兴城区、平水,上海梅机关派来的女特务，周旋绍兴军政上层，刺探钱塘江防务情报，为日军攻破绍兴城提供关键情报支持中国社会科...。,抗战胜利后下落不明。
沈庆生,伪绍兴县维持会会长,绍兴越城城区,绍兴沦陷第一任维持会头目，出城迎日军入城，召集士绅商户，搭建初期傀儡统治，摊派物资资敌。,抗战胜利后汉奸审判判处死刑。
王云鹏,汪伪绍兴县县长,绍兴全县,执掌伪绍兴县公署，建立伪警察、伪自卫团；推行保甲、良民证、奴化教育，强征粮食丝绸资敌，镇压城郊抗日活动。,战后逮捕，汉奸罪重刑。
俞松如,伪绍兴县警察局局长,绍兴越城,网罗地痞组建侦缉队，城内大肆搜捕地下抗日人员，酷刑审讯爱国志士，推行宵禁。,抗战胜利后公审伏法。
潘文驹,伪驹邦部队司令,绍兴‑嵊县,与黄阿宝合伙投敌，“驹邦部队” 伪军盘踞绍嵊山区，袭扰游击武装，劫掠乡镇，祸害绍北水乡抖音百科。,部队溃散，本人被捕获处决。
周正,伪嵊县（嵊州）县长,嵊县县城,原城西镇长，沦陷后出任伪县长，改组维持会为伪县政府；设立小岛特务部队，大肆搜捕，推行保甲奴化统治中共嵊州市...。,抗战胜利后汉奸审判枪决。
金福荣,嵊县甘霖维持会会长,嵊县甘霖据点,沦陷初期维持会头目，为日军征粮派夫，配合据点日军管控甘霖周边乡镇。,抗战胜利后清算判刑。
徐翻译（佚名）,嵊县日军据点翻译特务,嵊县甘霖,日军翻译，助纣为虐，多次告密抓捕爱国群众，民愤极大。,被抗日志士设计锄奸处决。
楼信源,伪诸暨牌头区伪区长,诸暨牌头,诸南铁杆汉奸，勾结青帮势力，抓捕缴械越山乡抗日自卫队，迫害金萧支队地方人员。,金萧支队锄奸处决。
张楚英,伪上虞县县长,上虞丰惠、百官,上虞伪政权主官，组建伪县公署与保安队，配合日军扫荡虞北平原，搜刮粮食蚕丝。,抗战胜利后汉奸审判判处重刑。
朱兆槐,伪上虞维持会会长,上虞百官,上虞沦陷牵头组建维持会，胁迫商户出钱出物资敌，拉拢乡绅附逆。,战后逮捕判刑。
吕桂生,伪上虞伪警察大队长,上虞全境,伪武装头目，带队下乡搜捕地下党、抗日群众，多次配合日军扫荡虞北。,公审枪决。
陈叔达,伪新昌县县长,新昌县城,新昌伪县政府首任县长，改组维持会，设立乡镇伪公所，强征民夫物资，推行奴化宣传今日新昌数...。,抗战胜利后汉奸审判惩处。
吴云生,新昌伪治安委员会骨干,新昌城区,维持会核心成员，协助伪县长管控市面，为日军搜集物资，告密乡间抗日动态今日新昌数...。,汉奸清算判处有期徒刑。
方志国,嵊县长乐据点特务爪牙,嵊县长乐,仗日军势力敲诈商户，祸害妇女，作恶多端。,被地方武装秘密处决。
