县份,姓名,籍贯,伪职及主要罪行,结局
邯郸县（邯郸市区）,王曼卿,邯郸,邯郸治安维持会会长、第一任伪邯郸县县长；组建伪县公署，推行保甲连坐，为日军征粮征夫，搭建各级伪组织。,抗战胜利逮捕，判无期徒刑，狱中病死
,王冠英,不详,后期伪冀南道道尹，冀南道最高伪行政长官；日降后勾结郭采芹固守邯郸，改换国民党番号继续反共。,1945 邯郸解放被俘，公审处决
,郭采芹,邯郸贾村,伪邯郸商会会长、冀南剿共军教导司令；搜刮粮棉资敌，训练伪军，指挥扫荡，杀害大量县区干部。,邯郸解放被俘，公审枪决
,郭化民,邯郸贾村,伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞城乡据点，扫荡紫山游击区，破坏地下交通线。,潜逃北平，1950 抓捕押回邯郸枪决
,李积玉,邯郸,伪宪兵特务队 “灭共组” 头目；搜捕地下党员、交通员，酷刑杀害多名抗日干部群众。,解放后公审枪决
,周瑞符,不详,伪邯郸警备联队联队长，伪军军事主官；下辖 9 个中队 700 余人，配合日军清乡扫荡。,邯郸解放被俘，判处死刑
,王秉孝,不详,末代伪邯郸县县长；配合王冠英加固城防，强征粮草民夫。,邯郸解放被俘，判处长期徒刑
,卢万寿,邯郸,伪邯郸警察所长；配合特务抓捕抗日人员，参与插箭岭屠杀干部事件。,镇反公审处决
永年县,许铁英（铁磨头）,永年,土匪投敌，伪铁血团司令；残害抗日军民数百；日降后被国民党收编固守广府城。,1947 永年突围战斗被击毙
,王泽民,永年,伪永年保安司令；与许铁英盘踞广府，抓捕迫害抗日家属；日降后改编国民党保安纵队。,城破逃窜，后抓获处决
,杨异才,永年,原我方抗日县长，叛变投敌任伪永年县县长；出卖组织人员名单祸害根据地。,1945 城破畏罪跳井自杀
磁县（含彭城）,黄希文,不详,伪磁县县长（知事）；精通日语，推行奴化教育，掠夺彭城陶瓷资源，组织伪警备队扫荡磁西山区。,抗战胜利逮捕，判处长期监禁
,张致和,磁县,伪磁县警备大队长；伪军主力，驻守磁县城、观台、彭城，多次扫荡西部山区。,磁县解放被俘，公审枪决
,肖万顺,磁县彭城,伪彭城警察分局长；抓捕工人抗日分子，敲诈窑厂商户，告密堡垒户。,镇反清算处决
肥乡县,程守正,不详,伪肥乡县县长；推行保甲，强征粮款，配合日军扫荡肥乡根据地。,战后汉奸罪判处徒刑
,李逢春,肥乡,伪肥乡警备大队长；多次下乡清乡，抓捕抗日干部。,肥乡解放被俘，判处死刑
成安县,刘昆峰,成安,伪成安县县长；成安惨案之后接管伪政权，协助日军维持占领，搜刮物资。,抗战胜利逮捕判刑
,张梦符,成安,伪成安警备队长；带领伪军袭扰周边村庄，迫害抗日家属。,1945 成安解放被俘处决
曲周县,肖根山,不详,伪曲周警备大队队长；作恶多端，配合日伪扫荡冀南根据地。,邯郸解放战役被俘，公审判处死刑
,李锡三,曲周,伪曲周县县长；执行治安强化运动，抓丁征粮，搜捕地下交通人员。,战后判处长期徒刑
鸡泽县,赵天绪,鸡泽,代理伪鸡泽县长；带领伪军外出接新任县长，沿途摊派掠夺物资。,1939 被鸡泽县大队伏击，被俘后判刑
