姓名,籍贯,伪职,主要罪行,结局
熙洽,沈阳（满族）,伪吉林省首任长官、伪财政部大臣,九一八主动放弃吉林防务，开城投降日军；组建伪吉林省长官公署，宣布脱离国民政府；参与伪满建国；指挥伪军围剿吉林各地义勇军、抗联，推行集团部落，疯狂掠夺资源抖音百科。,苏军逮捕，关押，1952 年哈尔滨战犯管理所病死。
李铭书,吉林,伪吉林省秘书长、第二任伪吉林省省长,熙洽核心副手；主持吉林省伪行政，推行保甲、粮食出荷，强征国兵劳工，镇压吉林抗日武装。,日本投降后被苏军逮捕，关押抚顺战犯管理所，狱中病死。
阎传绂,辽宁海城,伪吉林省第三任省长、伪司法部大臣,主持吉林殖民统治；后调伪满中央，执掌伪司法，大量判处 “国事犯”，迫害爱国志士。,苏军逮捕，抚顺战犯管理所，后期特赦释放。
徐家桓,吉林永吉,伪吉林省末代省长（永吉本地人）,伪满末期吉林省华人最高长官；执行战时物资搜刮，强征劳工粮食；八一五后组建吉林治安维持会，妄图完整保留伪政权等待国民党接收。,被苏军逮捕，关押抚顺战犯管理所，后特赦。
吉兴,吉林（满族）,伪第二军管区司令官（吉林），伪满上将,原东北军，投敌；统领吉林全省伪军，在磐石、桦甸、蛟河、舒兰大规模讨伐抗联，制造集团部落，双手沾满抗联鲜血；后升任伪满尚书府大臣抖音百科。,苏军逮捕，抚顺战犯管理所，1961 年特赦。
于琛澂,黑龙江,伪吉林省剿匪司令、伪满上将,吉林伪军头号头目；多次大规模进攻吉林义勇军，对磐石、桦甸抗联根据地反复扫荡，烧杀村镇。,1943 年病死。
郭恩霖,吉林,伪吉林省军政厅厅长、伪满中将,辅佐熙洽，整编吉林伪军，指挥讨伐义勇军与抗联。,苏军逮捕，关押抚顺战犯管理所，狱中病死。
孙其昌,吉林,伪吉林省财政厅厅长、伪满民生部大臣,主管吉林财政，搜刮粮食财税；后入伪满中央，参与经济掠夺。,1951 年北京逮捕，1954 年被处决。
荣孟枚,吉林,伪吉林省教育厅厅长,文人附逆，在吉林推行奴化教育，清洗爱国师生。,抗战胜利后被逮捕判刑。
张燕卿,河北南皮（张之洞之子）,伪吉林省实业厅厅长,投靠熙洽，接管吉林工矿，配合日本掠夺矿产资源，参与伪满建国。,日本投降后被捕，关押北平监狱，1951 年病死狱中。
修长余,不详,伪吉林省警务处处长,掌管吉林全省伪警察系统，指挥特务密探，大肆搜捕地下党、抗联关系与爱国群众。,光复后逮捕，汉奸罪重判。
齐知政,不详,伪吉林省警备司令,指挥吉林伪警备武装，配合日军镇压吉林城乡抗日运动。,苏军逮捕，抚顺战犯管理所，后期特赦。
谢介石,台湾新竹,伪吉林省交涉署署长、伪满外交部大臣,台湾籍，早期投靠熙洽，参与伪满外交，出卖国家利益。,1946 年被捕，病死狱中。
关锡廉,不详,伪永吉县（吉林市）县长,伪吉林县主官，推行保甲，强征劳工，镇压城郊抗日活动。,抗战胜利逮捕，汉奸罪判刑。
张书翰,不详,伪磐石县县长,磐石是抗联诞生地；推行集团部落，拆房归屯，疯狂搜捕抗联地下组织，迫害抗联家属。,解放后公审判处重刑。
刘寿天,不详,伪桦甸县县长,桦甸为抗联重要游击区；配合日伪大讨伐，强征粮食劳工。,战后汉奸罪判刑。
赵书纬,不详,伪蛟河县县长,管控长白山边缘，搜捕抗联交通线，推行集团部落。,光复后逮捕判刑。
王作舟,不详,伪舒兰县县长,舒兰山区讨伐抗联，强征物资，迫害爱国群众。,解放后逮捕惩处。
吕继虞,不详,伪敦化县县长,敦化地处延边，配合日伪讨伐抗联，强征开拓团土地。,战后汉奸罪判刑。
佟衡,吉林,伪第二军管区参谋长，伪军少将,协助吉兴策划对吉林抗联的多次大讨伐。,苏军逮捕，抚顺战犯管理所，后期特赦。
王振东,吉林市,伪吉林警察厅特务科头目,领导华人密探网络，在吉林、磐石、桦甸到处抓捕抗日人员，刑讯逼供。,吉林解放后公审枪决。
王荆山,吉林,伪吉林总商会会长,吉林大商人，附逆日伪；为日军筹措军需物资，摊派报国捐，盘剥工商百姓。,反奸清算，没收财产，判处徒刑。
