姓名,籍贯,伪职,主要罪行,结局
凌印清,辽宁海城,伪 “东北民众自卫军” 总司令，司令部驻盘山沙岭镇,九一八被日军重金收买，在沙岭设立伪军总司令部；招降土匪地痞，策反义勇军，企图进攻锦州，充当日军侵辽西先锋，劫掠辽西村镇抖音百科。,1931‑11‑03 被张海天、项青山义勇军生擒，沙岭公审枪决党史学习教...。
王槐三,不详,凌印清伪部参谋长,辅佐凌印清招匪扩军，拉拢地方武装，替日军策反义勇军头目。,同案沙岭公审枪决。
冯仙洲,不详,凌印清伪部参谋,为伪军出谋划策，四处游说收编地方武装。,同案公审枪决人民政协网。
孙咸熙,浙江,伪盘山县第一任县长（1932‑1933）,组建盘山县伪公署，配合日本参事官，推行保甲，强征粮饷，对抗义勇军进攻县城，向伪省求援调兵镇压抗日武装。,抗战胜利后以汉奸罪逮捕判刑。
李端凝,辽中,伪盘山县第二任县长（1933‑）,推行保甲连坐，强征劳工粮食，围剿辽西义勇军；为被打死的日伪军修建 “忠魂碑”，美化日伪统治。,抗战胜利逮捕，汉奸罪判刑。
王在邦,不详,伪盘山县县长,执行伪满战时物资出荷，搜刮粮食，强征国兵与劳工。,光复后逮捕判刑。
高振武,不详,伪盘山县县长,强化户口管控，配合日伪治安肃正。,战后汉奸罪惩处。
刘绪宗,不详,伪盘山县县长,盘山县伪主官，压榨城乡百姓。,光复后逮捕判刑。
盖文化,不详,伪盘山县县长,伪满后期盘山县主官，执行战时掠夺政策。,日本投降后被捕判刑。
张升臣,不详,伪盘山县末代县长,伪满末期维持伪政权。,八一五后被民主政府逮捕。
杨宝衡,盘山,伪盘山县商会会长，天庆隆商号老板,巴结日本官吏，把商号房屋献给日本官员；垄断粮食配给与 “出荷粮”，盘剥商民；日本投降后勾结土匪张海峰参加 11・19 反革命叛乱，进攻民主政权。,叛乱失败后被公审处决。
胡筱瑷,大洼三道沟,伪盘山县内务局局长,伪县公署华人实权官员，协助日本参事官处理全县行政，摊派苛捐杂税，办理劳工、开拓团土地掠夺。,解放后逮捕，汉奸罪重判。
张海峰,盘山甜水,伪甜水村村长，地方土匪头目,出任伪村长，为日伪搜集情报、摊派物资；光复后收拢伪警土匪，参加 11・19 武装叛乱，杀害革命干部群众。,叛乱被粉碎后公审枪决。
杨子新,盘山,伪满少将旅长，盘山伪军头目,驻守盘山，指挥伪军维持地方治安，镇压抗日力量；日本投降后收拢伪满武装对抗民主政府。,1945 盘山解放后逮捕审判。
阚朝玺,盘山（盘山县）,伪满中央银行总裁、伪满参议府参议,盘山籍奉系旧军阀；九一八投敌，主管伪满金融，配合日本经济掠夺东北资源。主要任职沈阳长春，不在盘山本地履职。,1951 镇反时期沈阳公审枪决。
