姓名,伪职 / 身份,活动地区,核心罪行,最终结局
任凤昌,芜湖维持会首任会长,芜湖老城区,引狼入室，带日军从竹丝港开进芜湖，制造城内大屠杀；组建最早伪维持会，搜刮财物，强征粮草资敌。,解放后公审镇压处决。
朱道玉,维持会骨干,芜湖城区,跟随任凤昌出城迎接日军，充当爪牙，协助胁迫商户开市，盘查市民。,战后汉奸审判伏法。
朱绣封（朱祖圻）,伪芜湖自治会会长、汪伪芜湖首任县长,芜湖全县,北洋旧官僚，接替任凤昌；搭建完整伪县公署，推行保甲良民证，为日军征集粮秣；史料记载私下曾少量掩护我方人员，但总体附逆资敌中国人民政...。,抗战胜利后逮捕判刑。
宋介湄,伪自治会副会长,芜湖城关,辅佐朱绣封，联络士绅，管控城区坊保体系，摊派苛捐杂税。,肃奸运动判处有期徒刑。
胡延禧,汪伪芜湖县政府第二任县长,芜湖,汪伪正式建制后的县长，配合日军开展皖南清乡，扩充伪保安武装，破坏城郊抗日游击活动。,抗战胜利后逮捕法办。
蔡羹舜,汪伪芜湖县长、清乡督察专员,芜湖,主持芜湖清乡，设立清乡机构，清查户口、物资封锁，围剿皖南抗日力量。,战后汉奸审判重刑。
叶雪松,汪伪芜湖县长,芜湖,接续主持伪政务，强化城乡伪保甲，管控长江码头航运。,抗战胜利后逮捕判刑。
魏曙东,汪伪末代芜湖县长,芜湖,日军投降前最后一任伪县长，维持日伪统治直至投降。,1945 年肃奸被捕惩处。
潘元恺（庞道生）,汪伪特工芜湖站（十一号）站长,芜湖西内街 11 号,“芜湖十一号” 特务头子，皖南特务最高头目；下设情报、侦行、警卫，在湾沚、荻港、当涂广布分站，大肆抓捕、刑讯爱国军民，制造大量血案中国人民政...。,抗战胜利后捕获处决。
王玉华,汪伪特工总部安徽区区长,芜湖,接管芜湖特工站，统管皖江南北特务网络，指挥搜捕地下党组织、抗日干部中国人民政...。,战后审判伏法。
郭梦龄,特工安徽区副区长,芜湖,王玉华副手，主持特务行动，策反我方人员，敲诈商户。,汉奸审判判处死刑。
刘子敬,伪芜湖县保安大队大队长,芜湖城乡,原日军翻译，精通日语；统辖十个中队伪军，分驻鲁港、方村、清水河等据点，横行乡里，赌博抽头、勒索百姓，多次配合日军扫荡游击区政协芜湖市...。,被日军特务机关免职，战后清算惩处。
高云阶,继任伪保安大队长,芜湖,接替刘子敬，继续掌控地方伪军武装，勾结青红帮，压榨四乡百姓政协芜湖市...。,抗战胜利后逮捕判刑。
鲍佐丞,伪芜湖警察局局长,芜湖城内,执掌伪警察，组建侦缉队；日军投降初期，还借名义敲诈富商，民愤极大。,商人联名控告，后被法办。
姬少庭,伪花捐局头目、慰安所经营者,芜湖城区,经营凤宜楼慰安所，四处强掳妇女，开设花捐局盘剥娼业，搜刮钱财资敌。,1951 年军事法庭公审枪决。
余石坪,伪县府民政科长,芜湖,主管伪民政、保甲户籍，办理良民证，任免伪区乡长中国人民政...。,战后附逆判刑。
陶惜分,伪县府财政科长,芜湖,经济汉奸，掌管伪财政，征收各类捐税，搜刮粮食、物资供给日军中国人民政...。,汉奸清算有期徒刑。
鲍宇门,伪县府教育科长,芜湖,推行奴化教育，强令中小学日语教学，查禁爱国书刊教材中国人民政...。,肃奸判刑。
汪子东,伪县府建设科长,芜湖,强征民夫，为日军修公路、碉堡、码头工事中国人民政...。,战后逮捕惩处。
张世安,湾沚伪自治会会长,湾沚（旧属芜湖县）,湾沚沦陷组建维持自治会，征粮派夫，协助日军控制宣芜交通要道。,抗战胜利后公审处决。
黄宗南,伪保安一中队中队长,芜湖城内,伪军主力，驻守伪县政府鼓楼，维护城区伪统治，下乡参与扫荡。,战后被俘惩处。
王春山,伪保安二中队中队长,芜湖南乡,驻防芜湖南乡据点，劫掠乡村，搜捕游击人员。,伪军溃散后捕获法办。
乐秀华,伪保安三中队中队长,芜湖北乡,盘踞万春圩北乡，骚扰乡间百姓，配合日军清剿。,抗战胜利后清算。
凌顺棋,原国军，投敌伪中队长,芜湖,国民党地方武装叛变投伪，扩充伪保安大队兵力，袭击抗日武装。,日军投降后被国民党收编，后被清算。
陶干东,投敌伪中队长,芜湖,随凌顺棋投降日伪，驻守乡镇据点，残害地方群众。,战后审判判刑。
水从伟,投敌伪中队长,芜湖,原芜湖县常备队，叛变附逆，跟随伪军下乡扫荡。,抗战胜利后逮捕法办。
壮耀明,汪伪芜湖特工侦行股股长,芜湖,特务行动头目，带队抓捕、绑架爱国人士，实施酷刑迫害中国人民政...。,战后伏法。
管巨川,特工情报股股长,芜湖,专门搜集皖江根据地、新四军军事情报，向日军传递。,汉奸审判处决。
惠锡良,特工警卫队队长,芜湖,特务武装头目，负责看守被捕人员，参与特务抓捕行动中国人民政...。,肃奸运动镇压。
