姓名,籍贯,伪职,主要罪行,结局
王兴义,不详,伪阜新市华人副市长,伪市公署华人最高职位；协助日本市长推行保甲制度、强征劳工、物资统制，配合对煤矿工人镇压。日本投降后参与组建阜新治安维持会，维持伪残余势力等待国民党接收央视网新闻...。,解放后以汉奸罪逮捕判刑。
徐谦德,不详,伪阜新市末代华人副市长,伪满末期执行战时搜刮政策，管控城市户口、劳工摊派；八一五后加入治安维持会，留用伪官吏伪警察央视网新闻...。,光复后逮捕，汉奸罪重判。
黄千里（中江千里）,朝鲜籍,伪阜新市副市长（朝鲜人）,协助日本市长管理市政，强征劳工，参与治安维持会，任维持会委员长新华网。,被 “黑八路” 逮捕，后民主政府审判惩处。
刘海轩,阜新新邱,煤矿大资本家，满铁代理人,九一八之前就投靠日本；把大量矿区低价卖给日本大新、大兴公司，帮助日本攫取阜新煤田；充当日本在阜新地方的代理人，压榨矿工，勾结日伪势力。,建国前病死，部分家产被没收。
孙立瀛,阜新,伪阜新炭矿劳务课课长,掌管煤矿劳工，抓捕管控 “特殊工人” 战俘劳工；日本投降后组建阜新炭矿护卫大队四百余人，准备迎接国民党接收，把持煤矿要害部门新华网。,被民主政府逮捕，汉奸罪判刑。
赵福堂,阜新,阜新炭矿翻译兼特务头目,充当日军翻译，领导 17 名华人特务；在海州、新邱、太平、孙家湾各矿区侦查、抓捕反日矿工，刑讯迫害爱国工人，告密抓人。,解放后矿区公审枪决。
田子明,阜新太平矿,太平采炭所大把头,依附日伪，压榨矿工；日本投降后收拢 700 余人，组建冒充八路军的 “黑八路”，抢夺维持会权力，妄图投靠国民党，残害群众新华网。,败露后潜逃，后抓捕归案惩处。
张勤祥,阜新孙家湾矿,煤矿大把头,为日伪管理劳工，挑选大批矿工强押送往日本本土做苦工，绝大多数人没能生还；打骂迫害反抗矿工，血债累累。,1951 年矿区公审大会枪决。
王文,阜新蒙古族地区,蒙奸大地主，伪地方头目,投靠日伪，欺压蒙汉百姓；日本投降后勾结国民党残余，在平安地一带策反破坏，迫害革命群众。,群众公审枪决。
吕梦龄,不详,伪阜新县县长,主持阜新县伪公署，推行集团部落、保甲连坐，强征粮食、国兵、劳工，镇压辽西抗日义勇军。,抗战胜利逮捕，汉奸罪判刑。
于景涛,不详,伪彰武县县长,彰武伪主官，管控彰武全境，配合日伪讨伐辽西义勇军，强征物资。,解放后逮捕判刑。
韩绍先,不详,伪土默特左旗旗长,蒙旗伪最高长官，执行日伪蒙汉分治政策，拉拢蒙古上层，搜刮牲畜粮食，镇压地方反抗。,光复后逮捕判刑。
贾春生,海城,伪阜新铁道警护队巡警（华人）,投靠日伪，沿铁道线侦查抓捕抗日人员，参与讨伐抗日武装。,执行任务时被抗日武装击毙。
