姓名,籍贯,伪职,主要罪行,结局
袁金铠,辽阳山岳铺,伪奉天维持会委员长、伪满尚书府大臣、参议府参议,九一八牵头组建奉天维持会，协助日军接管辽沈，参与策划伪满洲国，推行保甲，镇压东北反日力量，辽阳本地广置田产。主要任职沈阳、长春，非辽阳本地履职抖音百科。,1945 年被列为大汉奸，家产抄没，1947 年病死辽阳，逃脱审判人民网文化...。
于冲汉,辽阳,伪奉天自治指导部部长、伪满监察院院长,九一八投敌，建立自治指导部，培训东北各地伪官吏；与日本合办弓长岭等铁矿，掠夺矿山资源；炮制伪满建国理论。主要任职沈阳抖音百科。,1932 年病死大连，逃脱审判抖音百科。
于静远,辽阳，于冲汉长子,伪满自治指导部训练处长、伪满经济部大臣,继承其父亲日立场，培训伪官吏，主持伪满经济掠夺，管控工矿粮食。,苏军逮捕，抚顺战犯管理所关押，后特赦释放。
韦焕章,辽阳灯塔沈旦堡,伪满外交部大臣、伪奉天省省长,辽阳本土出身，伪满高官；参与对日外交，签订日满华共同宣言，推行奴化教育、经济掠夺。主要任职长春、沈阳。,苏军逮捕，关押抚顺战犯管理所，狱中病逝。
富双英,辽阳,汪伪军事参议院副院长、参军处中将参军,辽阳籍奉系将领，抗战投汪伪，掌管伪军编练。,1952 年以汉奸罪处决。
杨显青,不详,伪辽阳县首任县长,九一八后投敌，组建辽阳县伪公署；推行保甲连坐，配合日军围剿辽阳、吉洞峪一带抗日义勇军，强征粮食、劳工。,抗战胜利逮捕，汉奸罪判刑。
申麟书,不详,伪辽阳县警察大队长,指挥伪警察大队，配合日本守备队进山清剿辽南义勇军，抓捕爱国群众，多次参与进山讨伐。,解放后镇反公审处决中国军网。
李香阁,辽阳大安平伪警察署长,铁杆汉奸；拒绝马兴周劝降，死心效忠日军；大肆搜捕义勇军人员及其家属，刑讯迫害被捕群众。,被抗日武装设计锄奸处决中国军网。,
马茂阶,辽阳大安平,伪辽阳地方事务所所长,被日军胁迫利诱出任伪职，协助日伪管控地方，搜集民间情报，配合治安肃正。,抗战胜利后逮捕判刑。
王辅臣,辽阳,伪辽阳县警务科长,掌管全县伪警察特务系统，在隆昌、吉洞峪、河栏一带推行集团部落，拆民房并屯，迫害抗联交通员与家属。,解放后公审枪决。
张英楼,辽阳三区民团练长（伪地方武装头目）,投靠日伪，带领团练配合日伪讨伐义勇军，残害乡里。,被义勇军击毙。,
张景涛,辽阳,伪辽阳总商会会长,为日军摊派报国捐、筹措军需物资，搜刮商民，配合日伪经济统制。,反奸清算，没收财产，判处徒刑。
孙其昌,辽阳,伪满民政部大臣、伪滨江省省长,辽阳籍，伪满中央高官，执行日本殖民政策，经济掠夺。,被俘关押抚顺战犯管理所，后病死。
