name,title,source,courtesy_name,pseudonym,birth_year,birth_year_type,death_year,death_year_type,native_place,hometown_province,hometown_city,hometown_county,town,village,source_area,period,faction,summary,crimes,fate,residence_changes,harm_level,harm_name,harm_desc,period_raw,period_note,period_start,period_end,merged_count
傅筱庵,伪上海特别市市长,hanjian,,,,,,,浙江宁波镇海；上海；广西浙江宁波镇海；江西九江；湖南_衡阳_衡阳高；贵州贵阳；重庆_万州；山西太原示范；陕西渭南；云南普洱西；陕西_西安_长安,浙江,宁波,镇海,,,上海_嘉定；上海_徐汇；上海_普陀；上海_杨浦；上海_松江；上海_浦东；上海_虹口；上海_金山；上海_闵行；上海_青浦；上海_静安；上海_黄浦；广西_桂林_永福；广西_桂林_灵川；江西_九江；江西_九江_庐山；江西_九江_濂溪；江西_赣州_兴国；浙江_丽水_庆元；浙江_温州_瓯海；浙江_绍兴_嵊州；浙江_金华_婺城；湖南_怀化_靖州；湖南_衡阳_衡阳高；贵州_贵阳_息烽；重庆_万州；陕西_咸阳_秦都；陕西_渭南_华州；陕西_西安_蓝田；陕西_西安_长安,1938-1940,,,投靠日军，出任伪上海市长，协助日伪统治上海，镇压抗日活动；曾任伪上海市长，在徐汇区有官邸活动，协助日军推行殖民统治，普陀地区归其管辖，配合日军经济掠夺和治安维持。为日军统治上海服务，其活动范围涉及杨浦区（原公共租界东区及华界）；协助日伪统治上海，镇压抗日活动，原中国通商银行董事长，为日军征粮征税，管辖包括闵行在内的上海地区，推行日伪统治政策，征收苛捐杂税，压制民众反抗。；投靠日军，管辖包括青浦在内的上海地区，为日军提供物资和情报，积极推行日伪政权政策，镇压抗日活动，后因投敌被军统刺杀于静安住宅。协助日军维持占领区秩序，镇压抗日活动，征收苛捐杂税，为日军提供物资支持。属汪伪体系，其伪政权与华南伪政权有联系。；原上海总商会会长，1938年投敌出任伪上海特别市市长；浙江镇海人，长期在上海活动，镇压抗日力量，1940年被军统策反的仆人刺杀。虽非九江籍，但属江西周边省份及长江下游伪政权体系中的知名汉奸。早年在江西九江、庐山一带经营实业并参与地方事务，配合日军在华中包括江西九江地区的经济掠夺与物资统制，其伪政权体系与九江伪维持会有联系。协助日军控制上海及周边地区，包括浙江部分地区。；浙江镇海人，早年在上海经商，抗战期间投靠日军，1940年被军统策反的仆人刺杀。1940年被军统策反的仆人刺杀。配合日军统治，其伪政权与华中各地伪组织有联系，间接影响湖南。属汪伪体系。；其伪政权与贵州部分商会勾结，通过贵阳口岸进行物资资敌活动。其附逆行为对全国包括陕西有示范影响，配合日军在华东及华北包括陕西周边地区进行统治，配合日军在华东及华北包括陕西周边地区进行殖民统治。,被锄奸,,A,甲级,特别市市长,1938-1940；1938-1940年；1938年—1940年,,1938,1940,31
陈公博,伪上海市长（汪伪政权）,hanjian,,,,,,,上海_嘉定；上海_松江,,,,,,上海_嘉定；上海_松江,1940-1944,,,汪精卫政权核心人物，曾任伪上海市长，推行清乡和奴化政策，协助日军控制上海。；汪精卫政权核心人物，曾任伪上海市长，推行“清乡”政策，协助日军搜刮物资，迫害抗日人士。,未知,,A,甲级,核心城市市长/省部级,1940-1944,,1940,1944,2
周佛海,伪行政院副院长兼伪上海市长,hanjian,,,,,,,浙江宁波余姚；上海_嘉定；上海杨浦；上海_松江,浙江,宁波,余姚,,,上海_嘉定；上海_杨浦；上海_松江；浙江_宁波_余姚,1940-1945,,,汪伪政权要员，兼任伪上海市长，主持上海日伪政务，参与经济掠夺和特务活动。；汪伪政权核心人物，后期主持上海政务，控制包括杨浦在内的沪东地区，镇压抗日力量。；汪伪政权要员，兼任伪上海市长，控制上海金融与特务机构，参与对抗日力量的镇压。；虽非余姚人，但曾在余姚活动，作为汪伪政权核心人物，协助日军统治浙江地区，推行清乡政策。,未知,,A,甲级,省部级/大军区级要员,1944-1945；1944-1945年；1940-1945,,1940,1945,4
丁默邨,伪浙江省长（曾活动于上海）,hanjian,,,,,,,上海_嘉定,,,,,,上海_嘉定,1939-1945,,,原军统特务，投日后任汪伪特工总部主任，在上海制造多起暗杀和恐怖事件，后任伪浙江省长。,未知,,A,甲级,省部级/大军区级要员,1939-1945,,1939,1945,1
李士群,伪特工总部（76号）主任,hanjian,,,,,,,上海_嘉定；上海杨浦；上海静安；上海黄浦；浙江宁波,,,,,,上海_嘉定；上海_杨浦；上海_静安；上海_黄浦；浙江_宁波_宁海,1939-1943,,,投靠日本，组建上海极司菲尔路76号特工机构，残害抗日志士，制造血案，后因内讧被毒杀。；汪伪特务头子，其特工在杨浦地区（如平凉路、杨树浦路）设立秘密据点，暗杀、绑架抗日志士。；其特工总部设在静安附近，指挥暗杀、绑架抗日人士，制造多起血案，是汪伪特务头目。；在黄浦区极司菲尔路76号设立特工总部，指挥暗杀、绑架抗日志士，制造多起血案，是日军在沪恐怖统治的重要工具。；虽为江苏人，但曾在宁波、宁海地区活动，指挥76号特工在浙东地区破坏地下抗日组织，逮捕杀害多名爱国人士。,被毒杀,,A,甲级,特工总部主任,1939-1943；1939-1943年,,1939,1943,5
吴四宝,伪76号特工总部警卫队长,hanjian,,,,,,,上海嘉定,上海,嘉定,,,,上海_嘉定,1939-1942,,,李士群手下打手，在上海横行霸道，参与绑架、暗杀和敲诈，恶名昭彰。,未知,,C,丙级,基层头目,1939-1942,,1939,1942,1
潘达,伪嘉定县知事,hanjian,,,,,,,上海嘉定,上海,嘉定,,,,上海_嘉定,1938-1940,,,日军占领嘉定后出任伪县知事，协助日军维持治安、征粮征税，镇压当地抗日武装。,未知,,C,丙级,基层头目,1938-1940,,1938,1940,1
张北生,伪嘉定县知事（继任）,hanjian,,,,,,,上海嘉定,上海,嘉定,,,,上海_嘉定,1940-1943,,,继任伪嘉定县知事，推行保甲制度，配合日军清乡，强征民夫和物资。,未知,,C,丙级,基层头目,1940-1943,,1940,1943,1
陈福生,伪嘉定县警察局长,hanjian,,,,,,,上海嘉定,,,,,,上海_嘉定,1938-1945,,,担任伪嘉定警察局长，搜捕抗日分子，协助日军进行治安肃正，欺压百姓。,未知,,B,乙级,市县厅局级,1938-1945,,1938,1945,1
王伯群,伪嘉定区维持会会长,hanjian,,,,,,,上海嘉定,上海,嘉定,,,,上海_嘉定,1937-1938,,,日军占领嘉定初期，组织维持会，为日军提供粮食和情报，协助建立伪政权。,未知,,C,丙级,基层维持会/地方自治头目,1937-1938,,1937,1938,1
朱少屏,伪嘉定商会会长,hanjian,,,,,,,上海嘉定,上海,嘉定,,,,上海_嘉定,1938-1945,,,投靠日伪，任伪嘉定商会会长，为日军筹措军费，强迫商户缴纳“献金”。,未知,,C,丙级,基层头目,1938-1945,,1938,1945,1
陆鸿仪,伪嘉定教育督办,hanjian,,,,,,,上海嘉定,,,,,,上海_嘉定,1939-1945,,,主持伪嘉定教育事务，推行奴化教育，删改历史教材，强迫学生参加日伪庆典。,未知,,A,甲级,省部级/大军区级要员,1939-1945,,1939,1945,1
丁锡山,伪奉贤县知事,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1938-1941,,,投靠日军，任伪奉贤县知事，协助日军推行“清乡”政策，镇压抗日力量，强征粮税。,未知,,C,丙级,基层头目,1938-1941,,1938,1941,1
徐国桢,伪奉贤县保安大队长,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1939-1945,,,组织伪保安队，配合日军扫荡奉贤地区，捕杀抗日军民，参与“清乡”行动。,未知,,C,丙级,基层头目,1939-1945,,1939,1945,1
陈宝骅,伪奉贤县警察局长,hanjian,,,,,,,上海_奉贤,,,,,,上海_奉贤,1940-1945,,,任伪警察局长，搜捕抗日地下人员，破坏抗日组织，为日军提供情报。,未知,,B,乙级,市县厅局级,1940-1945,,1940,1945,1
王伯元,伪奉贤县财政科长,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1938-1943,,,为伪政权征收苛捐杂税，侵吞抗日物资，资助日军军费。,未知,,C,丙级,基层头目,1938-1943,,1938,1943,1
张阿六,伪奉贤县维持会会长,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1937-1939,,,日军占领初期出任维持会长，协助日军建立伪政权，强迫百姓“欢迎皇军”，提供劳役。,未知,,C,丙级,基层维持会/地方自治头目,1937-1939,,1937,1939,1
李士群,伪特工总部（76号）驻奉贤特派员,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1940-1943,,,在奉贤设立特务据点，诱捕抗日志士，策反国民党游击队，制造多起暗杀事件。,未知,,C,丙级,基层头目,1940-1943,,1940,1943,1
吴四宝,伪奉贤县“清乡”行动队队长,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1942-1944,,,率行动队配合日军“清乡”，焚烧村庄，屠杀无辜百姓，抢夺财物。,未知,,C,丙级,基层头目,1942-1944,,1942,1944,1
周佛海,伪中央税警总团驻奉贤指挥官,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1943-1945,,,指挥伪税警部队在奉贤沿海封锁抗日运输线，截留物资，协助日军控制港口。,未知,,C,丙级,基层头目,1943-1945,,1943,1945,1
梅思平,伪奉贤县教育督办,hanjian,,,,,,,上海_奉贤,,,,,,上海_奉贤,1941-1945,,,推行奴化教育，强制学校使用伪满教材，宣扬“中日亲善”，迫害爱国教师。,未知,,A,甲级,省部级/大军区级要员,1941-1945,,1941,1945,1
罗君强,伪奉贤县“和平救国军”司令,hanjian,,,,,,,上海奉贤,上海,奉贤,,,,上海_奉贤,1942-1945,,,收编散兵游勇组成伪军，协助日军“扫荡”，在奉贤东部地区烧杀抢掠。,未知,,C,丙级,基层头目,1942-1945,,1942,1945,1
张阿六,宝山地区伪保长,hanjian,,,,,,,上海宝山；黑龙江双鸭山宝山,上海,宝山,,,,上海_宝山,1937-1945,,,日军占领宝山后，出任伪保长，协助日军征粮、拉夫，迫害抗日群众，多次向日军报告抗日武装动向。,未知,,D,丁级,一般帮凶/基层人员,1937-1945年,,1937,1945,1
王金发,伪宝山县政府维持会会长,hanjian,,,,,,,上海宝山,上海,宝山,,,,上海_宝山,1938-1940,,,投靠日军，组织维持会，为日军筹款、提供物资，镇压抗日活动，强征民夫修筑工事。,未知,,C,丙级,基层维持会/地方自治头目,1938-1940年,,1938,1940,1
李阿毛,伪宝山保安队队长,hanjian,,,,,,,上海宝山,上海,宝山,,,,上海_宝山,1939-1945,,,率领伪保安队配合日军扫荡，抓捕抗日志士，抢劫百姓财物，民愤极大。,未知,,C,丙级,基层头目,1939-1945年,,1939,1945,1
陈福生,伪宝山警察局巡官,hanjian,,,,,,,上海宝山,上海,宝山,,,,上海_宝山,1940-1945,,,为日军充当耳目，侦缉抗日地下人员，多次带队搜查民宅，逮捕进步人士。,未知,,D,丁级,一般帮凶/基层人员,1940-1945年,,1940,1945,1
周阿狗,伪宝山税务所主任,hanjian,,,,,,,上海宝山,上海,宝山,,,,上海_宝山,1941-1945,,,为日军征收苛捐杂税，强征粮食，中饱私囊，导致当地百姓生活困苦。,未知,,C,丙级,基层头目,1941-1945年,,1941,1945,1
吴根生,伪宝山情报组组长,hanjian,,,,,,,上海宝山,上海,宝山,,,,上海_宝山,1942-1945,,,专门收集新四军及游击队情报，多次导致抗日武装遭袭，杀害多名抗日群众。,未知,,C,丙级,基层头目,1942-1945年,,1942,1945,1
沈阿三,伪宝山乡联防团长,hanjian,,,,,,,上海宝山,上海,宝山,,,,上海_宝山,1943-1945,,,组织乡联防团，配合日军清乡，烧毁村庄，强抓壮丁补充伪军。,未知,,C,丙级,基层头目,1943-1945年,,1943,1945,1
陈群,汪伪国民政府内政部长、江苏省长,hanjian,,,,,,,上海崇明；上海长宁；上海青浦；江苏_苏州_常熟,,,,,,上海_崇明；上海_长宁；上海_青浦；江苏_苏州_常熟,1938-1945,,,在崇明及上海地区推行汪伪政权统治，组织清乡，镇压抗日力量，征收苛捐杂税。；曾任汪伪政权要职，在长宁区愚园路一带活动，参与伪政权对上海的控制和镇压抗日力量。；曾任汪伪政权要职，参与清乡运动，镇压抗日力量，在青浦等地推行伪化统治。；曾任伪维新政府内政部长，后任汪伪江苏省长，在江苏推行伪化统治，协助日军清乡，镇压抗日力量。,未知,,A,甲级,省部级/大军区级要员,1938-1945,,1938,1945,4
