姓名,籍贯,伪任职务,结局
岑德广,广西西林,汪伪中央政治委员、赈务委员会委员长，桂籍最高级别汪伪大员，参与汪伪政权顶层策划,抗战胜利被捕，后潜逃香港，逃脱审判
黄子琪,广西荔浦,原国军，投敌任汪伪师长、黄卫军中将参谋长，在华中作战,抗战胜利被捕，判处徒刑
白坤公,广西桂林,桂林伪维持会（复兴处）处长，桂林沦陷傀儡头目，筹粮抓夫，日军企图推举其组建伪省府,抗战胜利公审枪决广西新闻网
赵鲁生,广西桂林,桂林伪维持会副处长，配合白坤公为日军服务,战后逮捕处决广西新闻网
刘植生（刘植森）,广西柳江,柳州维持总会会长，柳州沦陷后头号地方汉奸，设立民政财务机构，搜刮物资,抗战胜利公审枪决
廖炳钧,广西柳江,伪柳江县县长，撤销维持会后正式伪县长，组建伪公安局伪乡镇政权,抗战胜利判处死刑执行枪决
石补天,父桂林，母日籍,伪柳州市公安局长，掌管伪警察，抓捕残害抗日志士，滥施酷刑,柳州光复后公审枪决中共柳州市...
释法依,广西柳州,滨江镇伪维持分会会长，僧人附逆，搜集情报、抓捕百姓送给日军,战后公审处决
释春霖,广西柳州,水上维持分会会长，控制码头渡口，侦查抗日人员，带队下乡劫掠村庄,公审枪决
韦美廷,广西柳江百朋,百朋乡伪维持会长，组建便衣特务队，残害当地群众,抗战胜利公审处死
杨雄（杨丽章）,广西贵县（贵港）,伪贵县县长，设立伪县政府，设立良民证、赌场烟馆，强征粮夫，洗劫周边乡村,1950 年公审枪决
李吐英,广西贵县,汉奸武装 “太和团” 头目，武装依附日军，推荐杨雄出任伪县长，劫掠地方,被俘处决
高仲祺,广西桂平,伪桂平县维持会会长，下设多科室与伪警备队，桂平沦陷时期总傀儡头目,抗战胜利逮捕判处死刑广西壮族自...
刘伟仪,广西柳江拉堡,拉堡乡伪维持会长，为日军征粮带路，刺探游击队情报,战后公审处决
赖晋楷,广西柳江进德,进德乡伪维持会长，协助日军清乡，搜捕抗日人员,判处死刑执行枪决
廖国强,广西柳江成团大荣乡,大荣乡伪维持会长，管制乡村，摊派苛捐物资,战后逮捕处决
熊俊民,广西柳江成团,成团乡伪维持会长，为日军搜集粮食情报,公审枪决
廖志强,广西柳江穿山,穿山乡伪维持会长，勾结日军扫荡穿山一带游击区,审判后处死
