姓名,籍贯,伪任职务,结局
何佩瑢,湖北建始,伪湖北省首任省长，组建伪湖北省政府，搜刮物资、推行奴化统治,1942 年在湖北被日军毒杀，逃脱战后审判党史学习教...
杨揆一,湖北鹤峰,伪湖北省省长、省保安司令、武汉绥靖公署主任，主持湖北清乡，整编华中伪军,抗战后逮捕，1946 年南京雨花台枪决党史学习教...
叶蓬,湖北黄陂,伪末代湖北省省长、武汉绥靖公署主任，汪伪陆军将领，掌控武汉伪军,1945 年武汉被捕，押解南京执行死刑
张仁蠡,河北南皮（张之洞之子）,伪武汉特别市首任市长，后调伪天津特别市市长,抗战胜利被捕，判处无期徒刑，1951 年狱中去世湖北省人民...
石星川,湖北阳新,伪汉口市市长、伪湖北参议府议长、湘鄂赣财务委员会主任,初判死刑，改无期徒刑，1948 年病死于武昌狱中抖音百科
计国桢,上海,武汉治安维持会会长，武汉沦陷最早傀儡头目,抗战胜利逮捕，判处徒刑，狱中病逝
汪步青,湖北武汉,伪皇协军第 82 师师长，盘踞鄂中汉阳、沔阳，进攻新四军五师,1942 年部队被新四军重创，抗战胜利后被捕处决
邹平凡,湖北,汪伪第 29 军军长，武汉伪军主力，驻防汉口周边,日本投降投靠国民党，解放战争被俘
刘明夏,湖北京山,黄埔一期，中条山被俘投敌，伪汪伪师长，在鄂南活动,抗战胜利后以汉奸罪处决
雷寿荣,湖北武昌,伪武汉绥靖公署高级参谋，早期策反旧军人投敌,抗战胜利被捕，病死狱中
刘尔嘉,湖北,伪湖北省民政厅厅长，伪省府核心官僚，推行保甲连坐,1946 年武汉公审判处死刑执行枪决
王寿山,湖北,伪湖北省财政厅长，负责为日军横征暴敛粮食物资,镇反时期公审处决
李宝琏,东北,伪伪军 13 师师长，驻防鄂北随州、枣阳，多次扫荡根据地,抗战胜利被国民党收编，后被俘判刑
张耀宸,湖北黄冈,伪黄安县县长，组建伪保安队，残害根据地军民,1945 年收复后公审枪决
陈匡,湖北大冶,伪大冶县知事，协助日军掠夺大冶铁矿资源，强征劳工,1951 年公审处决
周黎,湖北沔阳,伪沔阳县维持会会长、伪县长，祸害襄南地区,抗战胜利公审枪决
