姓名,籍贯,主要伪职（扬州 / 江都）,结局
方小亭,扬州江都,江北自治会会长（沦陷首任傀儡），后任伪维新政府伪江都知事、汪伪伪江都县长；日军进城次日即出面组织维持，胁迫商户复业，征粮征夫，推行保甲连坐。,抗战胜利被捕，重刑监禁，病死狱中
周瑞,不详,汪伪第二任伪江都县长，接续方小亭，强化物资搜刮，管控运河航运物资。,战后汉奸罪判处长期徒刑
潘铁侯,不详,汪伪第三任伪江都县长，配合清乡，编组乡镇伪自卫团。,捕获判刑，关押服刑
王裕昆,不详,末代伪江都县长，直至日本投降。,1946 年江苏高等法院判处徒刑
吴孝侯,扬州,伪江都警察局局长，掌控伪警察系统；配合扬州特工站搜捕地下党员、爱国学生，两次遭抗日锄奸袭击侥幸未死。,战后逮捕入狱，病死狱中
张百奎,不详,汪伪扬州特工站站长（苏北特务分支），设立秘密监狱，抓捕刑讯大批抗日人员。,抗战胜利捕获，判处死刑枪决
周干臣,扬州,伪宪兵队翻译、情报组长，专门诱捕爱国学生、地下人员，充当日军耳目。,光复后公审枪决
孙良诚,天津,汪伪第二方面军总司令、苏北绥靖公署主任，公署驻扬州；重兵盘踞扬州、高邮、宝应一带，多次指挥伪军扫荡苏中抗日根据地。抗战胜利被国民党收编，解放战争被俘。,1951 年病死狱中
项致庄,浙江杭州,汪伪苏北绥靖公署主任（前期），驻扬州，统管苏北伪军，后调任伪浙江省长。,1946 年杭州枪决
熊育衡,不详,伪绥靖第七团司令，驻守扬州近郊，多次跟随日军下乡扫荡、抢掠乡村。,三垛河伏击战被新四军俘虏，后判刑关押
丁聚堂,泰州,伪 19 师师长，部队长期驻扎扬州、江都，配合日伪清乡封锁。,抗战胜利后被处决
贡锡九,扬州公道桥,伪公道乡乡长，为日伪征集粮款，泄露我方情报，屡劝不改。,甘泉抗日民主政府公审枪决
苗章甫,江都,伪自卫团团长，盘踞湖西公道桥一带，勾结日伪，残害地方抗日力量。,抗战胜利后审判处决
王晋斋,不详,伪二十四师副师长，绰号 “王老虎”，师部驻公道镇，频繁扫荡甘泉、湖西根据地，杀人众多。,抗战胜利后公审处死邗江史志网
李长江,南京,汪伪第一集团军总司令，总部前期驻泰州，部队经常进出扬州辖区，投敌之后多次进攻苏中根据地。1943 年赴扬州赴宴被日军下毒致终身瘫痪。,建国后病逝江西抖音百科
