姓名,籍贯,伪任职务,结局
江朝宗,安徽旌德,伪北平特别市首任市长，北平治安维持会会长,1943 年病亡，未受审判中国社会科...
潘毓桂,河北盐山,伪北平特别市市长、伪北平警察局局长,抗战后入狱，1961 年病死狱中
刘玉书,四川,伪北平特别市后期市长,抗战胜利 “鸿门宴” 被捕，判处徒刑，狱中病逝
王克敏,浙江杭州,伪华北临时政府委员长、华北政务委员会委员长，伪政权驻北平最高首脑,1945 年北平被捕，狱中服毒自杀
王揖唐,安徽合肥,伪华北政务委员会委员长，常驻北平，推行治安强化运动,1948 年北平以汉奸罪枪决抖音百科
王荫泰,山西汾阳,伪华北政务委员会末代委员长，驻北平,被捕判处徒刑，1961 年死于监狱
汪时璟,安徽旌德,伪华北政务委员会经济总署督办，伪中国联合准备银行总裁（北平）,1945 年鸿门宴被捕，判处无期徒刑，1952 年狱中死亡
齐燮元,河北宁河（今天津宁河）,伪华北治安总署督办、华北绥靖军总司令，总部设于北平，掌握华北伪军,1946 年南京军事法庭枪决
朱深,河北永清,伪华北政务委员会司法总署督办，北平伪政权核心,1943 年病死于北平，逃脱审判中国社会科...
周作人,浙江绍兴,伪华北政务委员会教育总署督办，北平文化汉奸，推行奴化教育,抗战后逮捕，判处 14 年徒刑，新中国成立后释放
管翼贤,湖北蕲春,伪华北《新民报》总编辑，北平头号新闻文化汉奸，大肆宣传日伪理论,初判无期，1951 年北京军管会判处死刑执行枪决
余晋龢（余晋和）,浙江绍兴,伪华北政务委员会建设总署督办，曾任伪北平警察局长,被捕入狱，1964 年病死于狱中
杜锡钧,河北河间,伪华北治安总署督办，接替齐燮元，伪军高官，常驻北平,1945 年北平被捕，判处徒刑，狱中死亡
董康,江苏武进,伪华北政务委员会司法委员会委员长，北平法学界附逆代表,被捕判刑，保外就医后病亡
