姓名,籍贯,伪任职务,结局
赵士桓（赵世恒）,海南文昌,伪琼崖临时政府主席，全盘伪行政首脑，推行保甲、良民证、奴化教育，统筹各县伪维持会建设抖音百科,抗战胜利被捕，判处死刑执行枪决
吴直夫,海南,伪琼崖临时政府副主席，伪政务委员会副委员长，伪政权二号文官，主管财税民政,战后捕获，公审死刑枪决
詹松年,海南文昌,伪琼崖民众自卫军总司令（伪军最高统帅，约 5000 伪军），伪临时政府第二副主席；留日背景，为日军劝降、带路扫荡抗日根据地抖音百科。日军投降后伪军被国民党收编为独立 13 旅；韩练成下令解除武装逮捕,1945 年被处决
毛镜澄,海南海口,海口治安维持会会长，海南最早傀儡头目，海口伪政权奠基人,抗战胜利公审枪决
李济民,不详,海口治安维持会秘书长，伪海口市府核心幕僚，负责对外联络士绅,战后逮捕，判处重刑，狱中病逝
谢若愚,海南琼山,琼山县伪维持会会长，府城地区伪头目，征粮抓夫、搜捕地下抗日人员,光复后公审处决
王昌贯,海南乐会（琼海）,乐会县治安维持总会会长，组建伪地方警卫队，配合日军清乡围剿琼崖纵队琼海市人民...,抗战胜利逮捕，判处死刑
董必安,海南昌江,昌江溪南伪维持会会长，组建伪军小分队，多次带队扫荡村庄，残害群众数十人海南省退役...,被琼崖抗日武装锄奸处决
麦兆丰,海南儋州,儋县海头伪维持分会会长，勾结伪警察姜氏四霸下乡劫掠、刺探情报党史学习教...,1939 年被抗日军民捕获处决
姜车,海南儋州,海头伪警察队长（姜氏四霸之首），伪武装骨干，烧杀抢掠祸害海头百姓党史学习教...,战斗中被抗日武装击毙
王沛熙,海南昌江,四更伪维持会第三任会长，给日军送情报，带队扫荡，作恶多端海南日报,抗日武装设伏将其当场击毙
翁祚炳,海南琼海,乐会伪维持会重要头目，管理地方伪警察武装，战后被捕判刑入狱,刑满释放，1949 年病逝
刘乙久,不详,儋县治安维持会秘书，儋州伪政权核心，协助日军掠夺盐矿物资,抗战胜利后审判处死
林曜李,不详,伪琼崖民众自卫军秘书长，詹松年主要副手，伪军文官头目,战后捕获，判处死刑枪决
黄自强,福建晋江,汪伪琼崖绥靖公署主任（汪伪名义派驻海南大员，实际权力有限）,日本战败逃往台湾，遭枪击身亡
