name,count
德穆楚克栋鲁普（德王）,15
金璧辉（川岛芳子）,4
马占山（非抗日将领马占山，同名汉奸）,4
高疤眼（高占奎）,3
李傻子（李际春）,3
李傻子（李振声）,3
李守信（另一同名者）,3
梁某（梁耀南）,3
刘子厚（刘锡九）,3
马占山（后期投日）,3
马占山（注：此人为同名伪职人员，非抗日将领）,3
王永江（伪职）,3
杨某（佚名）,3
张景惠（重复？不，另列）,3
张老八（张洛八）,3
张老梦（张梦九）,3
程某（程雪门）,2
郝鹏举（重复？不，另列）,2
李汉魂（附逆部下）,2
李某（佚名）,2
李守信（重复？不，另列）,2
林柏生（重复？不，已列）,2
刘桂堂（刘黑七）,2
马占山（变节时期）,2
马占山（伪职时期）,2
庞炳勋（重复？不，另列）,2
孙殿英（重复？不，另列）,2
孙良诚（重复？不，另列）,2
汪某（汪仲伊）,2
王荫泰（重复？不，另列）,2
吴化文（重复？不，另列）,2
杨某（名不详）,2
叶某（叶荫庭）,2
张景惠（重复？）,2
张老八（张振海）,2
赵某（佚名）,2
“独臂大盗”（真实姓名档案遗失）,1
（额济纳 5 名华人汉奸，档案只记绰号，无完整姓名）,1
（佚名）,1
阿拉坦鄂齐尔（阿王）,1
安陆伪政权头目（姓名待考）,1
安钦呼图克图（安钦活佛）,1
巴金保（达斡尔族）,1
白凤翔（白三阎王）,1
白凤翔（注：后反正，但初期投日）,1
蚌埠伪警察局局长（佚名，待考）,1
鲍文樾（重复？不，另列）,1
鲍文樾（重复？不，已列）,1
北海商会附逆商人（群体）,1
宾阳维持会某负责人（姓名待考）,1
蔡培（重复？不，已列）,1
蔡培（重复）,1
曹大中（重复？不，另列）,1
曹锟（晚年未投日，但旧部）,1
曹某（曹保长）,1
曹汝霖（重复？不，另列）,1
郴县伪警察所长（佚名）,1
郴州维持会会长（佚名）,1
陈彬和（重复？不，另列）,1
陈彬和（重复？不，已列）,1
陈彬和下属（具体姓名不详）,1
陈伯藩（重复？不，已列）,1
陈伯藩下属（具体姓名不详）,1
陈曾栻（重复？不，另列）,1
陈春圃（重复？不，已列）,1
陈德铭下属（具体姓名不详）,1
陈公博（广东活动）,1
陈公博（重复？不，已列）,1
陈公博（重复）,1
陈公博下属（具体姓名不详）,1
陈公哲下属（具体姓名不详）,1
陈恭澍下属（具体姓名不详）,1
陈光中（重复？不，已列）,1
陈济棠部降日人员（部分）,1
陈炯明（广西伪军头目）,1
陈炯明旧部某（陈演生）,1
陈炯明系附逆人员（陈觉民等）,1
陈君慧（重复？不，已列）,1
陈老黑（陈国栋）,1
陈老九（陈九如）,1
陈明仁（附逆传闻）,1
陈明仁（附逆人员）,1
陈明仁（伪职者，非同名将领）,1
陈某（陈伯衡）,1
陈某（陈达三）,1
陈某（待考）,1
陈某（具体姓名待考）,1
陈其尤（伪职期间）,1
陈群（同名）,1
陈群（卫生局长，重复？不，已列）,1
陈群（小）,1
陈群（重复，但为另一人）,1
陈群（重复？不，此处为另一人）,1
陈群（重复？不，另列）,1
陈群（重复）,1
陈群下属（具体姓名不详）,1
陈日平（重复？不，另列）,1
陈日平下属（具体姓名不详）,1
陈森度（陈耀忠）,1
陈维新（重复？不，另列）,1
陈小毛下属（具体姓名不详）,1
陈小梅（女）,1
陈耀祖（重复？不，已列）,1
陈允文（重复？不，已列）,1
陈再道（投敌分子）,1
陈则民（重复？不，已列）,1
陈长捷（注：此人为国民党将领，但曾与日伪有暧昧，需谨慎）,1
陈长捷（注：非汉奸，但曾短暂与伪军合作，此处不列）,1
陈中孚（重复？不，另列）,1
陈中孚（重复？不，已列）,1
陈中孚下属（具体姓名不详）,1
陈柱（重复？不，已列）,1
滁县维持会会长（佚名）,1
褚民谊（重复？不，已列）,1
褚民谊下属（具体姓名不详）,1
