姓名,籍贯,主要伪职（杭州）,结局
谢虎丞,杭州,杭州市治安维持会会长（沦陷初期第一号傀儡），典业银行行长、商会会长，为日军征调物资、胁迫市民回城。,抗战胜利被捕，判处徒刑
王五权,杭州,维持会副会长，杭州救火会会长，配合日军搜刮，参与早期伪政权建立。,战后逮捕判刑
何瓒（何希甫）,福建,伪杭州市首任市长（维新政府），组建伪杭州市政府，推行保甲、良民证，大肆搜刮，为日军服务。,1939 年被抗日锄奸组刺杀于家中钱江晚报
谢恪,不详,何瓒遇刺后代理伪杭州市长，维持城内伪行政。,后调离杭州，战后汉奸罪判刑
吴念中,不详,伪维新政府任命伪杭州市长，承接何瓒之后，管理杭州政务。,抗战胜利捕获，判处重刑
谭书奎,山东潍县,汪伪伪杭州市长，之江大学教授出身，强化奴化宣传、物资统制，为日军筹措军粮物资抖音百科。,1944 年被军统特工在杭州西湖边刺杀身亡抖音百科
陈纯白,不详,汪伪末代伪杭州市长，谭书奎死后接任，直至日本投降。,战后逮捕，汉奸罪判处死刑
梅思平,浙江永嘉,汪伪实业部长、伪浙江省长，驻杭州，主持浙江沦陷区政务，推行清乡。,1946 年南京老虎桥监狱枪决
傅式说（傅式悦）,浙江乐清,汪伪铁道部长、伪浙江省长，驻杭州，掌控浙江伪军政，掠夺工矿、粮食资源。,1947 年上海高等法院判处死刑枪决
丁默邨,湖南常德,汪伪社会部长，1945 年出任伪浙江省长、杭州绥靖公署主任，驻杭州，掌控浙江伪军、特务系统，试图向重庆输诚自保。,1947 年南京枪决
项致庄,浙江杭州,汪伪军事委员会参谋次长，后任伪浙江省长、杭州绥靖公署主任，整编浙江伪军，指挥清乡扫荡。,1946 年以汉奸罪在杭州枪决抖音百科
汪濂,不详,首任伪杭县县长（杭县即今余杭、临平一带），建立杭县伪县公署，管理城郊乡村伪政权。,抗战胜利逮捕，判处死刑
侯文麟,杭县塘栖,塘栖伪维持会长、伪区长，残害爱国青年，捕杀抗日人员，献媚日军，作恶甚多。,光复后公审枪决
陈农荪,杭县临平,临平伪维持会长、伪区长，搜刮粮饷，配合日军下乡清乡。,战后捕获，判处死刑
何致平（江帆，化名徐松建）,杭州,汪伪《浙江日报》总编、杭州伪政治保卫局情报组长，46 号特务机关骨干；两面身份，同时和浙西行署暗通关系，从事奴化宣传与情报活动。,抗战胜利被捕，判处长期监禁
陈季英,杭州,沦陷初期维持会宣传科长，伪《杭州日报》社长，炮制亲日投降宣传报刊。,汉奸罪审判，判处徒刑
