姓名,籍贯,伪任职务,结局
李思贤,广东新会，长期在厦门,伪厦门特别市市长，兼任警察厅长、劝业银行董事长，掌控厦门伪政权全盘，身兼十余伪职,抗战胜利逮捕，1951 年厦门公审枪决
萧叔宣,福建闽侯,汪伪陆军部部长、军训部部长，曾拟出任伪福建省省长，训练伪军，东南伪军事核心,1945 年抗战胜利前夕被军统击毙，未受审判
萨福畴,福建福州,福州沦陷后出任伪福州水上警察局长，后升任汪伪海军中将常务次长、广州要港司令,1943 年座舰触水雷被俘，重庆审判枪决福州史志网
黄莲舫,福建龙溪（漳州）,伪厦门新华同盟会副会长、伪华侨公会会长，策划引日军进犯闽南东山、平潭,1939 年在鼓浪屿被军统刺杀身亡
尤柳门,福建福州,福州沦陷头号汉奸，伪福州维持会核心，为日军搜刮物资，策反地方势力,战后判处无期徒刑，狱中病逝
卢用川,不详,伪厦门特别市经济局长，负责掠夺厦门工商业物资,抗战胜利逮捕，判处死刑执行枪决
金馥生,不详,伪厦门特别市财政局长，掌管伪财税、苛捐摊派,汉奸罪审判，判处重刑，狱中死亡
叶则庵,不详,伪厦门特别市教育局长，推行奴化教育,战后逮捕判刑
王廷植,不详,伪金门特别区署长，管辖金门伪政权,抗战胜利公审处决
张逸舟,福建闽侯,闽东海上海军伪军总司令，盘踞马祖、平潭海面，劫掠商船，为日军充当海上武装,日本投降后被国民党收编，后解体，本人潜逃
翁尚功,福建福清,伪军福建绥靖军参谋长，后任司令，驻守马祖列岛，海上扫荡闽浙沿海,抗战胜利被俘，审判处决福州新闻网
蓝步青,福建,厦门伪军指挥官，黄莲舫举荐，配合日军进犯闽南沿海,抗战胜利被捕公审枪决
张雄南,福建德化,闽北匪首，接受日本委任伪福建自治军司令，刺探情报、制造伪币,1942 年被国军剿灭击毙党史学习教...
陈见园,不详,伪厦门特别市政府秘书长，伪市府核心幕僚,战后逮捕判处徒刑，狱中病亡
林济川,不详,伪厦门禁烟局长，借鸦片敛财资敌,汉奸罪判刑关押
许春荣,福建长乐,长乐县伪维持会会长，日军占领长乐时期傀儡，强征军粮劳工,抗战胜利公审枪决福州史志网
