姓名,籍贯,伪任职务,结局
陈耀祖,广东新会,伪广东省省长、广州绥靖主任，陈璧君胞弟，广东伪政权实际掌控者，搜刮物资、推行清乡奴化统治,1944 年在广州文德路被军统刺杀身亡，逃脱审判
陈春圃,广东新会,继任伪广东省省长、广州绥靖主任，汪伪公馆派核心,抗战胜利被捕，判处无期徒刑，1966 年特赦释放
褚民谊,浙江吴兴,末代伪广东省省长、广州绥靖主任，汪伪核心大员，抗战末期赴广州坐镇,1946 年苏州以汉奸罪执行枪决
彭东原,广东吴川,广州治安维持会委员长、伪广州市首任市长，广州沦陷最早傀儡头目,抗战胜利被捕，判处死刑执行枪决抖音百科
吕春荣,广东阳江,伪广东治安维持会副委员长，早期伪军头目,抗战胜利被捕，公审枪决
李讴一,广东,伪广州绥靖公署副主任，整编广东各路伪军，围剿珠江抗日游击队,抗战胜利逮捕，判处死刑枪决
李辅群（李朗鸡）,广东番禺,伪暂编 20 师副师长，号称 “市桥皇帝”，盘踞番禺，珠三角最大伪军，残害百姓,战后几经周旋，最终判处死刑执行枪决
招桂章,广东南海,伪广州要港司令，汪伪海军华南最高长官，掌控珠江水上武装,日本投降被国民党收编，后因汉奸罪逮捕判刑
许廷杰,广东,伪广州绥靖公署参谋长，广东伪军高级将领,抗战胜利被捕，判处徒刑
郭卫民,广东,伪广州市警察局局长，掌控广州伪警察，配合搜捕爱国人士,汉奸罪公审枪决
王英儒,广东,伪广东省民政厅厅长，主管伪地方行政、保甲制度,抗战胜利逮捕，判处重刑，狱中病逝
汪宗准,广东,伪广东省财政厅厅长，为日军横征暴敛财税物资,战后被捕，判处无期徒刑
林汝珩,广东信宜,伪广东省教育厅厅长，推行华南奴化教育,抗战胜利逮捕，判处徒刑
黄大伟,湖北,伪闽粤边区绥靖总司令，盘踞粤东，收编潮汕土匪伪军,1944 年在上海被军统刺杀
彭济华,广东,伪独立第二旅旅长，驻防东江一带，进攻东江纵队,抗战胜利被俘，公审枪决
方颐,广东,伪暂编 20 师师长，广州周边伪军主力,战后被捕，汉奸罪处决
郑洗薰,广东,伪暂编 30 师师长，伪绥靖公署参谋长，扫荡粤中根据地,抗战胜利公审枪决
陈觉民,广东海丰,伪广东省政府委员，维持会元老，陈炯明旧部投敌,战后逮捕，判处死刑
陈璧君,广东新会,汪精卫妻子，长期驻广州操控广东伪政权人事决策,判处无期徒刑，1959 年监狱病逝
赵浩莫,广东汕头,伪汕头市市长，潮汕沦陷区伪首脑，掠夺潮汕工商业,抗战胜利公审枪决
吴履逊,广东揭阳,伪潮汕保安司令，粤东伪军头目，配合日军清乡,战后被捕处决
黄自强,福建晋江,伪海南岛琼崖绥靖公署主任，掌控海南伪军政系统,日本战败逃往台湾，遭枪击身亡
