姓名,籍贯,伪任职务,结局
张景惠,辽宁台安,伪黑龙江省首任省长、伪满国务总理，最早组建哈尔滨维持会,苏军俘虏，关押抚顺战犯管理所，1959 年病亡狱中党史学习教...
韩云阶,辽宁金县,伪黑龙江省省长（齐齐哈尔），伪满经济部大臣，搜刮北满物资,1945 年逃亡日本，未受审判，客死海外
孙其昌,辽宁辽阳,伪滨江省省长（哈尔滨），管控哈尔滨伪政权财税,苏军逮捕，抚顺战犯管理所，狱中病亡
于琛澂,吉林双城（今黑龙江双城）,伪三江省省长、伪满治安部大臣，伪满上将，疯狂围剿抗联赵尚志部,1944 年病死，逃脱审判
王子衡,辽宁旅顺,伪黑河省省长，强征数万劳工修筑边境要塞，协助 731 抓捕实验人员,苏军俘获，抚顺战犯管理所，1964 年特赦释放
郑孝胥,福建闽侯,伪满国务总理大臣，伪满开国，常驻长春，管辖黑龙江在内东北全境,1938 年暴病死于长春，逃脱审判
叶永年,山东,伪哈尔滨警察厅特务科，北满大特务，抓捕残害大量地下党、爱国群众,1951 年哈尔滨公审枪决
蔡圣孟,辽宁,伪哈尔滨警察厅特务科头目，屠杀革命者，战后隐姓埋名,1951 年抓捕押回哈尔滨，公审枪决
白受天,黑龙江双城,伪哈尔滨警察厅特务科警佐，参与迫害抗联家属,1950 年哈尔滨判处死刑执行枪决
谢文东,辽宁宽甸（长期活动黑龙江依兰）,原为抗联第八军军长，1939 年率全军投敌，伪满三江省协和会头目，协助日军讨伐抗联,日本投降后沦为北满巨匪，1946 年勃利公审枪决
李华堂,河北（长期盘踞黑龙江）,抗联第九军军长叛变投敌，伪三江省伪军指挥官，围剿抗联部队,1946 年剿匪战斗被俘，押解途中死亡
王殿忠,辽宁盖县,伪满第六军管区司令官（驻齐齐哈尔），指挥伪军在黑龙江各地讨伐抗日武装,建国后逮捕处决
刘德山,黑龙江,伪满特务，伪装商人诱杀赵尚志的直接凶手,1946 年被捕获处决
阎传绂,辽宁金县,伪滨江省省长，后期伪满司法部大臣，驻哈尔滨,苏军俘虏，抚顺关押，1964 年特赦释放
黄富俊,辽宁沈阳,伪北安省省长，推行粮食出荷、集团部落，迫害北满百姓,苏军逮捕，抚顺战犯管理所，1964 年特赦
