姓名,籍贯,伪任职务,结局
赵鹏程（赵鲲）,云南龙陵,伪龙陵县县长，龙陵伪政府首脑，组建完整伪县府，征粮抓夫、推行良民证、奴化教育，将自家宅院充当伪县府办公地,龙陵收复被俘，以汉奸罪判处死刑枪决
钟镜秋,云南龙陵,先任龙陵伪警察局长，后任伪腾冲县县长，日本留学背景，滇西伪政权核心人物，为日军征派伕马、筹集军粮物资,腾冲光复被捕，审判后处决
杨吉品,云南腾冲,腾冲宪兵队便衣队总队长（哥老会龙头），伪维新社头目；手下便衣队搜捕远征军潜伏人员，敲诈残害百姓，滇西头号地方铁杆汉奸,腾冲收复捕获，公审枪决
杨楚英,不详,国军被俘后投敌，腾冲伪便衣队队长，熟悉我方游击战术，捕杀抗日人员数十人，杨吉品得力骨干,腾冲收复后被处决
李家昌,云南腾冲,腾冲早期维持会副会长，腾冲沦陷初期投敌士绅，协助日军招降地方乡绅,战后逮捕判刑
李曰琪（李日其）,云南腾冲,腾冲治安维持会首任会长，日军刚占领腾冲时首要傀儡，招诱百姓回城，摊派物资夫役,战后汉奸罪判刑
张德辉,云南腾冲,腾冲维持会副会长，留日，开办东方医院，依附日军，参与伪维持会事务,腾冲光复被捕，判处徒刑
何世隆,云南腾冲,伪日资银行行长，死心投靠日军，帮日军掌控地方金融，搜刮民间财物,腾冲收复押解途中被士兵就地击毙
蒋三元,云南龙陵,原为龙潞游击队员，被俘投降，被日军委任象‑平警备司令，组建伪军武装，扫荡游击区，残害抗日军民,抗战胜利后捕获处决
张朝品,云南龙陵,伪龙陵县政府秘书长，伪县府核心幕僚，草拟伪政令、办理征粮派差文书,龙陵收复捕获，公审枪决
刘宏仁,云南龙陵,伪龙陵内务局长，主管户籍、保甲、民夫征用，迫害民间抗日人员,被俘后判处死刑执行枪决
赵锡禄,云南龙陵,伪龙陵教育科长，负责开办日语学校，推行奴化教育,战后逮捕重刑关押，狱中死亡
廖子猷,云南龙陵,伪龙陵行政科长，办理乡镇维持会管控事务，下乡摊派苛捐物资,龙陵光复被捕，判处死刑
刀保图,云南芒市（德宏土司）,芒市土司，依附日军，出任伪厅厅长，协助日军征粮征壮丁，管控边疆土司武装,滇西光复后被审判，判处徒刑
刀保固,云南芒市,土司家族，追随刀保图投敌，组织伪自卫团，配合日军统治边境地区,战后逮捕判刑
方克武,云南德宏,伪自卫团团长，土司地方伪军头目，驻防芒市周边，对付游击队,收复后捕获处决
花斌,不详,滇南河口日本间谍，出卖云南军事地图给日军，刺探滇南驻军情报云南网民族...,昆明宪兵 13 团抓获，执行枪决
曹鼎,浙江，活动越南老街‑河口,日本特务，原为河口邮政局长，在老街为日军搜集滇南布防情报，测绘滇越铁路桥梁图纸，跨境从事间谍活动云南网民族...,我方设计诱捕，就地处置
