姓名,籍贯,主要伪职（镇江）,结局
柳衍斋（柳肇庆）,镇江,镇江治安维持会会长、伪镇江自治委员会委员长，沦陷初期头号傀儡；受日军宣抚班操纵，召集士绅，胁迫市民回城，筹措物资夫役金山网。,抗战胜利后逮捕，判处徒刑
郭志诚（郭志成）,镇江,伪自治委员会副会长，后任伪丹徒县知事（伪县长），汪伪镇江县首任县长；完整搭建县级伪政权，设立伪警察局、各职能科局，推行保甲良民证，管控城乡抖音百科。,战后以汉奸罪判刑
张修明,不详,汪伪镇江清乡公署副主任，伪镇江县（清乡特区）署长、伪县长；主持镇江清乡，编组自卫团、强化特务情报网络，迫害抗日力量镇江文明网。,抗战胜利捕获，判处死刑
黄香谷,不详,汪伪末代伪镇江县县长，张修明调离后继任，直至日本投降，主持接收与物资搜刮。,汉奸罪审判，判处重刑
谈朝宗,镇江,青帮头目，伪镇江警察大队长；收编地痞土匪组建伪警察武装，下乡劫掠，抓捕爱国群众；因军纪混乱被日军调往扬州改编绥靖队金山网。,战后逮捕处决
陆伯英,镇江,汪伪国民党镇江县党部主任委员，伪县政府社会运动科长；负责汪伪党务、奴化宣传，发展汪伪地方党羽镇江市史志...。,光复后判刑关押
包建华,镇江（镇丹县原抗日县长）,叛变投敌，在镇江组建伪别动大队大队长；盘踞镇江、句容、丹阳交界，配合日伪扫荡茅山抗日根据地，出卖我方情报、捕杀干部群众镇江文明网。,抗战胜利捕获，公审枪决
巫孔玺,镇江,原抗日干部，跟随包建华叛变；任伪清乡公署特别行动总队副队长，出卖根据地情报，杀害多名抗日干部，拆民房修碉堡、搜刮钱粮抖音百科。,战后逮捕，判处死刑执行枪决
江辅华,镇江,原镇丹县抗日副县长，随包建华投敌；伪别动队副大队长，驻守马陵据点，在镇句边境清乡扫荡，残害地方百姓镇江文明网。,抗战胜利公审处决
笪金芝,镇江九宝区,原抗日区长，叛变投敌，任伪别动队分队长，在句容、镇江边境从事搜捕、告密。,捕获后判处死刑
蒋孝忠,镇江,潜伏汉奸，架设秘密电台；使用镜子反光为日机轰炸镇江做地面指引，造成大华饭店大轰炸惨案金山网。,当场抓获，江边就地枪决
