姓名,籍贯,伪任职务,结局
马良,河北保定,伪山东省公署省长（1938‑1939），山东最早伪省长，旧军阀出身人民网,抗战后被捕，病死狱中
唐仰杜,山东邹城,伪山东省省长（1939‑1945），推行治安强化运动，经济掠夺山东沦陷区人民网,1951 年镇反被处决
杨毓珣,安徽泗县,伪山东省省长（1945 年，抗战末期）,抗战胜利后逮捕，狱中死亡
赵琪,山东掖县（莱州）,青岛维持会会长、伪青岛特别市市长,建国后入狱，1957 年病死于狱中
厉文礼,山东安丘,国民党专员投敌，伪鲁东和平建国军司令，残害抗日军民、美军飞行员,1946 年国民政府枪决
赵保原,山东蓬莱,伪军，胶东最大伪军头目，盘踞莱阳、胶县一带，反复叛变抖音百科,1946 年胶县战斗中被击毙
刘本功,山东济宁,伪郓城县长、伪警备司令，外号活阎王，鲁西重要伪军，制造多起惨案,1946 年济南被处决
荣子恒,河北枣强,伪和平建国军第十军军长，驻防鲁南临沂、兰陵一带党史学习教...,1944 年被八路军击毙
刘桂棠（刘黑七）,山东平邑,皇协军前进总司令，反复投敌叛变，鲁南巨匪汉奸抖音百科,1943 年被八路军击毙
李永平,山东诸城,伪滨海警备军司令，盘踞泊里，制造泊里大屠杀惨案,1944 年病死于青岛
李贤斋,山东,接替李永平任伪滨海警备军司令，继续制造屠杀,1945 年泊里解放被俘，公审处决
齐子修,河北固安,伪五十七军军长，鲁西主力伪军，制造鲁西无人区,抗战胜利后国民党枪决于济南
王绍武,山东宁阳,伪宁阳县长、兖济道道尹，掌控鲁西南十余县伪政权，推行保甲连坐,镇反时期被处决
庞文学,山东峄县（枣庄）,峄县伪保安警备大队长，与铁道游击队、运河支队长期作战,1945 年被俘，公审枪决
龙希贞（龙瓜屋子）,山东台儿庄,涧头集伪区长，运河支队叛徒，运河南岸伪军头目,抗战胜利后公审处决
张鸿飞,山东胶州,伪山东特务第四旅旅长，胶县伪军头目，鱼肉乡里中共青岛市...,建国后逮捕，1954 年胶州处决
相铭忱,山东胶南,伪青岛特别市第四联队联队长，胶南伪军头目中共青岛市...,1950 年青岛公审处决
